k,cluster,n_wells,median_stability,min_stability,members
4,1,7,0.9779311948685498,0.7079984443868291,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
4,2,26,0.9774436090225563,0.6925064599483204,"D10,D15,D17,D38,D41,D43,D44,D5,D6,D7,D8,D9,L7,T41a,T41b,T41c,T41d,WMC1,ceh10,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
4,3,9,1.0,0.9553805048829924,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
4,4,24,0.7514887318895043,0.36893203883495146,"D25,WMC2,ceh 1,ceh16,ceh17,ceh18,ceh19,ceh21,ceh31,ceh36,ceh39,ceh4,ceh42,ceh9,nw1,nw11,nw13,nw2,nw5,nw6,nw7,nw9,wmc3,wmc4"
5,1,7,0.9767711020611252,0.6806671852043903,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
5,2,26,0.9334261346060365,0.3775,"D10,D15,D17,D38,D41,D43,D44,D5,D6,D7,D8,D9,L7,T41a,T41b,T41c,T41d,WMC1,ceh10,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
5,3,9,1.0,0.9119955776672195,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
5,4,5,0.991566265060241,0.8866168603578676,"ceh16,ceh17,ceh19,ceh31,nw9"
5,5,19,0.5024509803921569,0.25462175245624585,"D25,WMC2,ceh 1,ceh18,ceh21,ceh36,ceh39,ceh4,ceh42,ceh9,nw1,nw11,nw13,nw2,nw5,nw6,nw7,wmc3,wmc4"
6,1,7,0.9596476271668087,0.6582836401348198,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
6,2,6,0.7171221294932635,0.5671641791044776,"D38,D7,D9,L7,T41a,ceh10"
6,3,20,0.9358442084477805,0.5478036175710594,"D10,D15,D17,D41,D43,D44,D5,D6,D8,T41b,T41c,T41d,WMC1,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
6,4,9,1.0,0.8587324256561617,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
6,5,5,0.9879518072289157,0.8505995203836931,"ceh16,ceh17,ceh19,ceh31,nw9"
6,6,19,0.43172713247735645,0.0961691533862855,"D25,WMC2,ceh 1,ceh18,ceh21,ceh36,ceh39,ceh4,ceh42,ceh9,nw1,nw11,nw13,nw2,nw5,nw6,nw7,wmc3,wmc4"
7,1,7,0.9314613526570048,0.642122547748682,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
7,2,6,0.6464094801723668,0.5223880597014925,"D38,D7,D9,L7,T41a,ceh10"
7,3,20,0.879527728252095,0.4186046511627907,"D10,D15,D17,D41,D43,D44,D5,D6,D8,T41b,T41c,T41d,WMC1,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
7,4,9,1.0,0.7276968485194706,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
7,5,5,0.9855421686746988,0.8432392547500461,"ceh16,ceh17,ceh19,ceh31,nw9"
7,6,8,0.6265508684863523,0.3373205741626794,"WMC2,ceh18,ceh21,ceh36,ceh4,ceh42,nw5,nw6"
7,7,11,0.36434286379029546,0.1680342022460413,"D25,ceh 1,ceh39,ceh9,nw1,nw11,nw13,nw2,nw7,wmc3,wmc4"
