well,cluster_k7,stability
ceh11,1,0.642122547748682
ceh23,1,0.9655662909286098
ceh25,1,0.9011974104781529
ceh26,1,0.9545454545454546
ceh27,1,0.9314613526570048
ceh5,1,0.9396589489396914
ceh6,1,0.8578581480439065
D38,2,0.5695538057742782
D7,2,0.6613756613756614
D9,2,0.6314432989690721
L7,2,0.732824427480916
T41a,2,0.732824427480916
ceh10,2,0.5223880597014925
D10,3,0.8571428571428571
D15,3,0.5145118733509235
D17,3,0.8979591836734694
D41,3,0.8802992518703242
D43,3,0.7239583333333334
D44,3,0.8463541666666666
D5,3,0.8403990024937655
D6,3,0.896
D8,3,0.8869346733668342
T41b,3,0.8869346733668342
T41c,3,0.891566265060241
T41d,3,0.9079903147699758
WMC1,3,0.8801955990220048
ceh24,3,0.8788598574821853
ceh28,3,0.6444444444444445
ceh40,3,0.4186046511627907
ceh41,3,0.42997542997543
nw 4b,3,0.9183673469387755
nw3,3,0.6572890025575447
nw4,3,0.9095890410958904
Ceh32,4,0.9907160980722027
ceh13,4,0.8244274809160306
ceh14,4,0.7276968485194706
ceh2,4,0.9987468671679198
ceh20,4,1.0
ceh30,4,1.0
ceh33,4,1.0
ceh34,4,1.0
nw10,4,1.0
ceh16,5,0.9805170430465581
ceh17,5,0.9949748743718593
ceh19,5,0.9855421686746988
ceh31,5,0.8432392547500461
nw9,5,0.9987893462469734
WMC2,6,0.6377171215880894
ceh18,6,0.7066326530612245
ceh21,6,0.5728395061728395
ceh36,6,0.7066326530612245
ceh4,6,0.6153846153846154
ceh42,6,0.6796116504854369
nw5,6,0.3373205741626794
nw6,6,0.4088669950738916
D25,7,0.3230912073287735
ceh 1,7,0.36434286379029546
ceh39,7,0.4999348804167653
ceh9,7,0.44421291850713784
nw1,7,0.42061680033378146
nw11,7,0.4962763438313995
nw13,7,0.3377507244408222
nw2,7,0.4478714550925037
nw7,7,0.1680342022460413
wmc3,7,0.222345853234911
wmc4,7,0.363678154012559
