Cluster,Cluster_Label,Lag_months,beta_1,pvalue_beta_1,beta_2,pvalue_beta_2,beta_3,pvalue_beta_3,R2,n,beta_1_physically_coherent,beta_2_physically_coherent
1,C1 (Lake Edge),0,1.5358744285570425,6.819383077951212e-07,2.727840159527321,2.169513618814648e-11,-0.008740570710549943,0.3995555928805955,0.25877969400997536,235,True,True
1,C1 (Lake Edge),1,4.327412109224749,1.2130745847206935e-63,1.4770528360663118,6.105058688869796e-10,0.07491153667757375,1.0202110274287338e-23,0.7577635286843727,235,True,True
1,C1 (Lake Edge),2,-0.5103182939735073,0.21037532525208777,3.142944605730387,4.332704473853036e-11,-0.06119320691375751,5.796888509742119e-05,0.1843396427972931,234,False,True
1,C1 (Lake Edge),3,0.31987008312550946,0.44136533942474127,2.6615058021348945,1.8993487613781818e-08,-0.03463509640530126,0.02242104793052936,0.1723117872506198,233,True,True
2,C2 (Dune),0,1.1622557438549397,3.792650855062671e-06,3.187973740392041,1.355278700468643e-18,-0.026392869775470652,0.004174839295320338,0.3326103357002318,247,True,True
2,C2 (Dune),1,3.5345270585385924,1.1346027016979289e-63,2.0711042604710013,7.211136832370543e-21,0.048614022977628436,2.0423808583357214e-14,0.7727641462948003,247,True,True
2,C2 (Dune),2,0.3047432633095483,0.3451913203353688,3.1490902782679258,1.649271764250748e-14,-0.04532937180251726,0.0004556261899705932,0.27400715149805954,246,True,True
2,C2 (Dune),3,0.267995189865105,0.4301991936137416,3.192578462720478,1.6155514393244063e-14,-0.04667686150333154,0.0005046582624232178,0.2763744045922609,245,True,True
3,C3 (Western Residual),0,0.8434159076044515,0.00023284066351306738,2.933897017368353,3.917104766398899e-18,-0.03334883046452188,0.0004192151975445444,0.3077934902797246,247,True,True
3,C3 (Western Residual),1,3.2868698971619703,2.4161135415423273e-73,1.8795101696413696,1.39874349988455e-23,0.04956368000334157,2.922590317642633e-17,0.8097891132616093,247,True,True
3,C3 (Western Residual),2,0.7543817977097906,0.008869075341002156,2.6262855778533662,1.1102883397236295e-12,-0.029036333041410543,0.021826837365400274,0.28847575161591155,246,True,True
3,C3 (Western Residual),3,0.2728239966237743,0.3801727922285611,2.9071105079614687,4.104580245057366e-14,-0.046773016790405346,0.0006101019315295772,0.2749104105629392,245,True,True
4,C4 (Main Forest),0,0.3814158708461131,0.06648154978301611,2.8088993378077953,3.283756427020938e-17,-0.05397048024908403,1.4232645672405138e-06,0.27623936321047116,235,True,True
4,C4 (Main Forest),1,2.1971608390651287,2.4071193189063267e-32,2.1953219328496827,4.841978923982588e-18,0.01732846442680856,0.04995061493438263,0.5992008173419097,235,True,True
4,C4 (Main Forest),2,1.3691139729884343,1.477571565150142e-10,2.3425830457839876,4.069013851577746e-15,-0.009170971319628785,0.4253932200263965,0.43686095562766514,234,True,True
4,C4 (Main Forest),3,0.8902161299264769,0.0002803747954725843,2.5086499817293917,2.1555821199571645e-14,-0.02826644877512543,0.03609412233162336,0.36059059532446824,233,True,True
5,C5 (Coastal Forest),0,0.7034181431861186,6.581651218374098e-05,2.0690771224014695,5.530252843092529e-16,-0.02144009473860987,0.007704507884322652,0.29248179294014354,237,True,True
5,C5 (Coastal Forest),1,2.233207930689602,1.5307832395579895e-49,1.4551606504220378,1.5235248430144277e-17,0.03625497807405743,1.0263329473557751e-09,0.7033850581344105,237,True,True
5,C5 (Coastal Forest),2,0.941578894192661,6.0575054856204325e-06,1.675241263379391,2.548025294988246e-10,-0.005073092809924637,0.614246785906821,0.3051393934994695,236,True,True
5,C5 (Coastal Forest),3,0.3111801513762681,0.1734762924028616,1.956927131157233,5.341931858132638e-12,-0.030014896812594827,0.007574544224668674,0.2477880156651494,235,True,True
