Well,Easting,Northing,Cluster_ID,Model_B_Intercept,NSE_Intercept_Effect
NW1,241725.0,364139.0,3,0.020174054594547887,-0.006548955336483475
NW2,241703.008,364112.082,3,0.2008151013605473,-0.018450102090082465
NW3,242091.94,363939.361,2,0.1799040377112894,0.016913073711790183
NW4,242431.164,363744.512,2,0.1699262626786427,0.015830925337417034
NW4B,242414.677,363751.66,2,0.17198060945713395,0.011539479531302077
NW5,241711.757,363023.697,3,0.19566093079521205,-0.02897847682604049
NW6,241444.307,363316.599,3,0.09010638752597017,-0.029035648278248116
NW7,241423.695,363584.862,3,0.07211506931481632,-0.009879268343359504
NW9,240937.259,363567.162,5,0.05377213556742229,-0.02543870428501993
NW10,241435.0,364325.025,4,0.20507647517797703,-0.014691044474841264
NW11,241689.0,364237.0,3,0.20905818657235875,-0.013404702126469381
NW13,241761.0,364180.0,3,0.190601711283796,-0.014613083934338467
CEH1,241595.864,363948.335,3,0.24793066212775336,-0.0073051787420683745
CEH2,241421.0,363979.0,4,0.22161742043757557,0.02151910432727211
CEH4,241131.693,363211.05,3,0.07411705945267248,-0.03135625397571806
CEH5,242521.077,364465.817,1,0.2866293076065255,0.021258235444123974
CEH6,242621.679,364724.912,1,0.2252934395220229,-0.011174591914116072
CEH9,241711.211,363459.012,3,0.1915011515093195,0.0054494238969226005
CEH10,242538.185,363173.915,2,0.04362710064974065,-0.013344219689109593
CEH11,242618.62,362688.287,1,0.15066628787940997,-0.017114156114868995
CEH13,240964.108,364066.298,4,0.19290874423811155,-0.003539016355290192
CEH14,241292.0,364488.0,4,0.3040381129520803,0.1411713235928621
CEH16,240988.214,363614.897,5,0.08313974688673924,-0.02219531289098231
CEH17,240804.597413,363576.069469,5,-0.1157226204608624,0.03398590228625786
CEH18,241267.167,363202.889,3,0.0904727502427925,-0.02301175441011838
CEH19,240845.741,363532.891,5,-0.004928972623244703,0.0033650415034554015
CEH20,241153.0,363829.0,4,0.16534838178013572,-0.036143986457118915
CEH21,241470.51,362937.659,3,0.011874365925707047,-0.007483731985198916
CEH23,242325.311,364428.124,1,0.17091904021204601,-0.02415032967877362
CEH24,242938.911,363392.114,2,0.2510698999201645,0.009928820613458011
CEH25,242512.557,364638.544,1,0.29894094975477487,0.003845014007519465
CEH26,242172.261,364362.239,1,0.1669235376694626,-0.003402577311257593
CEH27,242005.373,364330.297,1,0.25172983432549295,0.004007997629281834
CEH28,242331.051,364122.039,2,0.18346571547040763,-0.036269443529504564
CEH30,241072.0,363760.0,4,0.10465669818045131,0.0006950174063531378
CEH31,241075.0,363538.0,5,-0.02701486006388018,-0.00013332091198892115
CEH32,241167.0,364003.0,4,0.17124756542365524,-0.005165330392155054
CEH33,240936.0,363808.0,4,0.127183634197029,-0.004297777312648354
CEH34,241334.0,363887.0,4,0.22829033709340218,0.06480905137164583
CEH36,241161.0,363306.0,3,0.05603890899866721,-0.02750606590954574
CEH39,241719.0,363435.0,3,0.19642116953192035,0.03557843339523048
CEH40,242060.283,363398.508,2,0.14783374141687378,0.005507233718478721
CEH41,242284.022,363324.592,2,0.21780730000489734,0.04755066460383628
CEH42,242120.528,362743.198,3,0.15721440869760922,-0.04476469144512962
WMC1,242765.629,363643.556,2,0.1908602326070051,0.0032084235228792
WMC2,241885.149,362855.856,3,0.18125187988246302,-0.013211157237972837
WMC3,241217.327,363562.323,3,0.07470826688416772,-0.01743094175058779
WMC4,241761.0,364180.0,3,0.18534988318644652,-0.014221779675086532
L7,242812.0,364395.0,2,0.09987966395231551,-0.02192706908981945
D5,242083.407,363901.712,2,0.23109931199356504,0.02256165295168744
D6,242114.898,364021.851,2,0.26555340961274154,0.03320882328599595
D7,242610.75,364204.554,2,0.19356330968143987,-0.012613250312628055
D8,242676.867,364024.231,2,0.23771754245542223,0.043514859497598035
D9,242710.726,363910.68,2,0.25801317239588006,0.017600078822071263
D10,242613.907,364118.797,2,0.2898770193779261,0.0694460575377519
D15,241980.565,363895.719,2,0.2746906937038652,0.052981335677524055
D17,242446.951,363534.961,2,0.2740232592151704,0.049899333208285324
D25,242215.187,363143.807,3,0.1307899901950875,-0.08183321831648216
D38,242711.571,363069.196,2,0.18424326785797573,-0.028466034255163475
D41,242771.66,363342.853,2,0.2255332682360731,0.043341372140515144
T41A,242709.928,363275.666,2,0.28064287154065826,-0.012922607616153825
T41B,242715.085,363309.565,2,0.21661465482159104,0.02587413368284419
T41C,242721.13,363323.682,2,0.2373584726490161,0.01961975105724101
T41D,242731.987,363353.284,2,0.1883257919481971,0.008897445155778949
D43,242664.714,363428.693,2,0.22281412496358963,-0.006564037147174795
D44,242819.407,363279.547,2,0.17664024555887717,-0.006306347665827161
