year,month,rain_mm,source
1950,1,19.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,2,111.2,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,3,60.3,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,4,69.6,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,5,17.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,6,73.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,7,86.2,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,8,162.1,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,9,217.1,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,10,80.0,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,11,109.1,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1950,12,101.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,1,86.4,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,2,89.6,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,3,123.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,4,44.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,5,57.6,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,6,13.9,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,7,33.1,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,8,106.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,9,106.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,10,5.3,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,11,186.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1951,12,145.1,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,1,88.1,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,2,30.4,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,3,46.6,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,4,52.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,5,34.4,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,6,64.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,7,40.5,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,8,72.9,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,9,48.6,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,10,100.3,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,11,78.0,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1952,12,60.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,1,54.0,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,2,70.6,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,3,18.7,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,4,79.0,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,5,48.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,6,24.9,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,7,46.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,8,76.9,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,9,101.8,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,10,62.3,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,11,84.2,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
1953,12,30.1,Ranwell 1959 Fig. 2 (Parc Mawr Forestry Nursery)
