Ground elevation (m),Upstand,top of pipe elevation (m),E,N,Alternative names,Nane
12.363,0.27,12.633,241725,364139,bh1,nw1
11.474,0.59,12.064,241703.008,364112.082,ob1,nw2
10.656,0.05,10.706,242091.94,363939.361,1e,nw3
9.16,0.07,9.23,242431.164,363744.512,1f,nw4
9.256,0.08,9.336,242414.677,363751.66,,nw 4b
5.725,0,5.725,241711.757,363023.697,2f,nw5
6.361,0.08,6.441,241444.307,363316.599,2e,nw6
8.474,0.03,8.504,241423.695,363584.862,mb,nw7
7.244,0.09,7.334,241276.11,363480.129,2d,nw8
,,,241272,363487,,Nw8b
5.149,0.031,5.18,240937.259,363567.162,2b,nw9
11.66,0.14,11.8,241435,364325.025,1b,nw10
11.95,0.15,12.1,241689,364237,1c,nw11
13.72,0.08,13.8,241262,364524,1a,nw12
,,,241761,364180,1d,nw13
10.652,0.04,10.692,241595.864,363948.335,nr path in pool,ceh 1
11.32,0.71,12.03,241421,363979,in forest nr ceh1,ceh2
4.362,0.01,4.372,240743,363388,forest nr fes,ceh3
4.479,0.07,4.549,241131.693,363211.05,fes,ceh4
9.588,0.05,9.638,242521.077,364465.817,nr ceh 6,ceh5
8.461,0.15,8.611,242621.679,364724.912,ccw car park,ceh6
5.379,0.07,5.449,243385.803,363612.9,braint,ceh7
5.494,0.2,5.694,243149.932,363382.305,2 slacks in from nw4,ceh8
7.983,0,7.983,241711.211,363459.012,nr nw6,ceh9
5.778,0.04,5.818,242538.185,363173.915,beyond nw5,ceh10
3.534,0.05,3.584,242618.62,362688.287,aber menai ,ceh11
34.879,0.02,34.899,240339,364588,nr fc 7,ceh12
11.235,0.09,11.325,240964.108,364066.298,nr 2a,ceh13
14.42,0,14.42,241292,364488,nr 1a,ceh14
5.865,0.049,5.914,240679.892,363754.368,Forest carpark,ceh15
6.097,0.07,6.167,240988.214,363614.897,clearing,ceh16
6.001,0.09,6.091,240804.597413,363576.069469,forest,ceh17
5.144,0.06,5.204,241267.167,363202.889,warren,ceh18
4.65,0.15,4.8,240845.741,363532.891,EDGE,ceh19
8.618,0.11,8.728,241153,363829,nr 2c ,ceh20
4.172,0.05,4.222,241470.51,362937.659,r1,ceh21
3.231,0.05,3.281,241375.022,362906.94,sea/SD13,ceh22
9.958,0.06,10.018,242325.311,364428.124,,ceh23
5.808,0.15,5.958,242938.911,363392.114,nr d44,ceh24
9.051,0.025,9.076,242512.557,364638.544,nr ceh 6,ceh25
10.425,0.025,10.45,242172.261,364362.239,nr ceh 5,ceh26
10.9,0.04,10.94,242005.373,364330.297,nr 1c,ceh27
10.536,-0.14,10.396,242331.051,364122.039,near NW3 by path,ceh28
8.61,0.06,8.67,241072,363760,nr ceh20,ceh30
6.32,0.17,6.49,241075,363538,nr wmc2,ceh31
11.03,0.04,11.07,241167,364003,near 1b,Ceh32
8.77,0.06,8.83,240936,363808,near cp,ceh33
9.75,0.05,9.8,241251,363920,,ceh34
,0.04,,241081,363212,nr path CEH4,ceh35
,0.03,,241161,363306,N CEH4,ceh36
5.84,0,,242886,363346,W CEH24,ceh37
,0,,241130,363261,Nr fence CEH4,ceh38
,0.04,,241719,363435,SW CEH9,ceh39
7.804,,,242060.283,363398.508,scraped slack,ceh40
6.869,0.06,,242284.022,363324.592,scraped slack,ceh41
3.615,0.13,,242120.528,362743.198,scraped slack with water hole,ceh42
7.285,0.05,7.335,242765.629,363643.556,,WMC1
4.502,0.05,4.552,241885.149,362855.856,nr 2g ,WMC2
8.61,0.08,8.69,241217.327,363562.323,2dish,wmc3
,0.04,,241761,364180,,wmc4
,0.06,,242812,364395,,L7
9.246,0.12,9.366,242897.825,364328.678,,L4
10.062,0.07,10.132,242804.097,364389.095,,L1
10.5,0.1,10.6,242083.407,363901.712,,D5
10.825,0.05,10.875,242114.898,364021.851,,D6
9.775,0.1,9.875,242610.75,364204.554,,D7
9.276,0.05,9.326,242676.867,364024.231,,D8
9.136,0.02,9.156,242710.726,363910.68,,D9
9.603,0.04,9.643,242613.907,364118.797,,D10
10.371,0.15,10.521,241980.565,363895.719,,D15
7.929,0.05,7.979,242446.951,363534.961,,D17
5.351,0.05,5.401,242215.187,363143.807,,D25
3.799,0.05,3.849,243600.797,363438.979,,D29
,,,,,,D29b
3.98,0.05,4.03,243586.282,363466.962,,T29
4.607,0.05,4.657,243282.429,363259.347,,D31
4.566,0.11,4.676,243166.881,363196.273,,D33
3.341,0,3.341,242961.925,362945.353,,D34
4.661,0.11,4.771,242711.571,363069.196,,D38
3.392,0.13,3.522,243000.256,362899.535,,D39
5.84,0.08,5.92,242771.66,363342.853,,D41
5.49,0.4,5.89,242709.928,363275.666,,T41a
5.71,0,5.71,242715.085,363309.565,,T41b
5.8,0.09,5.89,242721.13,363323.682,,T41c
6.19,0.11,6.3,242731.987,363353.284,,T41d
6.907,0,6.907,242664.714,363428.693,,D43
5.73,0.08,5.81,242819.407,363279.547,,D44
2.748,0.04,2.788,242898.911,362614.9,,D45
,0.1,,241338,363744,,FE1
,0.06,,241135,363595,,FE2
,0.06,,241234,363691.7,,FE3
,0.06,,241116.1,363562.3,,FE4
,0.03,,241406,363720,,LIS1
11.705,-0.06,11.645,236776.436,369346.12,,aber N
11.159,-0.02,11.139,236358.439,368680.831,,aber S
7.34,0,7.34,242560,364821,,llyn rhos
,,,,,,
,,,242303,364558,,p2
,,,242056,363286,,pw
,,,242739,362823,,pe
,,,249651,63372,,pdfs
,,,241243,363283,,p1
,,,,,,
8.124,0.12,8.004,239670,364833,,NF1 
4.457,0.07,4.387,239672,365041,,NF2
4.676,0.14,4.536,239663,265034,cap,NF2b
3.678,0.1,3.578,239186,364795,In Pool,NF4
,0.09,,239770,363775,nr residents car park,NF5
,,,,,,
,,from top,,,,Dune Pool Marker
7.39,0,,239173,364795,,fire pool
7.39,0,,241258,363335,,Drinking pool
7.39,0,,24094,363512,,Forest pool
7.39,0,,241090,363246,,Forest Edge slack
7.39,0,,241293,363236,,Forest Edge slack further in drinking pool
7.39,0,,241446,363316,,near BH
,,,,,,llyn Rhos Ddu
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,NF2
,,,,,cap,NF2b
,,,,,In Pool,NF4
,,,,,nr residents car park,NF5
,,,,,,
,,,,,,Dune Pool Marker
,,,,,,fire pool
,,,,,,Drinking pool
,,,,,,Forest pool
,,,,,,Forest Edge slack
,,,,,,Forest Edge slack further in drinking pool
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,nw10
,,,,,,nw11
,,,,,,nw12
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,nw7
,,,,,,nw8
,,,,,,nw9
,,,,,,
,,,,,,NF1 
,,,,,,NF2
,,,,,,NF4
