month,reading_date,code,depth_m_bg,censored_at_pipe_base
1989-05,1989-06-02,1A,-1.46,False
1989-06,1989-07-04,1A,-1.61,False
1989-07,1989-08-03,1A,-1.7,False
1989-08,1989-09-07,1A,-1.94,False
1989-09,1989-10-04,1A,-1.95,False
1989-10,1989-11-07,1A,-1.94,False
1989-11,1989-12-07,1A,-1.96,False
1989-12,1990-01-04,1A,-1.95,False
1990-01,1990-02-07,1A,-1.94,False
1990-02,1990-03-07,1A,-1.95,False
1990-03,1990-04-04,1A,-1.46,False
1990-04,1990-05-02,1A,-1.95,False
1990-05,1990-06-06,1A,-1.95,False
1990-06,1990-07-04,1A,-1.95,False
1990-07,1990-08-01,1A,-1.96,False
1990-08,1990-09-01,1A,-1.94,False
1990-10,1990-11-14,1A,-1.95,False
1990-11,1990-12-05,1A,-1.95,False
1990-12,1991-01-02,1A,-1.95,False
1991-01,1991-02-06,1A,-1.46,False
1991-02,1991-03-06,1A,-1.95,False
1991-03,1991-04-03,1A,-1.97,False
1991-04,1991-05-01,1A,-1.95,False
1991-05,1991-06-04,1A,-1.94,False
1991-06,1991-07-03,1A,-1.46,False
1991-07,1991-08-07,1A,-1.95,False
1991-08,1991-09-02,1A,-1.95,False
1991-09,1991-10-02,1A,-1.95,False
1991-10,1991-11-06,1A,-1.94,False
1991-11,1991-12-04,1A,-1.96,False
1991-12,1992-01-02,1A,-1.97,False
1992-01,1992-02-05,1A,-1.96,False
1992-02,1992-03-04,1A,-1.93,False
1992-03,1992-04-01,1A,-1.9,False
1992-04,1992-05-06,1A,-1.93,False
1992-05,1992-06-03,1A,-1.92,False
1992-06,1992-07-01,1A,-1.93,False
1992-07,1992-08-05,1A,-1.92,False
1992-08,1992-09-02,1A,-1.9,False
1992-09,1992-10-07,1A,-1.9,False
1992-10,1992-11-04,1A,-1.92,False
1992-11,1992-12-02,1A,-1.9,False
1992-12,1993-01-06,1A,-1.87,False
1993-01,1993-02-03,1A,-1.92,False
1993-02,1993-03-03,1A,-1.9,False
1993-03,1993-04-07,1A,-1.9,False
1993-04,1993-05-05,1A,-1.9,False
1993-05,1993-06-02,1A,-1.86,False
1993-06,1993-07-07,1A,-1.87,False
1993-07,1993-08-04,1A,-1.84,False
1993-08,1993-09-01,1A,-1.87,False
1993-09,1993-10-06,1A,-1.86,False
1993-10,1993-11-02,1A,-1.85,False
1993-11,1993-12-01,1A,-1.84,False
1993-12,1994-01-05,1A,-1.85,False
1994-01,1994-02-02,1A,-1.85,False
1994-02,1994-03-02,1A,-1.84,False
1994-03,1994-04-06,1A,-1.84,False
1994-04,1994-05-04,1A,-1.84,False
