filename,imagery_date,viewpoint,role,attribution,note
aerial 1-1-2006.png,2006-01-01,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial20-4-2009.png,2009-04-20,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial26-5-2012.png,2012-05-26,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial24-3-2017.png,2017-03-24,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial22-4-2017.png,2017-04-22,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial28-6-2018.png,2018-06-28,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial8-7-2018.png,2018-07-08,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial29-7-2019.png,2019-07-29,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial11-9-2019.png,2019-09-11,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial31-3-2020.png,2020-03-31,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial24-4-2020.png,2020-04-24,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
aerial31-3-2026.png,2026-03-31,vp1,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture",1920x1080 screen capture; placemarks visible; imagery date read from the rendered status bar
site1-1-2006.png,2006-01-01,vp2_2006,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site1-1-2006m.png,2006-01-01,vp2_2006,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site 20-4-2009m.png,2009-04-20,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site20-4-2007.png,2009-04-20,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers; FILENAME SAYS 2007 AND IS WRONG - the frame prints 4/20/2009"
site 27-5-2010.png,2010-05-27,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site27-5-2010m.png,2010-05-27,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site19-6-2011.png,2011-06-19,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site19-6-2011m.png,2011-06-19,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site26-5-2012.png,2012-05-26,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site26-5-2012m.png,2012-05-26,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site24-3-2017.png,2017-03-24,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site24-3-2017m.png,2017-03-24,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site22-4-2017.png,2017-04-22,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site22-4-2017m.png,2017-04-22,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site28-6-2018.png,2018-06-28,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site28-6-2018m.png,2018-06-28,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site8-7-2018.png,2018-07-08,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site8-7-2018m.png,2018-07-08,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site29-7-2019.png,2019-07-29,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site29-7-2019m.png,2019-07-29,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site11-9-2019.png,2019-09-11,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site11-9-2019m.png,2019-09-11,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site31-3-2020.png,2020-03-31,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site31-3-2020m.png,2020-03-31,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site24-3-2021.png,2021-03-24,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site24-3-2021m.png,2021-03-24,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site4-4-2021.png,2021-04-04,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site4-4-2021m.png,2021-04-04,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site31-3-2026.png,2026-03-31,vp2,registration,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
site31-3-2026m.png,2026-03-31,vp2,measurement,"Image (c) 2026 Bluesky, Infoterra Ltd & COWI A/S; Google Earth Pro screen capture","whole-site viewpoint, eye alt 3.70 km; wells drawn as small markers"
