id,easting,northing,longitude,latitude
G001,242400.0,365000.0,-4.35859632,53.15873835
G002,242600.0,365000.0,-4.35560779,53.15879753
G003,242800.0,365000.0,-4.35261926,53.15885664
G004,242200.0,364800.0,-4.36148620,53.15688284
G005,242400.0,364800.0,-4.35849781,53.15694209
G006,242600.0,364800.0,-4.35550940,53.15700127
G007,242800.0,364800.0,-4.35252099,53.15706037
G008,243000.0,364800.0,-4.34953257,53.15711939
G009,241800.0,364600.0,-4.36736407,53.15496787
G010,242000.0,364600.0,-4.36437582,53.15502726
G011,242200.0,364600.0,-4.36138757,53.15508658
G012,242400.0,364600.0,-4.35839930,53.15514583
G013,242600.0,364600.0,-4.35541102,53.15520500
G014,242800.0,364600.0,-4.35242273,53.15526410
G015,243000.0,364600.0,-4.34943443,53.15532312
G016,243200.0,364600.0,-4.34644612,53.15538207
G017,241600.0,364400.0,-4.37025331,53.15311215
G018,241800.0,364400.0,-4.36726520,53.15317162
G019,242000.0,364400.0,-4.36427708,53.15323101
G020,242200.0,364400.0,-4.36128895,53.15329033
G021,242400.0,364400.0,-4.35830080,53.15334957
G022,242600.0,364400.0,-4.35531265,53.15340874
G023,242800.0,364400.0,-4.35232449,53.15346783
G024,243000.0,364400.0,-4.34933631,53.15352685
G025,243200.0,364400.0,-4.34634813,53.15358579
G026,243400.0,364400.0,-4.34335993,53.15364466
G027,243600.0,364400.0,-4.34037172,53.15370345
G028,241400.0,364200.0,-4.37314231,53.15125636
G029,241600.0,364200.0,-4.37015433,53.15131590
G030,241800.0,364200.0,-4.36716634,53.15137537
G031,242000.0,364200.0,-4.36417835,53.15143475
G032,242200.0,364200.0,-4.36119034,53.15149407
G033,242400.0,364200.0,-4.35820232,53.15155331
G034,242600.0,364200.0,-4.35521429,53.15161247
G035,242800.0,364200.0,-4.35222625,53.15167156
G036,243000.0,364200.0,-4.34923820,53.15173057
G037,243200.0,364200.0,-4.34625014,53.15178951
G038,243400.0,364200.0,-4.34326207,53.15184838
G039,243600.0,364200.0,-4.34027399,53.15190717
G040,243800.0,364200.0,-4.33728589,53.15196588
G041,241400.0,364000.0,-4.37304321,53.14946012
G042,241600.0,364000.0,-4.37005536,53.14951965
G043,241800.0,364000.0,-4.36706750,53.14957911
G044,242000.0,364000.0,-4.36407962,53.14963850
G045,242200.0,364000.0,-4.36109174,53.14969781
G046,242400.0,364000.0,-4.35810384,53.14975704
G047,242600.0,364000.0,-4.35511594,53.14981620
G048,242800.0,364000.0,-4.35212802,53.14987529
G049,243000.0,364000.0,-4.34914010,53.14993430
G050,243200.0,364000.0,-4.34615216,53.14999324
G051,243400.0,364000.0,-4.34316421,53.15005210
G052,243600.0,364000.0,-4.34017626,53.15011088
G053,243800.0,364000.0,-4.33718829,53.15016959
G054,241200.0,363800.0,-4.37593184,53.14760427
G055,241400.0,363800.0,-4.37294412,53.14766388
G056,241600.0,363800.0,-4.36995640,53.14772341
G057,241800.0,363800.0,-4.36696866,53.14778286
G058,242000.0,363800.0,-4.36398091,53.14784224
G059,242200.0,363800.0,-4.36099315,53.14790155
G060,242400.0,363800.0,-4.35800538,53.14796078
G061,242600.0,363800.0,-4.35501760,53.14801994
G062,242800.0,363800.0,-4.35202981,53.14807902
G063,243000.0,363800.0,-4.34904201,53.14813802
G064,243200.0,363800.0,-4.34605420,53.14819696
G065,243400.0,363800.0,-4.34306637,53.14825581
G066,243600.0,363800.0,-4.34007854,53.14831460
G067,243800.0,363800.0,-4.33709070,53.14837330
G068,241000.0,363600.0,-4.37882022,53.14574835
G069,241200.0,363600.0,-4.37583264,53.14580803
G070,241400.0,363600.0,-4.37284505,53.14586763
G071,241600.0,363600.0,-4.36985744,53.14592716
G072,241800.0,363600.0,-4.36686983,53.14598661
G073,242000.0,363600.0,-4.36388221,53.14604599
G074,242200.0,363600.0,-4.36089457,53.14610529
G075,242400.0,363600.0,-4.35790693,53.14616452
G076,242600.0,363600.0,-4.35491927,53.14622367
G077,242800.0,363600.0,-4.35193160,53.14628275
G078,243000.0,363600.0,-4.34894393,53.14634175
G079,243200.0,363600.0,-4.34595624,53.14640068
G080,243400.0,363600.0,-4.34296854,53.14645953
G081,243600.0,363600.0,-4.33998083,53.14651831
G082,243800.0,363600.0,-4.33699312,53.14657701
G083,244000.0,363600.0,-4.33400539,53.14663564
G084,240800.0,363400.0,-4.38170836,53.14389237
G085,241000.0,363400.0,-4.37872091,53.14395211
G086,241200.0,363400.0,-4.37573345,53.14401179
G087,241400.0,363400.0,-4.37274598,53.14407138
G088,241600.0,363400.0,-4.36975850,53.14413091
G089,241800.0,363400.0,-4.36677102,53.14419036
G090,242000.0,363400.0,-4.36378352,53.14424973
G091,242200.0,363400.0,-4.36079600,53.14430903
G092,242400.0,363400.0,-4.35780848,53.14436825
G093,242600.0,363400.0,-4.35482095,53.14442740
G094,242800.0,363400.0,-4.35183341,53.14448647
G095,243000.0,363400.0,-4.34884586,53.14454547
G096,243200.0,363400.0,-4.34585829,53.14460440
G097,243400.0,363400.0,-4.34287072,53.14466325
G098,243600.0,363400.0,-4.33988314,53.14472202
G099,243800.0,363400.0,-4.33689554,53.14478072
G100,244000.0,363400.0,-4.33390794,53.14483934
G101,240800.0,363200.0,-4.38160893,53.14209613
G102,241000.0,363200.0,-4.37862161,53.14215588
G103,241200.0,363200.0,-4.37563427,53.14221554
G104,241400.0,363200.0,-4.37264693,53.14227514
G105,241600.0,363200.0,-4.36965957,53.14233466
G106,241800.0,363200.0,-4.36667221,53.14239410
G107,242000.0,363200.0,-4.36368483,53.14245347
G108,242200.0,363200.0,-4.36069745,53.14251277
G109,242400.0,363200.0,-4.35771005,53.14257199
G110,242600.0,363200.0,-4.35472264,53.14263113
G111,242800.0,363200.0,-4.35173523,53.14269020
G112,243000.0,363200.0,-4.34874780,53.14274920
G113,243200.0,363200.0,-4.34576036,53.14280812
G114,243400.0,363200.0,-4.34277291,53.14286696
G115,243600.0,363200.0,-4.33978545,53.14292573
G116,243800.0,363200.0,-4.33679798,53.14298443
G117,244000.0,363200.0,-4.33381050,53.14304305
G118,240800.0,363000.0,-4.38150951,53.14029990
G119,241000.0,363000.0,-4.37852231,53.14035964
G120,241200.0,363000.0,-4.37553510,53.14041930
G121,241400.0,363000.0,-4.37254788,53.14047889
G122,241600.0,363000.0,-4.36956065,53.14053841
G123,241800.0,363000.0,-4.36657341,53.14059785
G124,242000.0,363000.0,-4.36358616,53.14065721
G125,242200.0,363000.0,-4.36059890,53.14071650
G126,242400.0,363000.0,-4.35761163,53.14077572
G127,242600.0,363000.0,-4.35462435,53.14083486
G128,242800.0,363000.0,-4.35163705,53.14089393
G129,243000.0,363000.0,-4.34864975,53.14095292
G130,243200.0,363000.0,-4.34566244,53.14101183
G131,243400.0,363000.0,-4.34267511,53.14107068
G132,243600.0,363000.0,-4.33968778,53.14112944
G133,243800.0,363000.0,-4.33670043,53.14118813
G134,241000.0,362800.0,-4.37842303,53.13856340
G135,241200.0,362800.0,-4.37543595,53.13862306
G136,241400.0,362800.0,-4.37244885,53.13868264
G137,241600.0,362800.0,-4.36946175,53.13874216
G138,241800.0,362800.0,-4.36647463,53.13880159
G139,242000.0,362800.0,-4.36348750,53.13886095
G140,242200.0,362800.0,-4.36050037,53.13892024
G141,242400.0,362800.0,-4.35751322,53.13897945
G142,242600.0,362800.0,-4.35452606,53.13903859
G143,242800.0,362800.0,-4.35153889,53.13909765
G144,243000.0,362800.0,-4.34855171,53.13915664
G145,243200.0,362800.0,-4.34556452,53.13921555
G146,243400.0,362800.0,-4.34257732,53.13927439
G147,243600.0,362800.0,-4.33959011,53.13933315
G148,241200.0,362600.0,-4.37533680,53.13682681
G149,241400.0,362600.0,-4.37234983,53.13688640
G150,241600.0,362600.0,-4.36936285,53.13694590
G151,241800.0,362600.0,-4.36637586,53.13700534
G152,242000.0,362600.0,-4.36338885,53.13706469
G153,242200.0,362600.0,-4.36040184,53.13712398
G154,242400.0,362600.0,-4.35741482,53.13718319
G155,242600.0,362600.0,-4.35442778,53.13724232
G156,242800.0,362600.0,-4.35144074,53.13730138
G157,243000.0,362600.0,-4.34845368,53.13736036
G158,243200.0,362600.0,-4.34546662,53.13741927
G159,243400.0,362600.0,-4.34247954,53.13747810
G160,241400.0,362400.0,-4.37225082,53.13509015
G161,241600.0,362400.0,-4.36926396,53.13514965
G162,241800.0,362400.0,-4.36627709,53.13520908
G163,242000.0,362400.0,-4.36329021,53.13526843
G164,242200.0,362400.0,-4.36030333,53.13532771
G165,242400.0,362400.0,-4.35731643,53.13538692
G166,242600.0,362400.0,-4.35432952,53.13544605
G167,242800.0,362400.0,-4.35134260,53.13550510
G168,243000.0,362400.0,-4.34835567,53.13556408
G169,243200.0,362400.0,-4.34536873,53.13562299
G170,241600.0,362200.0,-4.36916508,53.13335340
G171,241800.0,362200.0,-4.36617834,53.13341282
G172,242000.0,362200.0,-4.36319159,53.13347217
G173,242200.0,362200.0,-4.36020482,53.13353145
G174,242400.0,362200.0,-4.35721805,53.13359065
G175,242600.0,362200.0,-4.35423126,53.13364977
G176,242800.0,362200.0,-4.35124447,53.13370882
G177,242000.0,362000.0,-4.36309297,53.13167591
G178,242200.0,362000.0,-4.36010633,53.13173518
G179,242400.0,362000.0,-4.35711968,53.13179438
G180,242200.0,361800.0,-4.36000785,53.12993892
