filename,imagery_date,pin_tip_n_m,note
Screenshot from 2026-09-14 20-20-29.png,2021-03-24,7,"pins on (georef_random, icon scale 0.9); 2.18 km; Terrain off"
Screenshot from 2026-09-14 20-20-36.png,2021-03-24,7,"pins on; 2.18 km"
Screenshot from 2026-09-14 20-20-44.png,2021-03-24,7,"pins on; 2.18 km"
Screenshot from 2026-09-14 20-20-52.png,2021-03-24,7,"pins on; 2.18 km"
Screenshot from 2026-09-15 09-17-16.png,2019-09-11,10,"pins on (icon scale 0.5); 2.04 km"
Screenshot from 2026-09-15 09-17-37.png,2019-09-11,10,"clean twin"
Screenshot from 2026-09-15 09-17-55.png,2019-07-29,10,"clean twin"
Screenshot from 2026-09-15 09-18-05.png,2019-07-29,10,"pins on"
Screenshot from 2026-09-15 09-18-25.png,2018-06-28,10,"pins on"
Screenshot from 2026-09-15 09-18-31.png,2018-06-28,10,"clean twin"
Screenshot from 2026-09-15 09-19-11.png,2012-05-26,10,"clean twin"
Screenshot from 2026-09-15 09-19-20.png,2012-05-26,10,"pins on"
Screenshot from 2026-09-15 09-20-11.png,2012-05-26,10,"pins on"
Screenshot from 2026-09-15 09-20-18.png,2012-05-26,10,"clean twin"
Screenshot from 2026-09-15 09-20-41.png,2018-06-28,10,"clean twin"
Screenshot from 2026-09-15 09-20-55.png,2018-06-28,10,"pins on"
Screenshot from 2026-09-15 09-21-06.png,2019-07-29,10,"pins on"
Screenshot from 2026-09-15 09-21-19.png,2019-07-29,10,"clean twin"
Screenshot from 2026-09-15 09-21-34.png,2019-07-29,10,"clean twin"
Screenshot from 2026-09-15 09-21-40.png,2019-07-29,10,"pins on"
Screenshot from 2026-09-15 09-21-53.png,2018-06-28,10,"pins on"
Screenshot from 2026-09-15 09-21-59.png,2018-06-28,10,"clean twin"
Screenshot from 2026-09-15 09-22-17.png,2012-05-26,10,"clean; ties to the 2018 pinned frame of the same view"
