site_no,sketch_slack,easting,northing,height_m_od,source,note
1,PL,242586.8,364583.2,9.11,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
2,BS,242141.1,364125.0,10.89,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
3,AS,241718.0,363247.0,7.42,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
4,CG,241874.1,364311.0,11.62,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
5,BS,242079.6,364010.3,11.21,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
6,BS,242083.2,363818.5,10.56,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
7,AS,241797.7,363241.8,6.75,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
8,AS,241648.0,363123.1,6.85,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
9,AS,241615.6,362979.3,6.18,"R9.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",supplied separately after MARTIN-RANWELL-WELLS.kml omitted it
10,AS,241484.5,362942.6,4.38,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
11,CG,242120.5,364239.3,11.08,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
12,CG,241750.0,364092.6,10.83,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
13,CG,241691.5,364113.5,11.41,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
14,BS,242137.3,364102.4,10.65,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
15,BS,241900.2,363581.7,9.67,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
16,PL,242325.6,364428.9,10.28,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
18,AS,241744.7,363292.6,7.07,"MARTIN-RANWELL-WELLS.kml 2026-09-08 (Google Earth, hand-placed over the georeferenced sketch)",site numbers assigned by nearest-neighbour to ranwell_1959_sites_georef_px.csv; site 9 absent from the KML
