name,easting,northing,lon,lat
SC001,241748.77,361668.51,-4.36668093,53.12862416
SC002,241280.03,361887.3,-4.37378858,53.13044977
SC003,241123.1,361824.64,-4.37610081,53.12984022
SC004,241442.27,361920.89,-4.37138243,53.13079976
SC005,240548.65,362100.18,-4.38481573,53.13214331
SC006,241726.11,361838.49,-4.3671033,53.13014408
SC007,241792.01,362410.76,-4.36640171,53.13530337
SC008,241055.54,361605.62,-4.37700102,53.12785298
SC009,240374.84,361959.88,-4.38734145,53.13083115
SC010,240305.77,362277.83,-4.38853133,53.13366606
SC011,240939.51,361525.66,-4.37869391,53.1271002
SC012,241525.09,361534.86,-4.36995478,53.12735736
SC013,241668.15,362527.07,-4.36830893,53.13631119
SC014,240740.39,362300.98,-4.38205235,53.13400402
SC015,241368.87,361785.04,-4.37241132,53.1295578
SC016,241914.44,361553.18,-4.36415025,53.12763749
SC017,240482.83,361963.44,-4.3857306,53.13089551
SC018,240520.85,362276.62,-4.38531868,53.13371956
SC019,240613.1,361615.73,-4.38361249,53.1278116
SC020,241423.74,361609.51,-4.37150516,53.12799764
SC021,241194.15,362379.76,-4.37531494,53.13484708
SC022,240702.52,362460.78,-4.38269735,53.1354279
SC023,241905.81,361661.32,-4.36433244,53.12860616
SC024,241048.73,362288.35,-4.37744132,53.13398275
SC025,241386.49,362409.33,-4.37245725,53.1351699
SC026,241605.07,361739.44,-4.36886169,53.12921845
SC027,241956.78,361976.62,-4.36372684,53.13145308
SC028,241657.55,361921.17,-4.3681679,53.13086626
SC029,241010.78,362503.1,-4.37811466,53.13590011
SC030,240281.99,361616.63,-4.38855686,53.12772059
SC031,239612.17,361546.23,-4.39852298,53.12688713
SC032,239982.95,363264.93,-4.39384522,53.14243439
SC033,240140.93,363321.13,-4.39151358,53.14298665
SC034,239055.41,363140.68,-4.40763688,53.14103904
SC035,240751.74,363490.37,-4.38247418,53.14468954
SC036,241906.81,363010.86,-4.36498346,53.14072707
SC037,239725.95,363487.4,-4.39779521,53.14435515
SC038,242472.75,361479.13,-4.35577726,53.12713777
SC039,240321.17,363500.35,-4.38891069,53.14465025
SC040,239794.89,362212.99,-4.39612806,53.13293033
SC041,239103.86,362130.93,-4.40640612,53.13198512
SC042,239159.06,361608.98,-4.40531994,53.12731415
SC043,242617.57,362401.3,-4.35406769,53.13546296
SC044,239665.03,361855.98,-4.39788869,53.12968489
SC045,239767.72,362654.84,-4.39675487,53.13689046
SC046,240889.64,362665.22,-4.38000428,53.13731998
SC047,240011.14,362397.01,-4.3929907,53.13464799
SC048,242405.47,363425.4,-4.3577393,53.14459804
SC049,240431.78,361574.82,-4.38629944,53.12738991
SC050,239866.53,362918.14,-4.39541075,53.13928488
SC051,239401.37,363075.16,-4.40243682,53.14055504
SC052,242062.32,363031.81,-4.36267098,53.14096137
SC053,241756.86,362255.83,-4.36685014,53.1339014
SC054,242295.88,361529.34,-4.35844299,53.12753637
SC055,239570.68,362254.1,-4.39949686,53.1332321
SC056,239813.64,362450.57,-4.39596686,53.13506973
SC057,239234.02,363582.09,-4.40519077,53.14505727
SC058,242065.29,361509.32,-4.36187623,53.1272883
SC059,239268.96,361948.97,-4.40384953,53.13040073
SC060,239982.44,361955.78,-4.39319886,53.13067666
SC061,241374.1,362062.07,-4.37247031,53.13204738
SC062,240031.76,361649.17,-4.39230937,53.12793774
SC063,240717.02,361496.08,-4.38200133,53.12676815
SC064,239281.23,362970.12,-4.40417849,53.13957547
SC065,241140.97,362747.44,-4.3762915,53.13813343
SC066,242166.78,362552.85,-4.36087479,53.13669065
SC067,241508.33,363024.78,-4.37094206,53.14073371
SC068,240068.09,363129.71,-4.392506,53.14124559
SC069,242164.67,361753.48,-4.36051244,53.12951068
SC070,241999.64,363207.93,-4.36369415,53.14252462
SC071,240035.22,362645.17,-4.39275494,53.13688399
SC072,241253.09,361440.55,-4.37396955,53.12642937
SC073,242273.39,362126.85,-4.35907283,53.13289624
SC074,242707.1,362731.43,-4.35289274,53.13845434
SC075,240083.06,363569.35,-4.39250199,53.14519856
SC076,240360.43,363302.18,-4.38822546,53.14288224
SC077,240879.82,362417.48,-4.38002801,53.13509206
SC078,239825.06,363260.75,-4.39620139,53.14234942
