mode,month,well,observed_h_m,modelled_h_recurrence_m,modelled_h_nearest_hollow_m
R,2005-10,nw1,-0.89,-1.391,-1.616
R,2005-10,nw2,-0.06,-0.608,-0.676
R,2005-10,nw3,0.0,-0.062,-0.969
R,2005-10,nw5,-0.533,-0.589,0.3
R,2005-10,nw6,-0.01,-0.353,-0.433
R,2005-10,nw7,-0.68,-0.743,-1.081
R,2005-11,nw1,-0.947,-1.149,-1.456
R,2005-11,nw2,-0.14,-0.411,-0.493
R,2005-11,nw3,0.018,0.125,-0.759
R,2005-11,nw4,0.02,0.283,0.033
R,2005-11,nw5,-0.03,-0.393,0.388
R,2005-11,nw6,-0.01,-0.171,-0.278
R,2005-11,nw7,-0.68,-0.539,-0.948
R,2005-12,nw1,-0.91,-1.127,-1.51
R,2005-12,nw2,-0.1,-0.431,-0.526
R,2005-12,nw3,0.01,0.07,-0.792
R,2005-12,nw4,0.02,0.219,-0.036
R,2005-12,nw5,0.025,-0.414,0.266
R,2005-12,nw6,0.03,-0.204,-0.336
R,2005-12,nw7,-0.708,-0.551,-1.028
R,2006-01,nw1,-0.97,-1.084,-1.54
R,2006-01,nw2,-0.163,-0.428,-0.535
R,2006-01,nw3,-0.012,0.042,-0.799
R,2006-01,nw4,0.018,0.181,-0.077
R,2006-01,nw5,0.025,-0.412,0.172
R,2006-01,nw6,0.015,-0.214,-0.369
R,2006-01,nw7,-0.645,-0.541,-1.081
R,2006-01,nw8,-0.735,-1.11,-1.263
R,2006-02,nw1,-0.95,-1.106,-1.629
R,2006-02,nw2,-0.137,-0.487,-0.606
R,2006-02,nw3,-0.017,-0.053,-0.875
R,2006-02,nw4,0.022,0.077,-0.184
R,2006-02,nw4b,0.005,-0.218,-0.28
R,2006-02,nw5,0.035,-0.472,0.022
R,2006-02,nw6,0.013,-0.286,-0.463
R,2006-02,nw7,-0.667,-0.594,-1.194
R,2006-02,nw9,-0.159,-0.701,0.714
R,2006-02,nw8,-0.703,-1.141,-1.322
R,2006-03,nw1,-0.92,-0.973,-1.561
R,2006-03,nw2,-0.096,-0.389,-0.519
R,2006-03,nw3,0.0,0.031,-0.773
R,2006-03,nw4,0.02,0.153,-0.111
R,2006-03,nw4b,0.013,-0.124,-0.207
R,2006-03,nw5,0.043,-0.375,0.033
R,2006-03,nw6,0.049,-0.199,-0.398
R,2006-03,nw7,-0.585,-0.49,-1.146
R,2006-03,nw9,-0.057,-0.646,0.812
R,2006-03,nw8,-0.578,-1.066,-1.273
R,2006-04,nw1,-1.1,-1.017,-1.665
R,2006-04,nw2,-0.266,-0.466,-0.607
R,2006-04,nw3,-0.076,-0.073,-0.86
R,2006-04,nw4,-0.036,0.041,-0.226
R,2006-04,nw4b,-0.059,-0.218,-0.322
R,2006-04,nw5,-0.068,-0.453,-0.125
R,2006-04,nw6,-0.006,-0.287,-0.506
R,2006-04,nw7,-0.71,-0.562,-1.271
R,2006-04,nw9,-0.105,-0.709,0.735
R,2006-04,ceh1,-0.08,-0.497,-1.304
R,2006-04,ceh2,-0.79,-0.936,-1.972
R,2006-04,ceh6,-0.075,-0.226,-0.267
R,2006-04,nw8,-0.744,-1.111,-1.343
R,2006-05,nw1,-1.018,-0.907,-1.612
R,2006-05,nw2,-0.215,-0.388,-0.538
R,2006-05,nw3,-0.107,0.005,-0.767
R,2006-05,nw4,-0.09,0.111,-0.158
R,2006-05,nw4b,-0.123,-0.131,-0.254
R,2006-05,nw5,-0.08,-0.375,-0.123
R,2006-05,nw6,-0.03,-0.219,-0.456
R,2006-05,nw7,-0.645,-0.478,-1.237
R,2006-05,nw9,0.013,-0.668,0.813
R,2006-05,ceh1,0.108,-0.416,-1.219
R,2006-05,ceh2,-0.512,-0.899,-1.887
