Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,dist_coast_m,aliases
nw1,241725.0,364139.0,12.633,12.363,0.27,12.903,False,1316.9,bh1
nw2,241703.008,364112.082,12.064,11.474,0.59,12.654,False,1282.2,ob1
nw3,242091.94,363939.361,10.706,10.656,0.05,10.756,False,1396.9,1e
nw4,242431.164,363744.512,9.23,9.16,0.07,9.3,False,1478.0,1f
nw4b,242414.677,363751.66,9.336,9.256,0.08,9.416,False,1471.7,
nw5,241711.757,363023.697,5.725,5.725,0.0,5.725,False,459.7,2f
nw6,241444.307,363316.599,6.441,6.361,0.08,6.521,False,502.5,2e
nw7,241423.695,363584.862,8.504,8.474,0.03,8.534,False,694.8,mb
nw8,241276.11,363480.129,7.334,7.244,0.09,7.424,False,520.9,2d
nw9,240937.259,363567.162,5.18,5.149,0.031,5.211,False,419.4,2b
nw10,241435.0,364325.025,11.8,11.66,0.14,11.94,False,1322.6,1b
nw12,241262.0,364524.0,13.8,13.72,0.08,13.88,False,1422.5,1a
nw11,241689.0,364237.0,12.1,11.95,0.15,12.25,False,1375.8,1c
ceh2,241421.0,363979.0,12.03,11.32,0.71,12.74,False,1014.0,in forest nr ceh1
ceh1,241595.864,363948.335,10.692,10.652,0.04,10.732,False,1086.9,
ceh5,242521.077,364465.817,9.638,9.588,0.05,9.688,False,2075.5,nr ceh 6
ceh6,242621.679,364724.912,8.611,8.461,0.15,8.761,False,2338.0,ccw car park
ceh3,240743.0,363388.0,4.372,4.362,0.01,4.382,False,176.0,forest nr fes
ceh4,241131.693,363211.05,4.549,4.479,0.07,4.619,False,220.7,fes
ceh7,243385.803,363612.9,5.449,5.379,0.07,5.519,False,1863.4,braint
ceh8,243149.932,363382.305,5.694,5.494,0.2,5.894,False,1577.3,2 slacks in from nw4
ceh10,242538.185,363173.915,5.818,5.778,0.04,5.858,False,1122.7,beyond nw5
ceh9,241711.211,363459.012,7.983,7.983,0.0,7.983,False,784.8,nr nw6
ceh25,242512.557,364638.544,9.076,9.051,0.025,9.101,False,2202.0,nr ceh 6
ceh26,242172.261,364362.239,10.45,10.425,0.025,10.475,False,1771.7,nr ceh 5
ceh11,242618.62,362688.287,3.584,3.534,0.05,3.634,False,782.7,aber menai
ceh12,240339.0,364588.0,34.899,34.879,0.02,34.919,False,1138.5,nr fc 7
ceh13,240964.108,364066.298,11.325,11.235,0.09,11.415,False,879.0,nr 2a
ceh14,241292.0,364488.0,14.42,14.42,0.0,14.42,False,1404.7,nr 1a
ceh15,240679.892,363754.368,5.914,5.865,0.049,5.963,False,481.5,Forest carpark
