well,date,water_mAOD,depth_below_ground
ceh1,2006-04,10.572,-0.08
ceh1,2006-05,10.759,0.107
ceh1,2006-06,10.302,-0.35
ceh1,2006-07,9.942,-0.71
ceh1,2006-08,10.142,-0.51
ceh1,2006-09,9.892,-0.76
ceh1,2006-10,10.102,-0.55
ceh1,2006-11,10.372,-0.28
ceh1,2006-12,10.852,0.2
ceh1,2007-01,11.052,0.4
ceh1,2007-02,11.012,0.36
ceh1,2007-03,10.802,0.15
ceh1,2007-04,10.332,-0.32
ceh1,2007-05,10.152,-0.5
ceh1,2007-06,10.252,-0.4
ceh1,2007-07,10.052,-0.6
ceh1,2007-08,9.952,-0.7
ceh1,2007-09,9.912,-0.74
ceh1,2007-10,9.872,-0.78
ceh1,2007-11,10.152,-0.5
ceh1,2007-12,10.252,-0.4
ceh1,2008-01,10.892,0.24
ceh1,2008-02,10.522,-0.13
ceh1,2008-03,10.582,-0.07
ceh1,2008-04,10.442,-0.21
ceh1,2008-05,10.062,-0.59
ceh1,2008-06,10.182,-0.47
ceh1,2008-07,9.932,-0.72
ceh1,2008-08,9.912,-0.74
ceh1,2008-09,9.892,-0.76
ceh1,2008-10,10.335,-0.317
ceh1,2008-11,10.792,0.14
ceh1,2008-12,10.892,0.24
ceh1,2009-01,10.942,0.29
ceh1,2009-02,10.782,0.13
ceh1,2009-03,10.432,-0.22
ceh1,2009-04,10.382,-0.27
ceh1,2009-05,10.062,-0.59
ceh1,2009-06,9.882,-0.77
ceh1,2009-07,9.822,-0.83
ceh1,2009-08,9.882,-0.77
ceh1,2009-09,9.682,-0.97
ceh1,2009-10,9.602,-1.05
ceh1,2009-11,10.292,-0.36
ceh1,2009-12,10.262,-0.39
ceh1,2010-01,10.452,-0.2
ceh1,2010-02,10.152,-0.5
ceh1,2010-03,10.502,-0.15
ceh1,2010-04,10.012,-0.64
ceh1,2010-05,9.892,-0.76
ceh1,2010-06,9.722,-0.93
ceh1,2010-07,9.922,-0.73
ceh1,2010-08,9.622,-1.03
ceh1,2010-09,9.632,-1.02
ceh1,2010-10,9.682,-0.97
ceh1,2010-11,9.792,-0.86
ceh1,2010-12,9.872,-0.78
ceh1,2011-01,9.892,-0.76
ceh1,2011-02,9.962,-0.69
ceh1,2011-03,9.802,-0.85
ceh1,2011-04,9.662,-0.99
ceh1,2011-05,9.522,-1.13
ceh1,2011-06,9.422,-1.23
ceh1,2011-07,9.282,-1.37
ceh1,2011-08,9.172,-1.48
ceh1,2011-09,9.197,-1.455
ceh1,2011-10,9.222,-1.43
ceh1,2011-11,9.132,-1.52
ceh1,2011-12,9.422,-1.23
ceh1,2012-01,9.402,-1.25
ceh1,2012-02,9.412,-1.24
ceh1,2012-03,9.252,-1.4
ceh1,2012-04,9.182,-1.47
ceh1,2012-05,9.082,-1.57
ceh1,2012-06,9.082,-1.57
ceh1,2012-07,9.192,-1.46
ceh1,2012-08,9.272,-1.38
ceh1,2012-09,9.392,-1.26
ceh1,2012-10,9.662,-0.99
ceh1,2012-11,10.102,-0.55
ceh1,2012-12,10.612,-0.04
ceh1,2013-01,10.652,0.0
ceh1,2013-02,10.782,0.13
ceh1,2013-03,10.602,-0.05
ceh1,2013-04,10.242,-0.41
ceh1,2013-05,10.102,-0.55
ceh1,2013-06,9.922,-0.73
ceh1,2013-07,9.752,-0.9
ceh1,2013-08,9.742,-0.91
ceh1,2013-09,9.692,-0.96
ceh1,2013-10,9.982,-0.67
