Year,Annual_P_mm,Annual_PET_mm,Months_complete,P_PET_ratio,Notes
1930,130.3,70.5529950111295,1.0,1.846838677499738,*
1931,851.6999999999999,619.6703190510448,12.0,1.3744405271891713,
1932,841.0999999999999,630.5308227304989,12.0,1.333955406585258,
1933,593.4999999999998,648.6954922836997,12.0,0.9149130941400765,
1934,921.4,634.6375443603072,12.0,1.451852333962907,
1935,898.8,633.5947053539718,12.0,1.418572460288893,
1936,963.4,625.3057515691278,12.0,1.5406862923977052,
1937,845.5999999999999,629.9937611932015,12.0,1.3422355142032556,
1938,962.7999999999998,630.0696225106492,12.0,1.5280850966334707,
1939,854.4999999999998,631.9779881769697,12.0,1.3521040542328482,
1940,898.8999999999996,628.9298522650923,12.0,1.4292531937585873,
1941,686.3,613.8793044425008,12.0,1.1179722056655232,
1942,877.8,621.7040780017478,12.0,1.411925755451667,
1943,828.9999999999998,634.6859987939027,12.0,1.30615769305665,
1944,817.0999999999998,629.2908909083455,12.0,1.2984456184016306,
1945,592.1999999999998,640.1046387050742,12.0,0.9251612380094839,
1946,934.4999999999998,623.1606457956258,12.0,1.499613312080818,
1947,845.1999999999999,623.3118751603299,12.0,1.355982508407361,
1948,878.6999999999999,631.9171731871414,12.0,1.390530337335482,
1949,698.0999999999999,645.8521733911289,12.0,1.0808975006378583,
1950,910.0999999999997,635.073684904585,12.0,1.433062055053872,
1951,995.1999999999998,616.1707314562951,12.0,1.6151367619294152,
1952,777.1999999999998,631.2200748824779,12.0,1.2312662903579243,
1953,769.5999999999998,634.598394205696,12.0,1.2127354985877021,
1954,1045.4999999999998,618.9658289796132,12.0,1.6891077843885873,
1955,644.3,626.8438158509722,12.0,1.0278477408688003,
1956,874.2999999999997,618.3346010966461,12.0,1.4139593651226807,
1957,1029.1999999999998,644.2273173117012,12.0,1.5975727392230938,
1958,1045.0,620.8276896991708,12.0,1.683236777835033,
1959,834.1999999999997,656.0740985428364,12.0,1.2715027187520238,
1960,1045.1999999999998,642.9933890524642,12.0,1.6255221558968753,
1961,1056.6,635.8466338029185,12.0,1.6617214652542998,
1962,729.6999999999999,609.1112316815752,12.0,1.1979749544028517,
1963,783.8000000000001,605.9141887894062,12.0,1.293582514656082,
1964,831.4999999999998,634.3406016542954,12.0,1.3108099936083752,
1965,1005.9999999999999,622.8492491991678,12.0,1.615158084068449,
1966,920.4999999999997,631.8598068760373,12.0,1.45681049812461,
1967,962.1,630.0384798339089,12.0,1.5270495863262659,
1968,814.6999999999997,627.955353780081,12.0,1.2973852282583123,
1969,856.4999999999999,623.6399199047428,12.0,1.3733886697484425,
1970,879.1,633.2260788597349,12.0,1.3882877369533106,
