Year,Annual_P_mm,Annual_PET_mm,Months_complete,P_PET_ratio,Notes
2005,650.2999999999998,577.2642299273848,9.0,1.1265205191768115,*
2006,953.9999999999998,655.4361833555408,12.0,1.4555192774313213,
2007,773.6999999999999,653.6614019343298,12.0,1.1836403338340755,
2008,1039.7,648.7159722238484,12.0,1.6027044878143328,
2009,871.3,646.9782696497674,12.0,1.3467222020790064,
2010,736.1999999999999,628.7826292238318,12.0,1.1708338713312803,
2011,760.5999999999997,647.4500473308475,12.0,1.1747624440458686,
2012,1021.6999999999997,637.0259666318248,12.0,1.6038592671537062,
2013,843.9999999999998,633.6053149272641,12.0,1.3320595331446807,
2014,942.9999999999998,662.5331469160283,12.0,1.4233250130797137,
2015,973.9999999999999,631.1773486736495,12.0,1.5431478997887913,
2016,858.3999999999994,651.9506044222722,12.0,1.3166641677718405,
2017,870.9999999999999,659.4027134688491,12.0,1.3208923503180987,
2018,873.1999999999997,653.0100358769143,12.0,1.337192312561317,
2019,832.0,654.4261952664165,12.0,1.271342751891668,
2020,944.1999999999999,656.5692836326588,12.0,1.438081286373833,
2021,906.5999999999998,649.0418511992075,12.0,1.3968282604964732,
2022,747.1999999999998,668.2174541346759,12.0,1.1181988668158993,
2023,986.1999999999997,672.880636415357,12.0,1.465638846815078,
2024,911.1999999999998,657.8130345953276,12.0,1.3851960239136192,
2025,942.9999999999998,675.4635231813724,12.0,1.3960783486257773,
2026,247.2,77.3953132087707,1.0,3.1939918549484783,*
Long-term mean,849.4863636363636,622.6727798270971,11.363636363636363,1.4365090872459851,Mean of yearly values
