Well,Record_start,Record_end,N_months,Mean_WL_m,Std_WL_m,Seasonal_amplitude_m,Mean_Summer_Min_m,Mean_Winter_Max_m,Missing_pct
nw1,2005-03-01,2026-02-01,250,-1.5550467213114754,0.42692077071840184,-0.7621428571428568,-2.016190476190476,-1.0827272727272728,0.0
nw2,2005-03-01,2026-02-01,250,-0.7395850491803279,0.424065505146318,-0.7489682539682536,-1.2,-0.28500000000000003,0.0
nw4,2005-03-01,2026-02-01,250,-0.3272626051956029,0.3021011099131118,-0.568644018583043,-0.7276190476190477,-0.027159090909090907,0.0
nw5,2005-03-01,2026-02-01,250,-0.622547483853916,0.40061338539699876,-0.650336752035801,-1.0285011709601874,-0.21803030303030296,0.0
nw3,2005-03-01,2026-02-01,241,-0.4755872872339568,0.3436868138819127,-0.6448314645035244,-0.8961128364389234,-0.10102272727272732,3.5999999999999996
nw 4b,2006-02-01,2026-02-01,240,-0.36682233606557374,0.3143884781115042,-0.610642857142857,-0.78675,-0.03793650793650792,4.0
nw6,2005-03-01,2026-02-01,240,-0.45015447782369955,0.33446569365829054,-0.5791433024213825,-0.810379707438531,-0.1347065946348733,4.0
nw9,2006-02-01,2026-02-01,240,-0.7442000683060109,0.36425554156681295,-0.48129523809523805,-1.0407,-0.4215000000000001,4.0
ceh 1,2006-04-01,2026-02-01,238,-0.6481280135004822,0.4814227138833672,-0.7910000000000001,-1.1030000000000002,-0.12099999999999997,4.8
ceh6,2006-04-01,2026-02-01,238,-0.26295265647242505,0.327595498597362,-0.6319999999999999,-0.714,0.19849999999999998,4.8
ceh10,2006-05-01,2026-02-01,237,-1.2901034940393075,0.4715112540005414,-0.8356893336868146,-1.752,-0.708,5.2
ceh11,2006-05-01,2026-02-01,237,-0.5146399437412095,0.3426323658115448,-0.7010166666666666,-0.9572500000000002,-0.08300000000000002,5.2
ceh3,2006-05-01,2026-02-01,237,-1.0163457148786057,0.2800219532014448,-0.23399999999999987,-1.1940000000000002,-0.787,5.2
ceh4,2006-05-01,2026-02-01,237,-0.6618707200664038,0.33919450202639495,-0.5277499999999999,-0.9890000000000002,-0.32650000000000007,5.2
ceh5,2006-05-01,2026-02-01,237,-0.4017338735677866,0.38698165821744956,-0.801,-0.9117499999999998,0.07999999999999999,5.2
nw7,2005-03-01,2026-02-01,237,-1.2410122644341446,0.37321029464864786,-0.5922282812294234,-1.5973366013071897,-0.8635714285714287,5.2
ceh9,2006-05-01,2026-02-01,233,-0.7237461212551309,0.38016408534660606,-0.6012368421052632,-1.101,-0.3896954732510288,6.800000000000001
ceh14,2006-05-01,2026-02-01,229,-1.1180428090772425,0.5406896707205247,-0.5450504745470233,-1.4847368421052631,-0.7038442622950819,8.4
ceh2,2006-04-01,2026-02-01,228,-1.256781220469206,0.42531690267632155,-0.6639473684210522,-1.6336842105263158,-0.8662072599531617,8.799999999999999
nw11,2007-05-01,2026-02-01,225,-0.8349770491803279,0.4248306953216634,-0.7657894736842106,-1.2826315789473683,-0.34,10.0
ceh13,2006-05-01,2026-02-01,223,-1.1207721025612978,0.4278812603285846,-0.4638892468051008,-1.4123185414516684,-0.7757894736842106,10.8
ceh16,2007-07-01,2026-02-01,223,-0.8895070940233771,0.33114245249214036,-0.4442105263157897,-1.158688524590164,-0.5731578947368421,10.8
ceh17,2007-07-01,2026-02-01,223,-2.0778409174446817,0.3065747547598167,-0.39631578947368395,-2.315263157894737,-1.7994736842105266,10.8
ceh18,2007-08-01,2026-02-01,222,-0.8328873295961678,0.3491685722859503,-0.5899885583524029,-1.1773684210526314,-0.433157894736842,11.200000000000001
ceh19,2008-03-01,2026-02-01,215,-0.9427418985894014,0.252266873174513,-0.38722222222222213,-1.1844444444444444,-0.6773684210526315,14.000000000000002
nw10,2007-05-01,2026-02-01,212,-1.092557858911309,0.42631402767479604,-0.6778820960698689,-1.4805555555555554,-0.7092576419213975,15.2
ceh20,2008-11-01,2026-02-01,206,-1.3046610835962589,0.40494996354718527,-0.5326951172625913,-1.65615841322064,-0.9527777777777777,17.599999999999998
WMC1,2008-12-01,2026-02-01,205,-0.540745735692651,0.34220366485539583,-0.6455882352941177,-0.9705882352941176,-0.16777777777777775,18.0
WMC2,2009-02-01,2026-02-01,203,-0.6375365916481535,0.37430509461133243,-0.6816307189542482,-1.0464705882352943,-0.23333333333333328,18.8
L7,2009-04-01,2026-02-01,202,-1.5900990099009897,0.42371716248966307,-0.9017647058823528,-2.1188235294117646,-1.0688235294117645,19.2
wmc3,2009-06-01,2026-02-01,197,-1.2610352001331446,0.32341423987886686,-0.49246323529411795,-1.5837276214833758,-0.9282352941176469,21.2
