Well,Record_start,Record_end,N_months,Mean_WL_m,Std_WL_m,Seasonal_amplitude_m,Mean_Summer_Min_m,Mean_Winter_Max_m,Missing_pct
nw1,2005-03-01,2026-02-01,252,-1.5563560911614192,0.42559762603018886,-0.7621428571428568,-2.016190476190476,-1.0827272727272728,0.0
nw2,2005-03-01,2026-02-01,252,-0.7398869372885766,0.4229243041569778,-0.7489682539682536,-1.2,-0.28500000000000003,0.0
nw4,2005-03-01,2026-02-01,247,-0.3279647684785734,0.3035700948248126,-0.5835,-0.7276190476190477,-0.027159090909090907,1.984126984126984
nw5,2005-03-01,2026-02-01,246,-0.6139361967077576,0.4010732660624459,-0.647576497741529,-1.024761904761905,-0.21666666666666662,2.380952380952381
nw4b,2006-02-01,2026-02-01,241,-0.36688993945990067,0.31373457377028646,-0.610642857142857,-0.78675,-0.03793650793650792,4.365079365079365
nw9,2006-02-01,2026-02-01,241,-0.743780355077886,0.3632986347582063,-0.4813095238095237,-1.04,-0.42078571428571426,4.365079365079365
ceh1,2006-04-01,2026-02-01,239,-0.648523389807257,0.4804491399646054,-0.7910000000000001,-1.1030000000000002,-0.12099999999999997,5.158730158730158
ceh6,2006-04-01,2026-02-01,239,-0.26210622584996685,0.3271683383755732,-0.6319999999999999,-0.714,0.19849999999999998,5.158730158730158
ceh4,2006-05-01,2026-02-01,238,-0.6622072599531615,0.33851796193453876,-0.5277499999999999,-0.9890000000000002,-0.32650000000000007,5.555555555555555
ceh5,2006-05-01,2026-02-01,238,-0.4010474314760636,0.3863095562380471,-0.801,-0.9117499999999998,0.07999999999999999,5.555555555555555
ceh11,2006-05-01,2026-02-01,236,-0.5108953644530888,0.3416354535878931,-0.7010166666666666,-0.9572500000000002,-0.08300000000000002,6.349206349206349
ceh10,2006-05-01,2026-02-01,233,-1.286833532681348,0.4742528825352634,-0.847222222222222,-1.752,-0.708,7.5396825396825395
ceh9,2006-05-01,2026-02-01,228,-0.7155282331511839,0.37758450646797337,-0.6012368421052632,-1.101,-0.37421052631578944,9.523809523809524
ceh2,2006-04-01,2026-02-01,226,-1.2490314449441464,0.4207518455684629,-0.6639473684210522,-1.6336842105263158,-0.8121052631578948,10.317460317460316
nw11,2007-05-01,2026-02-01,226,-0.8351225881328883,0.42389122238654914,-0.7657894736842106,-1.2826315789473683,-0.34,10.317460317460316
ceh16,2007-07-01,2026-02-01,224,-0.8897420228337236,0.3304178549037419,-0.4442105263157897,-1.158688524590164,-0.5731578947368421,11.11111111111111
nw7,2005-03-01,2026-02-01,224,-1.2087672594652616,0.3612977505601632,-0.520722222222222,-1.5903508771929822,-0.8635714285714287,11.11111111111111
nw6,2005-03-01,2026-02-01,222,-0.414113369517058,0.3221827991895087,-0.5049999999999999,-0.8115,-0.08910714285714284,11.904761904761903
ceh14,2006-05-01,2026-02-01,221,-1.088126622654106,0.5271467646402874,-0.5661111111111112,-1.4847368421052631,-0.7095,12.3015873015873
ceh17,2007-07-01,2026-02-01,221,-2.0727616645649434,0.30466672150185775,-0.38526315789473675,-2.315263157894737,-1.7994736842105266,12.3015873015873
ceh18,2007-08-01,2026-02-01,221,-0.8296610043765299,0.3480202797515653,-0.5833918128654971,-1.1773684210526314,-0.433157894736842,12.3015873015873
nw3,2005-03-01,2026-02-01,220,-0.4365826005961252,0.3314169274609661,-0.6251587301587302,-0.9057499999999999,-0.10102272727272732,12.698412698412698
ceh13,2006-05-01,2026-02-01,218,-1.1032046172356746,0.41769955437039225,-0.4086222910216719,-1.4110526315789476,-0.7757894736842106,13.492063492063492
ceh19,2008-03-01,2026-02-01,216,-0.9427345173041894,0.25167954564517125,-0.38722222222222213,-1.1844444444444444,-0.6773684210526315,14.285714285714285
nw10,2007-05-01,2026-02-01,207,-1.0751845252237269,0.41737706375135797,-0.6384027777777778,-1.4805555555555554,-0.6472222222222221,17.857142857142858
ceh20,2008-11-01,2026-02-01,204,-1.3100433944069434,0.40601500784393324,-0.5643055555555558,-1.6391803278688524,-0.9527777777777777,19.047619047619047
WMC1,2008-12-01,2026-02-01,203,-0.5332698053783412,0.33810969297809945,-0.6455882352941177,-0.9705882352941176,-0.16777777777777775,19.444444444444446
WMC2,2009-02-01,2026-02-01,201,-0.6306045999510643,0.3718119633045018,-0.6816307189542482,-1.0464705882352943,-0.23333333333333328,20.238095238095237
L7,2009-04-01,2026-02-01,199,-1.5808237910865806,0.42071227288375074,-0.915845588235294,-2.1188235294117646,-1.0688235294117645,21.03174603174603
D17,2010-03-01,2026-02-01,192,-0.36050418374316945,0.3672625393118066,-0.7668750000000001,-0.815625,0.0711764705882353,23.809523809523807
D43,2010-03-01,2026-02-01,192,-0.6109473189890711,0.4075773661203895,-0.8518749999999999,-1.098125,-0.11235294117647059,23.809523809523807
D44,2010-03-01,2026-02-01,192,-0.6652064549180328,0.3785108654261485,-0.7637499999999999,-1.149375,-0.20058823529411765,23.809523809523807
D5,2010-03-01,2026-02-01,192,-0.5469377561475409,0.380355243523737,-0.7462500000000001,-1.005,-0.11117647058823531,23.809523809523807
D6,2010-03-01,2026-02-01,192,-0.5371132172131148,0.3990131661300088,-0.8474999999999999,-1.041875,-0.07352941176470588,23.809523809523807
