Date,P_m,PET
1930-12-01,0.1303,0.020951107345216564
1931-01-01,0.06620000000000001,0.01940453641903148
1931-02-01,0.0606,0.019779172980438846
1931-03-01,0.0325,0.025540057569488985
1931-04-01,0.0471,0.04263645904717994
1931-05-01,0.086,0.06855246507226474
1931-06-01,0.1042,0.08991159487077524
1931-07-01,0.0435,0.09888472771986079
1931-08-01,0.0698,0.08984065556936925
1931-09-01,0.0783,0.06483400881756697
1931-10-01,0.05,0.04678949853927139
1931-11-01,0.15580000000000002,0.032345194735296685
1931-12-01,0.0577,0.024837310761565343
1932-01-01,0.1226,0.025780747406331957
1932-02-01,0.0054,0.01954971715027705
1932-03-01,0.0375,0.0285982501388093
1932-04-01,0.045399999999999996,0.04041810773001081
1932-05-01,0.06420000000000001,0.06530417472407134
1932-06-01,0.0355,0.09489389229537769
1932-07-01,0.09140000000000001,0.10220051583732617
1932-08-01,0.0385,0.09627060281692672
1932-09-01,0.0684,0.06748716474810547
1932-10-01,0.133,0.04361323440406452
1932-11-01,0.089,0.026823450429040132
1932-12-01,0.1102,0.022775274823702465
1933-01-01,0.0997,0.015221644657310903
1933-02-01,0.0521,0.018994471106036068
1933-03-01,0.0554,0.03768131953072376
1933-04-01,0.0228,0.04788442055924842
1933-05-01,0.037899999999999996,0.07158181237900721
1933-06-01,0.0354,0.0946896750376037
1933-07-01,0.036,0.10860553723514609
1933-08-01,0.0367,0.10155594567866179
1933-09-01,0.023899999999999998,0.07577036144064622
1933-10-01,0.0885,0.04705226821241505
1933-11-01,0.046,0.02415317908231824
1933-12-01,0.0591,0.012457492262266584
1934-01-01,0.09,0.02026010657373399
1934-02-01,0.0066,0.01909043375915658
1934-03-01,0.0494,0.026256942321156
1934-04-01,0.030600000000000002,0.03983344160712516
1934-05-01,0.0984,0.06446487641154199
1934-06-01,0.0394,0.08977666738366459
1934-07-01,0.0106,0.11315637175254499
1934-08-01,0.0711,0.09102354668830795
1934-09-01,0.0932,0.07218136699225412
1934-10-01,0.1217,0.04717363617699764
1934-11-01,0.0699,0.026531354220468515
