observation,value,unit,source,producer_script,description,updated,run_id
ceh36_baci_pure_scraping,0.1294262107982894,m,pipeline,09a,"CEH36 paired BACI step (Pure_Scraping era, vs CEH4)",2026-09-05,run:20260905T082118-16133d
ceh36_baci_felling_pulse,0.0236065051020407,m,pipeline,09a,"CEH36 paired BACI step (Felling_Pulse era, vs CEH4)",2026-09-05,run:20260905T082118-16133d
site_p_minus_pet_annual,0.23557798234529378,m/yr,pipeline,16,"Long-term annual P − PET (water balance, RAF Valley)",2026-09-05,run:20260905T082118-16133d
impact_vs_edge_clearfell_monthly_step,0.0653363682133117,m,pipeline,10j,"Direct Impact-vs-Edge BACI contrast — monthly differential felling step (Impact − Edge, CWB-corrected, well-FE, cluster-robust)",2026-09-05,run:20260905T082118-16133d
impact_vs_edge_clearfell_monthly_step_se,0.017986659401312,m,pipeline,10j,Standard error of impact_vs_edge_clearfell_monthly_step,2026-09-05,run:20260905T082118-16133d
impact_vs_edge_clearfell_summer_step,0.0213030303030301,m,pipeline,10j,"Direct Impact-vs-Edge BACI contrast — annual Jun–Sep minimum differential felling step (Impact − Edge, well-FE, cluster-robust)",2026-09-05,run:20260905T082118-16133d
impact_vs_edge_clearfell_summer_step_se,0.0203291707819882,m,pipeline,10j,Standard error of impact_vs_edge_clearfell_summer_step,2026-09-05,run:20260905T082118-16133d
four_zone_clearfell_step_impact,0.0241178414949264,m,pipeline,10k,"Four-zone pooled-panel BACI — Impact-vs-Forest differential felling step (monthly, well-FE, cluster-robust, zone-interacted CWB). Headline felling response.",2026-09-05,run:20260905T082118-16133d
four_zone_clearfell_step_edge,-0.0385078390193925,m,pipeline,10k,"Four-zone pooled-panel BACI — Edge-vs-Forest differential felling step (monthly, well-FE, cluster-robust).",2026-09-05,run:20260905T082118-16133d
four_zone_clearfell_step_c3warren,0.0085372321689679,m,pipeline,10k,"Four-zone pooled-panel BACI — C3/Warren-vs-Forest differential felling step. C3/Warren is a second control zone; this step is expected to be ~0 and a clearly non-zero value is a flag, not a felling finding.",2026-09-05,run:20260905T082118-16133d
four_zone_summer_step_impact,-0.0072857142857142,m,pipeline,10l,"Four-zone summer-minima BACI — Impact-vs-Forest differential felling step on the annual Jun–Sep minimum (well-FE, cluster-robust, 2011 balanced cutoff, no scraping/CWB term).",2026-09-05,run:20260905T082118-16133d
four_zone_summer_step_edge,-0.0285887445887436,m,pipeline,10l,Four-zone summer-minima BACI — Edge-vs-Forest differential felling step on the annual Jun–Sep minimum.,2026-09-05,run:20260905T082118-16133d
four_zone_summer_step_c3warren,0.0119999999999998,m,pipeline,10l,"Four-zone summer-minima BACI — C3/Warren-vs-Forest differential felling step on the annual Jun–Sep minimum. C3/Warren is a second control zone; this step is expected to be ~0 and a clearly non-zero value is a flag, not a felling finding.",2026-09-05,run:20260905T082118-16133d
four_zone_spring_step_impact,-0.014693333333333,m,pipeline,10l,"Four-zone spring-mean BACI — Impact-vs-Forest differential felling step on the annual Mar–May mean (well-FE, cluster-robust, 2011 balanced cutoff, no scraping/CWB term).",2026-09-05,run:20260905T082118-16133d
four_zone_spring_step_edge,-0.0463902083333324,m,pipeline,10l,Four-zone spring-mean BACI — Edge-vs-Forest differential felling step on the annual Mar–May mean.,2026-09-05,run:20260905T082118-16133d
four_zone_spring_step_c3warren,-0.0097318750000007,m,pipeline,10l,"Four-zone spring-mean BACI — C3/Warren-vs-Forest differential felling step on the annual Mar–May mean. C3/Warren is a second control zone; this step is expected to be ~0 and a clearly non-zero value is a flag, not a felling finding.",2026-09-05,run:20260905T082118-16133d
