well,month,dry_depth_m
ceh10,2010-05-01,1.65
ceh10,2019-08-01,1.94
ceh10,2019-09-01,1.94
ceh10,2023-05-01,1.55
ceh10,2025-08-01,1.78
ceh10,2025-10-01,1.78
ceh13,2011-07-01,2.0
ceh13,2011-08-01,2.0
ceh13,2015-11-01,1.96
ceh13,2019-07-01,1.93
ceh13,2019-08-01,1.93
ceh13,2019-09-01,1.93
ceh13,2019-10-01,1.93
ceh14,2015-11-01,1.94
ceh14,2019-09-01,1.93
ceh14,2019-10-01,1.93
ceh14,2019-11-01,1.93
ceh15,2012-05-01,1.97
ceh15,2012-06-01,1.97
ceh17,2012-05-01,2.7
ceh17,2012-06-01,2.7
ceh17,2018-09-01,2.62
ceh17,2019-07-01,2.64
ceh17,2019-08-01,2.64
ceh17,2019-09-01,2.64
ceh18,2025-07-01,1.33
ceh18,2025-08-01,1.33
ceh19,2010-06-01,0.97
ceh2,2012-02-01,2.64
ceh2,2015-10-01,2.65
ceh2,2019-09-01,2.65
ceh20,2024-07-01,0.98
ceh20,2024-08-01,0.98
ceh20,2024-09-01,0.98
ceh20,2024-10-01,1.15
ceh22,2018-08-01,0.95
ceh22,2022-08-01,1.07
ceh22,2022-09-01,1.07
ceh22,2022-10-01,1.07
ceh22,2025-05-01,0.85
ceh28,2011-08-01,1.0
ceh28,2015-10-01,0.99
ceh28,2022-08-01,0.96
ceh28,2022-09-01,0.96
ceh28,2022-10-01,0.96
ceh30,2022-10-01,2.15
ceh31,2022-08-01,1.96
ceh31,2022-09-01,1.96
ceh31,2022-10-01,1.96
ceh7,2009-10-01,1.03
ceh7,2011-07-01,1.0
ceh7,2011-08-01,1.0
d41,2025-08-01,1.31
d44,2025-08-01,1.31
d5,2025-08-01,1.25
d7,2011-07-01,1.18
d7,2017-08-01,1.16
d7,2018-08-01,1.16
d7,2018-09-01,1.16
d7,2019-08-01,1.13
d7,2019-09-01,1.13
d7,2022-08-01,1.1
d7,2022-09-01,1.1
d7,2022-10-01,1.1
d7,2025-08-01,1.0
d7,2025-09-01,1.0
d7,2025-10-01,1.0
nw10,2010-08-01,1.68
nw10,2011-08-01,1.99
nw10,2011-09-01,1.99
nw10,2011-10-01,1.99
nw10,2011-11-01,1.99
nw10,2011-12-01,1.99
nw10,2012-01-01,1.99
nw10,2012-02-01,1.99
nw10,2012-03-01,1.99
nw10,2012-04-01,1.99
nw10,2012-05-01,1.99
nw10,2012-06-01,1.99
nw10,2012-07-01,1.99
nw10,2012-08-01,1.99
nw10,2012-09-01,1.99
nw10,2015-10-01,1.9
nw10,2018-09-01,1.84
nw10,2019-07-01,1.84
nw10,2019-08-01,1.84
nw10,2019-09-01,1.84
nw10,2019-10-01,1.84
nw10,2019-11-01,1.84
nw12,2010-11-01,1.83
nw12,2011-07-01,1.83
nw12,2011-08-01,1.83
nw12,2011-09-01,1.83
nw12,2011-10-01,1.83
nw12,2011-11-01,1.83
nw12,2011-12-01,1.83
nw12,2012-01-01,1.83
nw12,2012-02-01,1.83
nw12,2012-03-01,1.83
nw12,2012-04-01,1.83
nw12,2012-05-01,1.83
nw12,2012-06-01,1.83
nw12,2012-07-01,1.83
nw12,2012-08-01,1.83
nw12,2012-09-01,1.83
nw12,2012-10-01,1.83
nw3,2011-07-01,1.1
nw3,2011-08-01,1.1
nw3,2017-08-01,1.1
nw3,2017-09-01,1.1
nw3,2022-08-01,1.1
nw3,2022-09-01,1.1
nw3,2022-10-01,1.1
nw3,2025-07-01,1.1
nw3,2025-08-01,1.1
nw3,2025-10-01,1.1
nw6,2011-08-01,1.21
nw6,2012-04-01,1.1
nw6,2012-05-01,1.1
nw6,2012-06-01,1.1
nw6,2017-07-01,1.06
nw6,2017-08-01,1.1
nw6,2017-09-01,1.1
nw6,2017-10-01,1.1
nw6,2018-08-01,1.0
nw6,2018-09-01,1.0
nw6,2019-06-01,0.95
nw6,2019-07-01,0.95
nw6,2019-08-01,0.95
nw6,2019-09-01,0.95
nw6,2022-08-01,1.14
nw6,2022-09-01,1.14
nw6,2022-10-01,1.14
nw6,2025-07-01,0.94
nw6,2025-08-01,0.94
nw6,2025-10-01,0.94
nw7,2011-07-01,1.89
nw7,2011-08-01,1.89
nw7,2015-10-01,1.87
nw7,2017-08-01,1.88
nw7,2017-10-01,1.88
nw7,2018-08-01,1.85
nw7,2019-06-01,1.88
nw7,2019-07-01,1.88
nw7,2019-08-01,1.88
nw7,2019-09-01,1.88
nw7,2022-08-01,1.87
nw7,2022-09-01,1.87
nw7,2022-10-01,1.87
nw7,2025-07-01,1.16
nw7,2025-08-01,1.16
nw8,2011-07-01,1.83
nw8,2011-08-01,1.83
nw8,2011-09-01,1.83
nw8,2011-10-01,1.83
nw8,2011-11-01,1.83
nw8,2011-12-01,1.83
nw8,2012-01-01,1.83
nw8,2012-02-01,1.83
nw8,2012-03-01,1.83
nw8,2012-04-01,1.83
nw8,2015-11-01,1.84
p1,2022-08-01,0.81
p1,2022-09-01,0.81
p1,2022-10-01,0.81
p1,2023-06-01,0.79
t41b,2022-08-01,0.97
t41b,2022-09-01,0.97
t41d,2022-09-01,1.33
wmc3,2015-10-01,1.9
wmc3,2019-06-01,1.7
wmc3,2025-08-01,1.68
wmc3,2025-10-01,1.68
