Name,E,N,DEM_Ground_Elev,DGPS_Ground_Elev,Upstand_m,Pipe_Top_Elev,Upstand_Estimated,dist_coast_m,aliases,ground_source,Match_ID,ground_elev_m,pipe_top_elev_m,in_forest,in_1998_replant,dist_1998_replant_m,dist_broadleaf_restock_m
nw1,241725.0,364139.0,12.633,12.363,0.27,12.633,False,1316.9,bh1,dgps,nw1,12.363,12.633,False,,400.3119891395757,46.23701478211767
nw2,241703.008,364112.082,12.064,11.474,0.59,12.064,False,1282.2,ob1,dgps,nw2,11.474,12.064,False,,375.94758765086783,43.74785051866695
nw3,242091.94,363939.361,10.706,10.656,0.05,10.706,False,1396.9,1e,dgps,nw3,10.656,10.706000000000001,False,,778.8915966251071,461.2070515185589
nw4,242431.164,363744.512,9.23,9.16,0.07,9.23,False,1478.0,1f,dgps,nw4,9.16,9.23,False,,1156.2139047237265,851.3831342466833
nw4b,242414.677,363751.66,9.336,9.256,0.08,9.336,False,1471.7,,dgps,nw4b,9.256,9.336,False,,1138.3461407762602,833.6651990241899
nw5,241711.757,363023.697,5.725,5.725,0.0,5.725,False,459.7,2f,dgps,nw5,5.725,5.725,False,,781.9293672084316,1032.7005536316487
nw6,241444.307,363316.599,6.441,6.361,0.08,6.441,False,502.5,2e,dgps,nw6,6.361,6.441,False,,388.01045044204403,752.1257162330634
nw7,241423.695,363584.862,8.504,8.474,0.03,8.504,False,694.8,mb,dgps,nw7,8.474,8.504,False,,286.37770826491214,500.73265057914324
nw8,241276.11,363480.129,7.334,7.244,0.09,7.334,False,520.9,2d,dgps,nw8,7.244,7.334,False,,156.7820056687593,659.1850396791674
nw9,240937.259,363567.162,5.18,5.149,0.031,5.18,False,419.4,2b,dgps,nw9,5.149,5.18,True,1,0.0,753.8892115332633
nw10,241435.0,364325.025,11.8,11.66,0.14,11.8,False,1322.6,1b,dgps,nw10,11.66,11.8,True,,240.39877855376133,0.0
nw12,241262.0,364524.0,13.8,13.72,0.08,13.8,False,1422.5,1a,dgps,nw12,13.72,13.8,True,,358.6409410041386,47.24049958018092
nw11,241689.0,364237.0,12.1,11.95,0.15,12.1,False,1375.8,1c,dgps,nw11,11.95,12.1,True,,390.10729251897016,13.647358080343237
ceh2,241421.0,363979.0,12.03,11.32,0.71,12.03,False,1014.0,in forest nr ceh1,dgps,ceh2,11.32,12.030000000000001,True,,143.3208710539712,150.66179555944544
ceh1,241595.864,363948.335,10.692,10.652,0.04,10.692,False,1086.9,,dgps,ceh1,10.652,10.691999999999998,False,,303.18460016915935,103.23948068615107
ceh5,242521.077,364465.817,9.638,9.588,0.05,9.638,False,2075.5,nr ceh 6,dgps,ceh5,9.588,9.638,False,,1251.1878266574663,844.8664053343031
ceh6,242621.679,364724.912,8.611,8.461,0.15,8.611,False,2338.0,ccw car park,dgps,ceh6,8.461,8.611,False,,1441.41083543535,1042.4777609657742
ceh3,240743.0,363388.0,4.372,4.362,0.01,4.372,False,176.0,forest nr fes,dgps,ceh3,4.362,4.372,False,,200.2185910807874,1015.8157274745249
ceh4,241131.693,363211.05,4.549,4.479,0.07,4.549,False,220.7,fes,dgps,ceh4,4.479,4.549,False,,241.25528062230617,964.5670869005323
ceh7,243385.803,363612.9,5.449,5.379,0.07,5.449,False,1863.4,braint,dgps,ceh7,5.379,5.449,False,,2112.620294446486,1771.8759551005587
ceh8,243149.932,363382.305,5.694,5.494,0.2,5.694,False,1577.3,2 slacks in from nw4,dgps,ceh8,5.494,5.694,False,,1954.7487588557005,1653.836490286691
ceh10,242538.185,363173.915,5.818,5.778,0.04,5.818,False,1122.7,beyond nw5,dgps,ceh10,5.778,5.818,False,,1450.5593108256794,1279.5712384154983
ceh9,241711.211,363459.012,7.983,7.983,0.0,7.983,False,784.8,nr nw6,dgps,ceh9,7.983,7.983,False,,580.5393391295283,601.1944493009825
ceh25,242512.557,364638.544,9.076,9.051,0.025,9.076,False,2202.0,nr ceh 6,dgps,ceh25,9.051,9.076,False,,1305.7301089174025,905.1175620598401
ceh26,242172.261,364362.239,10.45,10.425,0.025,10.45,False,1771.7,nr ceh 5,dgps,ceh26,10.425,10.450000000000001,False,,887.3888246238299,481.1527221629033
ceh11,242618.62,362688.287,3.584,3.534,0.05,3.584,False,782.7,aber menai,dgps,ceh11,3.534,3.5839999999999996,False,,1715.3572785667025,1697.4623166441563
ceh12,240339.0,364588.0,34.899,34.879,0.02,34.899,False,1138.5,nr fc 7,dgps,ceh12,34.879,34.899,True,,899.5603244282388,963.587798112089
ceh13,240964.108,364066.298,11.325,11.235,0.09,11.325,False,879.0,nr 2a,dgps,ceh13,11.235,11.325,True,,105.06567244423434,451.3103829244224
ceh14,241292.0,364488.0,14.42,14.42,0.0,14.42,False,1404.7,nr 1a,dgps,ceh14,14.42,14.42,True,,336.97722585493335,6.470830610630514
ceh15,240679.892,363754.368,5.914,5.865,0.049,5.914,False,481.5,Forest carpark,dgps,ceh15,5.865,5.914000000000001,True,,189.1903602790452,830.6142157076843
ceh16,240988.214,363614.897,6.167,6.097,0.07,6.167,False,484.9,clearing;c,dgps,ceh16,6.097,6.167000000000001,True,1,0.0,684.895418012192
ceh17,240804.597413,363576.069469,6.091,6.001,0.09,6.091,False,371.9,forest;f,dgps,ceh17,6.001,6.091,True,,126.70136837579659,836.6029656219796
ceh18,241267.167,363202.889,5.204,5.144,0.06,5.204,False,302.0,warren;w,dgps,ceh18,5.144,5.204,False,,337.7145135512841,913.5073709432081
ceh19,240845.741,363532.891,4.8,4.65,0.15,4.8,False,350.8,EDGE;e,dgps,ceh19,4.65,4.800000000000001,True,,90.50485723658286,839.1537441591857
ceh20,241153.0,363829.0,8.728,8.618,0.11,8.728,True,752.0,nr 2c,dgps,ceh20,8.618,8.728,True,,57.15599210440121,414.72045464946007
ceh21,241470.51,362937.659,4.222,4.172,0.05,4.222,False,232.0,r1,dgps,ceh21,4.172,4.2219999999999995,False,,668.6247206743983,1121.6410251856257
ceh22,241375.022,362906.94,3.281,3.231,0.05,3.281,False,146.7,sea/SD13,dgps,ceh22,3.231,3.2809999999999997,False,,630.0629551215094,1167.2699464269137
ceh23,242325.311,364428.124,10.018,9.958,0.06,10.018,False,1920.6,,dgps,ceh23,9.958,10.018,False,,1053.3916851608928,647.3946204590407
ceh24,242938.911,363392.114,5.958,5.808,0.15,5.958,False,1547.4,nr d44,dgps,ceh24,5.808,5.958,False,,1755.7729252194254,1469.2570683527617
ceh34,241334.0,363887.0,9.8,9.75,0.05,9.8,False,890.6,,dgps,ceh34,9.75,9.8,True,,125.69343751373098,272.72922158202476
ceh37,242886.0,363346.0,6.02,5.84,0.0,6.02,False,1478.0,W CEH24,lidar,ceh37,6.02,6.02,False,,1726.7060280560024,1452.0737489562005
ceh27,242005.373,364330.297,10.94,10.9,0.04,10.94,False,1640.1,nr 1c,dgps,ceh27,10.9,10.94,False,,719.0551969384514,313.7342462722513
ceh28,242331.051,364122.039,10.396,10.536,-0.14,10.396,False,1690.3,near NW3 by path,dgps,ceh28,10.536,10.395999999999999,False,,1003.8482061924864,620.2946027635201
ceh30,241072.0,363760.0,8.67,8.61,0.06,8.67,False,652.3,nr ceh20,dgps,ceh30,8.61,8.67,True,1,0.0,519.2829099205962
ceh31,241075.0,363538.0,6.49,6.32,0.17,6.49,False,460.2,nr wmc2,dgps,ceh31,6.32,6.49,True,2,0.0,702.4580101754029
Ceh32,241167.0,364003.0,11.07,11.03,0.04,11.07,False,911.9,near 1b,dgps,ceh32,11.03,11.069999999999999,True,3,0.0,284.69136353793033
ceh33,240936.0,363808.0,8.83,8.77,0.06,8.83,False,638.2,near cp,dgps,ceh33,8.77,8.83,True,1,0.0,585.8046176422653
ceh40,242060.283,363398.508,7.77,7.804,0.05,7.82,True,971.5,scraped slack,lidar,ceh40,7.77,7.819999999999999,False,,934.8141867657811,794.7759304512488
