well,month,comment_state,kept_value
nw5,2015-07-01,dry,-1.04
nw10,2010-08-01,dry,-1.51
nw13,2012-03-01,dry,-1.27
ceh2,2011-07-01,dry,-1.93
ceh2,2011-08-01,dry,-1.92
ceh10,2008-09-01,dry,-1.57
ceh10,2010-05-01,dry,-1.61
ceh13,2011-06-01,dry,-1.85
ceh14,2011-07-01,dry,-1.93
ceh17,2008-09-01,dry,-1.85
ceh17,2012-05-01,dry,-2.58
ceh17,2012-06-01,dry,-2.58
ceh19,2010-06-01,dry,-1.06
D41,2018-08-01,dry,-1.06
T41b,2018-08-01,dry,-0.99
T41b,2022-08-01,dry,-0.97
nw8,2011-06-01,dry,-1.73
nw8,2011-11-01,dry,-1.74
nw8,2011-12-01,dry,-1.75
nw8,2012-01-01,dry,-1.73
nw8,2012-02-01,dry,-1.75
nw8,2012-03-01,dry,-1.75
nw8,2012-04-01,dry,-1.75
nw8,2012-05-01,dry,-1.79
nw8,2012-06-01,dry,-1.76
nw8,2012-07-01,dry,-1.76
nw12,2011-06-01,dry,-1.74
ceh7,2011-06-01,dry,-0.93
ceh7,2011-07-01,dry,-0.93
ceh7,2011-08-01,dry,-0.93
ceh15,2012-05-01,dry,-1.871
ceh15,2012-06-01,dry,-1.881
