k,cluster,n_wells,median_stability,min_stability,members
4,1,7,0.9779311948685498,0.7055137844611529,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
4,2,26,0.9758272509220334,0.6943765281173594,"D10,D15,D17,D38,D41,D43,D44,D5,D6,D7,D8,D9,L7,T41a,T41b,T41c,T41d,WMC1,ceh10,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
4,3,9,1.0,0.9553805048829924,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
4,4,24,0.7547468961372732,0.36893203883495146,"D25,WMC2,ceh 1,ceh16,ceh17,ceh18,ceh19,ceh21,ceh31,ceh36,ceh39,ceh4,ceh42,ceh9,nw1,nw11,nw13,nw2,nw5,nw6,nw7,nw9,wmc3,wmc4"
5,1,7,0.9767711020611252,0.6831518451300665,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
5,2,26,0.9321793147857048,0.3746898263027295,"D10,D15,D17,D38,D41,D43,D44,D5,D6,D7,D8,D9,L7,T41a,T41b,T41c,T41d,WMC1,ceh10,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
5,3,9,1.0,0.9144739266629813,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
5,4,5,0.991566265060241,0.8854178195904814,"ceh16,ceh17,ceh19,ceh31,nw9"
5,5,19,0.5012254901960784,0.25817650597232966,"D25,WMC2,ceh 1,ceh18,ceh21,ceh36,ceh39,ceh4,ceh42,ceh9,nw1,nw11,nw13,nw2,nw5,nw6,nw7,wmc3,wmc4"
6,1,7,0.9584221369707303,0.6570305073027396,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
6,2,6,0.730281459662903,0.5696517412935324,"D38,D7,D9,L7,T41a,ceh10"
6,3,20,0.9346696610118054,0.5426356589147286,"D10,D15,D17,D41,D43,D44,D5,D6,D8,T41b,T41c,T41d,WMC1,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
6,4,9,1.0,0.8611358024691358,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
6,5,5,0.9879518072289157,0.8469193875668696,"ceh16,ceh17,ceh19,ceh31,nw9"
6,6,19,0.43172713247735645,0.09622560559102636,"D25,WMC2,ceh 1,ceh18,ceh21,ceh36,ceh39,ceh4,ceh42,ceh9,nw1,nw11,nw13,nw2,nw5,nw6,nw7,wmc3,wmc4"
7,1,7,0.9314613526570048,0.6408694149166019,"ceh11,ceh23,ceh25,ceh26,ceh27,ceh5,ceh6"
7,2,6,0.6635370643102602,0.5298507462686567,"D38,D7,D9,L7,T41a,ceh10"
7,3,20,0.879527728252095,0.42063492063492064,"D10,D15,D17,D41,D43,D44,D5,D6,D8,T41b,T41c,T41d,WMC1,ceh24,ceh28,ceh40,ceh41,nw 4b,nw3,nw4"
7,4,9,1.0,0.7264115014757688,"Ceh32,ceh13,ceh14,ceh2,ceh20,ceh30,ceh33,ceh34,nw10"
7,5,5,0.9855421686746988,0.8395591219332226,"ceh16,ceh17,ceh19,ceh31,nw9"
7,6,8,0.6277915632754343,0.3397129186602871,"WMC2,ceh18,ceh21,ceh36,ceh4,ceh42,nw5,nw6"
7,7,11,0.3687077487005378,0.16679350745695942,"D25,ceh 1,ceh39,ceh9,nw1,nw11,nw13,nw2,nw7,wmc3,wmc4"
