well,stability,k
nw1,0.49635036496350365,4
nw2,0.551980198019802,4
nw3,0.9947643979057592,4
nw4,0.9945205479452055,4
nw4b,0.9952941176470588,4
nw5,0.7505827505827506,4
nw6,0.7253012048192771,4
nw7,0.7189873417721518,4
nw9,0.7060240963855422,4
nw10,1.0,4
nw11,0.6240208877284595,4
nw13,0.4254807692307692,4
ceh1,0.7339667458432304,4
ceh2,1.0,4
ceh4,0.7253012048192771,4
ceh5,0.9849079767873272,4
ceh6,0.9739994370954124,4
ceh9,0.7405541561712846,4
ceh10,0.7347931873479319,4
ceh11,0.720508166969147,4
ceh13,0.9652612118320612,4
ceh14,0.9584467929797835,4
ceh16,0.6909975669099757,4
ceh17,0.6862244897959183,4
ceh18,0.7860824742268041,4
ceh19,0.71875,4
ceh20,1.0,4
ceh21,0.7673267326732673,4
ceh23,0.9964344297677632,4
ceh24,0.995,4
ceh25,0.9814114732908237,4
ceh26,0.9918414918414918,4
ceh27,0.9792021881216255,4
ceh28,0.9973821989528796,4
ceh30,1.0,4
ceh31,0.7561576354679803,4
Ceh32,0.9931762243739959,4
ceh33,1.0,4
ceh34,1.0,4
ceh36,0.7561576354679803,4
ceh39,0.7175398633257403,4
ceh40,0.35786802030456855,4
ceh41,0.32299741602067183,4
ceh42,0.6658415841584159,4
WMC1,0.9899244332493703,4
WMC2,0.7661691542288557,4
wmc3,0.7121212121212122,4
wmc4,0.45202020202020204,4
L7,0.9287531806615776,4
D5,0.9928400954653938,4
D6,0.9919571045576407,4
D7,0.945,4
D8,0.9927360774818402,4
D9,0.8508557457212714,4
D10,0.9928909952606635,4
D15,0.7741116751269036,4
D17,0.995,4
D25,0.6180048661800487,4
D38,0.8029925187032418,4
D41,0.9899244332493703,4
T41a,0.8453865336658354,4
T41b,0.9947643979057592,4
T41c,0.9902200488997555,4
T41d,0.9928400954653938,4
D43,0.96875,4
D44,0.9791666666666666,4
nw1,0.4998930225533629,5
nw2,0.5492258784702,5
nw3,0.9839142091152815,5
nw4,0.9828850855745721,5
nw4b,0.9882352941176471,5
nw5,0.5902512397070196,5
nw6,0.6196199821138416,5
nw7,0.36635631409924374,5
nw9,1.0,5
nw10,1.0,5
nw11,0.6140196140864803,5
nw13,0.4238680271806715,5
ceh1,0.49894810017745095,5
ceh2,1.0,5
ceh4,0.2304055534414963,5
ceh5,0.9837478839799025,5
ceh6,0.9692935547424711,5
ceh9,0.520510904531523,5
ceh10,0.4217171717171717,5
ceh11,0.6881859821968714,5
ceh13,0.9227993797709924,5
ceh14,0.9131391031133962,5
ceh16,0.9890537022461706,5
ceh17,0.9974874371859297,5
ceh18,0.34671548975662114,5
ceh19,0.991566265060241,5
ceh20,1.0,5
