well,cluster_k7,stability
ceh11,1,0.6408694149166019
ceh23,1,0.9655662909286098
ceh25,1,0.9011974104781529
ceh26,1,0.9545454545454546
ceh27,1,0.9314613526570048
ceh5,1,0.9396589489396914
ceh6,1,0.8566619757951027
D38,2,0.5774278215223098
D7,2,0.6904761904761905
D9,2,0.6365979381443299
L7,2,0.7404580152671756
T41a,2,0.7404580152671756
ceh10,2,0.5298507462686567
D10,3,0.8571428571428571
D15,3,0.5118733509234829
D17,3,0.8979591836734694
D41,3,0.8802992518703242
D43,3,0.7239583333333334
D44,3,0.8463541666666666
D5,3,0.8403990024937655
D6,3,0.896
D8,3,0.8869346733668342
T41b,3,0.8869346733668342
T41c,3,0.891566265060241
T41d,3,0.9079903147699758
WMC1,3,0.8801955990220048
ceh24,3,0.8788598574821853
ceh28,3,0.6553398058252428
ceh40,3,0.42063492063492064
ceh41,3,0.43073047858942065
nw 4b,3,0.9183673469387755
nw3,3,0.6745406824146981
nw4,3,0.9095890410958904
Ceh32,4,0.9907160980722027
ceh13,4,0.8231552162849873
ceh14,4,0.7264115014757688
ceh2,4,0.9987468671679198
ceh20,4,1.0
ceh30,4,1.0
ceh33,4,1.0
ceh34,4,1.0
nw10,4,1.0
ceh16,5,0.9805170430465581
ceh17,5,0.9949748743718593
ceh19,5,0.9855421686746988
ceh31,5,0.8395591219332226
nw9,5,0.9987893462469734
WMC2,6,0.6401985111662531
ceh18,6,0.7091836734693877
ceh21,6,0.5753086419753086
ceh36,6,0.7091836734693877
ceh4,6,0.6153846153846154
ceh42,6,0.6844660194174758
nw5,6,0.3397129186602871
nw6,6,0.41133004926108374
D25,7,0.3255361951038346
ceh 1,7,0.3630373807615749
ceh39,7,0.49750177598863365
ceh9,7,0.44290058254913256
nw1,7,0.4158505632562236
nw11,7,0.49506275159838975
nw13,7,0.34135311962329073
nw2,7,0.44533960693937646
nw7,7,0.16679350745695942
wmc3,7,0.222345853234911
wmc4,7,0.3687077487005378
