well,cluster,n_months_pre,n_months_post,p90_p10_full,p90_p10_pre2018,p90_p10_post2018,p90_p10_pre2018_climnorm,p90_p10_post2018_climnorm,std_full,summer_min_post2018
ceh11,1,139,97,0.875,0.8360000000000001,0.8919999999999999,0.8360000000000001,0.8340000000000001,0.34278646109061717,-1.22
ceh23,1,76,96,0.8461967213114754,0.8200000000000001,0.86,0.8200000000000001,0.779,0.32574649594860017,-1.04
ceh25,1,94,97,1.17,1.0225,1.234,1.0225,1.1640000000000001,0.4182119084793168,-1.14
ceh26,1,93,97,0.85,0.804,0.854,0.804,0.79,0.31454450887989105,-1.04
ceh27,1,94,97,0.94,0.864,0.9980000000000001,0.864,0.9640000000000001,0.3610815423557679,-1.01
ceh5,1,140,97,1.038,0.9450000000000003,1.088,0.9450000000000003,1.046,0.38698165821744956,-1.21
ceh6,1,141,97,0.8953333333333334,0.8200000000000001,1.012,0.8200000000000001,0.9620000000000001,0.327595498597362,-0.91
D10,2,92,97,1.0120000000000002,0.9740000000000003,1.026,0.9740000000000003,0.9219999999999999,0.3683503958729093,-1.05
D15,2,93,97,1.171,1.164,1.1560000000000001,1.164,1.044,0.4119088472078887,-1.08
D17,2,94,97,1.06,1.06,1.014,1.06,0.9280000000000002,0.3682256600766743,-1.04
D38,2,91,97,1.243,1.2300000000000002,1.168,1.2300000000000002,1.1020000000000003,0.4335993002055228,-1.4
D41,2,92,97,0.9300000000000007,0.8979999999999999,0.924,0.8979999999999999,0.8340000000000001,0.3448647133510938,-1.15
D43,2,94,97,1.11,1.11,1.104,1.11,1.0160000000000002,0.4086437493872263,-1.36
D44,2,94,97,1.0199999999999998,1.0070000000000001,1.0239999999999998,1.0070000000000001,0.9700000000000001,0.37945286401008893,-1.4
D5,2,94,97,1.07,1.094,1.05,1.094,0.9279999999999999,0.38135395968579083,-1.23
D6,2,94,97,1.1,1.0790000000000002,1.072,1.0790000000000002,1.002,0.40002266774709594,-1.27
D7,2,90,90,1.1090217391304347,1.0060000000000013,1.0620000000000003,1.0060000000000013,1.028,0.38336329391068064,-1.05
D8,2,90,97,0.9440000000000001,0.961,0.9139999999999999,0.961,0.8,0.3470409289042517,-1.06
D9,2,88,97,1.298,1.3159999999999998,1.1840000000000004,1.3159999999999998,1.098,0.4244248289798207,-1.29
L7,2,103,97,1.151,1.0659999999999998,1.1580000000000004,1.0659999999999998,1.1060000000000003,0.42317690978051736,-2.43
T41a,2,92,97,1.38,1.329,1.374,1.329,1.294,0.4716123748210313,-1.18
T41b,2,94,97,0.9500000000000001,0.997,0.8860000000000001,0.997,0.8360000000000001,0.34910560652602507,-0.99
T41c,2,92,97,0.9520000000000002,0.9390000000000001,0.94,0.9390000000000001,0.8460000000000001,0.3496199795295906,-1.14
T41d,2,92,97,0.9400000000000001,0.869,0.9440000000000001,0.869,0.832,0.3412793791032204,-1.21
WMC1,2,106,97,0.94,0.94,0.934,0.94,0.8180000000000001,0.3407183496787268,-1.24
ceh10,2,138,96,1.314,1.299,1.255,1.299,1.279,0.47407758343536044,-2.08
ceh24,2,93,97,1.132,1.134,1.088,1.134,0.9900000000000002,0.4161020720805234,-1.13
ceh28,2,91,73,0.9770000000000002,1.04,0.944,1.04,0.9400000000000001,0.37878048837568895,-1.01
nw 4b,2,143,97,0.84,0.84,0.808,0.84,0.752,0.3143884781115042,-1.04
nw3,2,140,87,0.91,0.91,0.926,0.91,0.896,0.33877622272050767,-1.03
nw4,2,151,97,0.763,0.76,0.782,0.762,0.726,0.30289706255143817,-1.01
