record,well,cluster,stability_wells,stability_months,replicate,splithalf_ari,n_wells,intact_rate,merge_rate
well,ceh11,1,0.6881859821968714,0.608,,,,,
well,ceh23,1,0.9964344297677632,0.997,,,,,
well,ceh25,1,0.980251380483399,0.997,,,,,
well,ceh26,1,0.991757035235296,0.997,,,,,
well,ceh27,1,0.9719025291275931,0.994,,,,,
well,ceh5,1,0.9837478839799025,0.994,,,,,
well,ceh6,1,0.9692935547424711,0.997,,,,,
well,D10,2,0.9800498753117207,0.995,,,,,
well,D15,2,0.6754617414248021,0.685,,,,,
well,D17,2,0.985,0.997,,,,,
well,D38,2,0.57356608478803,0.645,,,,,
well,D41,2,0.976,0.996,,,,,
well,D43,2,0.8656716417910447,0.863,,,,,
well,D44,2,0.9624060150375939,0.967,,,,,
well,D5,2,0.9729064039408867,0.996,,,,,
well,D6,2,0.9746192893401016,0.997,,,,,
well,D7,2,0.8190709046454768,0.848,,,,,
well,D8,2,0.9773869346733668,0.997,,,,,
well,D9,2,0.6461538461538462,0.721,,,,,
well,L7,2,0.743142144638404,0.836,,,,,
well,T41a,2,0.6178660049627791,0.647,,,,,
well,T41b,2,0.9790575916230366,0.996,,,,,
well,T41c,2,0.979328165374677,0.996,,,,,
well,T41d,2,0.9830508474576272,0.996,,,,,
well,WMC1,2,0.9826302729528535,0.996,,,,,
well,ceh10,2,0.42424242424242425,0.611,,,,,
well,ceh24,2,0.9786223277909739,0.994,,,,,
well,ceh28,2,0.9734939759036144,0.979,,,,,
well,nw3,2,0.9839142091152815,0.997,,,,,
well,nw4,2,0.9828850855745721,0.997,,,,,
well,nw4b,2,0.9882352941176471,0.997,,,,,
well,Ceh32,3,0.9849438745083829,1.0,,,,,
well,ceh13,3,0.9138338899491094,1.0,,,,,
well,ceh14,3,0.9093846202672253,1.0,,,,,
well,ceh2,3,1.0,0.998,,,,,
well,ceh20,3,1.0,1.0,,,,,
well,ceh30,3,1.0,1.0,,,,,
well,ceh33,3,1.0,1.0,,,,,
well,ceh34,3,1.0,1.0,,,,,
well,nw10,3,1.0,0.998,,,,,
well,ceh16,4,0.9890537022461706,0.992,,,,,
well,ceh17,4,0.9974874371859297,0.995,,,,,
well,ceh19,4,0.991566265060241,0.993,,,,,
well,ceh31,4,0.8766094816454528,0.823,,,,,
well,nw9,4,1.0,0.995,,,,,
well,D25,5,0.49018346554152514,0.4675,,,,,
well,WMC2,5,0.6206467661691543,0.56,,,,,
well,ceh1,5,0.49894810017745095,0.5385,,,,,
well,ceh18,5,0.3453597189821146,0.324,,,,,
well,ceh21,5,0.26470022828307105,0.306,,,,,
well,ceh36,5,0.5050854915765652,0.483,,,,,
well,ceh39,5,0.5372101614003182,0.5535000000000001,,,,,
well,ceh4,5,0.2280041743061081,0.32,,,,,
well,ceh40,5,0.33494742667404537,0.3375,,,,,
well,ceh41,5,0.2986512888384698,0.3375,,,,,
well,ceh42,5,0.3116282567013797,0.311,,,,,
well,ceh9,5,0.5167652422807062,0.5535000000000001,,,,,
well,nw1,5,0.4998930225533629,0.5305,,,,,
well,nw11,5,0.6115805896962364,0.5305,,,,,
well,nw13,5,0.421511369692663,0.5295000000000001,,,,,
well,nw2,5,0.5504513686662784,0.5305,,,,,
well,nw5,5,0.5914767299030981,0.509,,,,,
well,nw6,5,0.6221297124359184,0.522,,,,,
well,nw7,5,0.3650808038951621,0.5135000000000001,,,,,
well,wmc3,5,0.3702414811573593,0.5135000000000001,,,,,
well,wmc4,5,0.450927617033548,0.5295000000000001,,,,,
splithalf_replicate,,,,,0,0.6512799697677999,,,
splithalf_replicate,,,,,1,0.6709287502286184,,,
splithalf_replicate,,,,,2,0.3935454782589168,,,
splithalf_replicate,,,,,3,0.44201810654656293,,,
splithalf_replicate,,,,,4,0.8263993030264078,,,
splithalf_replicate,,,,,5,0.5175821905836365,,,
splithalf_replicate,,,,,6,0.6892199732921369,,,
splithalf_replicate,,,,,7,0.5117419499143436,,,
splithalf_replicate,,,,,8,0.48501382764033185,,,
splithalf_replicate,,,,,9,0.5691857258030296,,,
splithalf_replicate,,,,,10,0.45996918155793853,,,
splithalf_replicate,,,,,11,0.5260356604275703,,,
splithalf_replicate,,,,,12,0.6103563362677823,,,
splithalf_replicate,,,,,13,0.5957672571727002,,,
