ref_depth,Cluster,Cluster_Label,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,R2,AIC,beta_3_positive,beta_3_sig
0.5,1,C1 (Lake Edge),3.401073845161108,3.6978418772064585,0.3956060069442851,2.747374068220456e-81,1.9202827309643158e-67,1.5003008518111854e-54,0.814733783333862,-1090.2484744293138,True,True
0.5,2,C2 (Dune),2.7119634270028836,3.672736374673688,0.2390552840638137,6.433827853822969e-67,3.8546371388587104e-65,6.823321617848179e-28,0.7558390420663137,-1109.3412750342998,True,True
0.5,3,C3 (Western Residual),2.2961986505931957,3.423029774403739,0.1278147649171332,1.8147595574058848e-57,5.73975471777079e-63,8.501749751352638e-11,0.7370945606377908,-1155.0987904197477,True,True
0.5,4,C4 (Main Forest),2.2284990844302994,2.9147759121964754,-0.0008319057788527121,6.551561073528336e-44,1.9722780395744996e-51,0.9468487040298184,0.7094449772773375,-1127.1942918249422,False,False
0.5,5,C5 (Coastal Forest),1.6305885317989477,2.2270984707305868,0.018117807849270046,7.060632935737995e-33,2.660205203810002e-34,0.1973172551455647,0.5781836388513821,-1135.3317462824346,True,False
0.6,1,C1 (Lake Edge),3.590505772633868,3.3671814106498514,0.3725665847376696,3.0736843408823864e-84,5.16252305654636e-63,1.2526699535561276e-55,0.8186153071526712,-1095.266629243315,True,True
0.6,2,C2 (Dune),2.85942332093819,3.48361146995079,0.23483806483988576,9.965256148252355e-72,3.887059433252863e-64,6.1781626308285675e-30,0.7649839541204473,-1118.8083971060887,True,True
0.6,3,C3 (Western Residual),2.3638328960337565,3.3501992503550095,0.13939417300129817,2.4266166306452327e-63,1.0048248192445252e-65,2.11439334147332e-13,0.749387228259412,-1167.0222588951192,True,True
0.6,4,C4 (Main Forest),2.212407911697084,2.9272076113002847,0.0018288491905015082,2.732975505051167e-45,3.1477799156182774e-53,0.8858039720049624,0.7094651116695652,-1127.2107156205343,True,False
0.6,5,C5 (Coastal Forest),1.6110028126173392,2.2536717966561906,0.026691256995345636,4.144621487657796e-34,1.4594958073339577e-36,0.06140124686583299,0.5814611744805243,-1137.196041284551,True,False
0.7,1,C1 (Lake Edge),3.7501404768394817,3.071738342905104,0.3493294207510305,9.795054969291658e-86,1.848710090971722e-57,7.5436807443210215e-56,0.8193980927642944,-1096.2916422084056,True,True
0.7,2,C2 (Dune),2.997455294317662,3.299769456382894,0.2278893851874889,2.847470539597554e-75,6.291303044213848e-62,1.7732577567740984e-31,0.7716617683727638,-1125.9571931266805,True,True
0.7,3,C3 (Western Residual),2.4480079801881827,3.2540445840103667,0.14718550960174123,5.696835436998635e-69,3.542034372975172e-67,5.40324882468186e-16,0.7610964977810002,-1178.936732557409,True,True
0.7,4,C4 (Main Forest),2.198736328485003,2.9362277623058186,0.004671092468269096,6.865044402261572e-47,6.2240434639534805e-55,0.7180747874997813,0.7096015987653603,-1127.3220793274509,True,False
0.7,5,C5 (Coastal Forest),1.6018119781404019,2.2677607861246165,0.03542931472555871,1.0155609877543311e-35,1.1079900606906695e-38,0.013834860223687323,0.5859861596256071,-1139.7940321218055,True,True
0.8,1,C1 (Lake Edge),3.8833974147049504,2.8116412103556216,0.32686612648729724,3.2131399209624993e-86,1.8837985274201688e-51,1.7978737591579573e-55,0.8180555389919907,-1094.5363539123084,True,True
0.8,2,C2 (Dune),3.1229699714931707,3.1271972568446262,0.21918997818230956,1.0381251604543634e-77,7.073748197719775e-59,1.4636326115301401e-32,0.7762406323469371,-1130.980874284363,True,True
0.8,3,C3 (Western Residual),2.541577289888213,3.1435078884940353,0.15146207505537074,6.137104348352487e-74,2.6282899052982065e-67,1.8652243944323802e-18,0.7717351336326763,-1190.2794456655079,True,True
0.8,4,C4 (Main Forest),2.1881543688512632,2.9412132416580095,0.007623803583170062,1.0894775005156391e-48,1.9170501873486235e-56,0.5600429359623409,0.7098617643327265,-1127.534500868743,True,False
0.8,5,C5 (Coastal Forest),1.6040963791255143,2.2679503029356782,0.044006564701598305,1.1191625223469212e-37,1.644864173288237e-40,0.0022724224861085406,0.5916712468562493,-1143.0986341348703,True,True
0.9,1,C1 (Lake Edge),3.994131829694636,2.5845320334602935,0.3057025830541702,4.919151185699696e-86,1.682334810288175e-45,1.0383550880966393e-54,0.8153142876863058,-1090.9922448149634,True,True
0.9,2,C2 (Dune),3.2348043478444493,2.969081765536623,0.20952031637538934,2.9206155213154234e-79,2.384097944449897e-55,2.9758259677012558e-33,0.7791171042352746,-1134.189633499434,True,True
0.9,3,C3 (Western Residual),2.638280780783404,3.026664324955446,0.15275431253788593,4.871576601476669e-78,2.8094013411253775e-66,1.0636631035516084e-20,0.7810341665208458,-1200.6355905143898,True,True
0.9,4,C4 (Main Forest),2.181211926961045,2.9417263971180247,0.010600887655290615,1.221391702715623e-50,1.1708763947704448e-57,0.42047269317272257,0.7102459123382971,-1127.848500854517,True,False
