well,Cluster,Cluster_Label,upstand_m,optimal_datum_primary,beta_1_at_primary,beta_2_at_primary,beta_3_at_primary,pvalue_beta_3_primary,R2_at_primary,optimal_datum_secondary,beta_3_at_secondary,pvalue_beta_3_secondary,R2_at_secondary,max_R2_datum,R2_at_max,beta_1_at_max,beta_2_at_max,beta_3_at_max,pvalue_beta_3_at_max,beta_3_positive_at_max,R2_at_uniform,beta_3_at_uniform,R2_gain_max_vs_uniform
nw1,3,C3 (Western Residual),0.27,0.6,2.4671856513429273,4.407311021453726,0.09557387284035886,0.03539717197058612,0.5999546119511991,0.5,0.07430668828290635,0.09519721146629048,0.5930909780739075,2.5,0.7223813613471639,3.9825491225072014,2.610438477302802,0.15987055973336972,2.980052293246223e-10,True,0.7145404935343914,0.10126226301301704,0.00784086781277249
nw2,3,C3 (Western Residual),0.59,0.5,2.7576856441872737,4.233002641768458,0.19440276122888,1.3425158994671635e-06,0.6981448835397758,0.5,0.19440276122888,1.3425158994671635e-06,0.6981448835397758,2.0,0.7531982775756926,4.170944119191157,2.4284483703163975,0.13820196906888085,6.067145084256638e-11,True,0.7451877920213025,0.07890081107052845,0.008010485554390101
nw3,2,C2 (Dune),0.05,0.5,2.775494418913019,3.6198299966616876,0.2949688955467923,3.4186669882494914e-12,0.7225019922850975,0.5,0.2949688955467923,3.4186669882494914e-12,0.7225019922850975,0.7,0.7267207224397759,3.1149130805403002,3.162454327038205,0.26836649098158777,1.6084472072206499e-12,True,0.6546622307165304,0.06151240233502503,0.07205849172324552
nw4,2,C2 (Dune),0.07,0.5,2.5138723978078823,2.614441007615282,0.24822292068982785,2.2315200226925325e-11,0.7011309964645418,0.5,0.24822292068982785,2.2315200226925325e-11,0.7011309964645418,0.6,0.7012429270189788,2.6436959364343915,2.4276595750408294,0.23392317866059706,2.1906850934099096e-11,True,0.6391084260903073,0.05403638534720453,0.062134500928671565
nw4b,2,C2 (Dune),0.08,0.5,2.615493367806514,2.8098780595404804,0.2704506474080134,6.60896123016669e-12,0.6990830125992527,0.5,0.2704506474080134,6.60896123016669e-12,0.6990830125992527,0.6,0.6994330565813995,2.7596061564706997,2.6011856312387795,0.255469976294858,6.240732991845368e-12,True,0.6316615585925354,0.05927764430188727,0.06777149798886417
nw5,3,C3 (Western Residual),0.0,0.5,2.4104435750673128,3.3540068925273054,0.12103226395250807,0.0004507388768158218,0.6865421626996624,0.5,0.12103226395250807,0.0004507388768158218,0.6865421626996624,2.1,0.7213984031836072,3.332322248838513,2.24153530639433,0.08459684611928434,1.1335911875941262e-06,True,0.7175438420925705,0.04976405717730011,0.003854561091036657
nw6,3,C3 (Western Residual),0.08,0.5,2.1457143040652777,2.7428678973930127,0.22073176908180536,3.413874091432732e-08,0.6608978471671809,0.5,0.22073176908180536,3.413874091432732e-08,0.6608978471671809,1.0,0.6847719302572921,2.7231864255244393,1.9930993568407156,0.18189045512575913,9.122586223455856e-10,True,0.6483134491945391,0.051727650204443136,0.036458481062752957
nw7,3,C3 (Western Residual),0.03,0.9,1.9195378921236346,2.9710915362456283,0.07565348520949516,0.025978798158038517,0.650988139255821,0.5,0.029877261452200755,0.3451265387708687,0.6359685213765064,2.2,0.6846617169630231,2.5530013206159294,2.1855041089256275,0.07817479930097225,0.00012279265042000083,True,0.6797437616831622,0.04085873020582849,0.004917955279860942
nw9,5,C5 (Coastal Forest),0.031,0.5,1.5636337043027788,2.6090690406224324,0.1208295461468333,0.0018610688327572904,0.6638220395080806,0.5,0.1208295461468333,0.0018610688327572904,0.6638220395080806,1.8,0.7474163577276438,2.4914720840405167,1.4552563908718548,0.10956829155477628,1.0248154989439656e-09,True,0.7381737817039502,0.048901594591991525,0.009242576023693605
nw10,4,C4 (Main Forest),0.14,0.7,2.671621705508639,3.608944500751692,0.053798180306178556,0.04127595403677321,0.7473625369400709,0.5,0.04007195626337421,0.13152325935917067,0.7423653691689567,3.4,0.7781851405908897,3.465096112552816,2.644905813811021,0.0449803655217383,4.327985528067764e-05,True,0.7781140942466236,0.04133127204724378,7.104634426613465e-05
nw11,3,C3 (Western Residual),0.15,0.5,2.78630474441847,4.285010241332163,0.16512732260980778,3.4224109463978625e-06,0.7478785617936108,0.5,0.16512732260980778,3.4224109463978625e-06,0.7478785617936108,2.3,0.8102502663824139,4.217513057912001,2.4849058798305235,0.11567429230324419,2.561420482303003e-12,True,0.8066517992108981,0.07471934547517978,0.0035984671715157956
nw13,3,C3 (Western Residual),0.05,0.5,2.8585691172888414,4.402384503522609,0.23567720924539537,9.81315411400254e-10,0.7586410288612483,0.5,0.23567720924539537,9.81315411400254e-10,0.7586410288612483,1.9,0.8185118325461654,4.357130635149076,2.418121457026791,0.15774329836956677,7.935020314905757e-16,True,0.8092605217740687,0.08676688307522233,0.009251310772096732
ceh1,3,C3 (Western Residual),0.04,0.5,3.0075567100928584,4.026853121110451,0.1238081999993977,2.8888273049493848e-05,0.7540345812785492,0.5,0.1238081999993977,2.8888273049493848e-05,0.7540345812785492,3.0,0.8077026044429961,4.321530869621141,2.403318185490203,0.07848548876850558,1.339915877518207e-10,True,0.807218343337645,0.06534596452547042,0.00048426110535115807
ceh2,4,C4 (Main Forest),0.71,,,,,,,0.5,0.03252197071974443,0.21496391279619612,0.6941952096439592,1.7,0.6994430510765802,2.559637007127979,3.060350598766118,0.040321405125825605,0.0732735529178204,True,0.6966824135003475,0.01760850743171774,0.002760637576232683
ceh4,3,C3 (Western Residual),0.07,0.5,1.8922406512755567,3.2289237694235196,0.2106512299662559,4.574075449728359e-08,0.7353286591044594,0.5,0.2106512299662559,4.574075449728359e-08,0.7353286591044594,1.7,0.8229652865105477,3.114894095912768,1.623288525352267,0.14928846939158907,1.1384503327585293e-16,True,0.8073643058516184,0.06667346492387281,0.015600980658929231
ceh5,1,C1 (Lake Edge),0.05,0.5,3.7432041530702556,4.256714388211437,0.335351982881945,1.9256076013993525e-21,0.8304048573591254,0.5,0.335351982881945,1.9256076013993525e-21,0.8304048573591254,0.8,0.8362172430481739,4.224681178055125,3.481321519086669,0.29159484873887376,3.510995865051927e-22,True,0.7862640300015025,0.09718694804977566,0.04995321304667144
