Cluster,Cluster_Label,basis,start_date,n_members,n,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_3,R2,beta_3_delta_vs_published,beta_3_pct_delta_vs_published
1,C1 (Lake Edge),published,,7,237,4.592111055318256,0.942698568528311,0.08832040467697165,1.356830076680814e-35,0.7336018668037527,,
1,C1 (Lake Edge),ref_date,2015-01,7,132,4.635508706583204,0.8633167876444834,0.09085060273840133,5.266760736120268e-20,0.7401463878780143,0.002530198061429678,2.8647944613521377
1,C1 (Lake Edge),stable,2010-04,7,189,4.547682230696758,0.8225254657535396,0.08902456650036296,3.9039892737411874e-28,0.7267364448506155,0.0007041618233913083,0.7972810201297786
2,C2 (Dune),published,,24,248,3.9818592465897478,1.7510807029721382,0.06407125843597931,1.2487396684252922e-25,0.7456220844804672,,
2,C2 (Dune),ref_date,2015-01,24,132,4.220179281747256,1.7950109354258175,0.06828382818895251,5.5501964511666256e-17,0.8077061410823654,0.004212569752973197,6.574819748830814
2,C2 (Dune),stable,2010-04,24,189,4.122707047328056,1.745858409446318,0.06690048295539244,2.0784971599310924e-24,0.8009060681751499,0.002829224519413129,4.41574676145954
3,C3 (Western Residual),published,,21,249,3.5830452658764007,1.8195614559280948,0.056627199019421384,1.6998794890521133e-28,0.8111129786748899,,
3,C3 (Western Residual),ref_date,2015-01,21,132,3.5640240484860466,1.8010207331918928,0.05656148200241571,3.993025481554137e-16,0.837911092088432,-6.57170170056745e-05,-0.11605203531810852
3,C3 (Western Residual),stable,2014-07,21,138,3.4985641439422817,1.8621593341766005,0.053567704373112424,2.4738426043052454e-15,0.8313514478829698,-0.0030594946463089606,-5.402871233768155
4,C4 (Main Forest),published,,9,237,2.4910744114395142,2.571965006225673,0.018180489306987374,0.0020281967360357193,0.719330142197276,,
4,C4 (Main Forest),ref_date,2015-01,9,132,2.452080849557764,2.6371585483912696,0.014495566109643736,0.07318051030250239,0.7523326688606599,-0.0036849231973436376,-20.268558976173416
4,C4 (Main Forest),stable,2010-08,9,185,2.424264922159265,2.5659094752861686,0.016268644105783724,0.021969936879380352,0.713189350324115,-0.0019118452012036498,-10.515917195192669
5,C5 (Coastal Forest),published,,5,239,2.4373010931697006,1.2873610333896697,0.04457804119024533,1.7621464766942943e-16,0.6829922345194555,,
5,C5 (Coastal Forest),ref_date,2015-01,5,132,2.3674232894817053,1.0944220030054876,0.04813541822376186,5.965455127461479e-11,0.7387679086759491,0.0035573770335165303,7.980110696956697
5,C5 (Coastal Forest),stable,2010-06,5,187,2.412179369323249,1.0937217718649725,0.04959862979773558,2.1389456869722489e-16,0.7345760149420418,0.005020588607490245,11.26247020604589
