Cluster,Cluster_Label,basis,window_months,n,fit_start,fit_end,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,se_beta_3,pvalue_beta_3,R2,LCSC_percent,beta_3_pct_vs_full_record
1,C1 (Lake Edge),full_record,,237,2006-05,2026-02,4.592111055318256,1.8994186762610746e-67,0.942698568528311,2.6642694346347105e-05,0.08832040467697165,0.005947053190548899,1.356830076680814e-35,0.7336018668037527,21.77647683066966,
1,C1 (Lake Edge),comparison_window,100,100,2017-10,2026-02,5.026235866413396,1.8255034231223547e-33,0.5983947280590152,0.06530755199184184,0.10177444883762529,0.00898650288529696,1.903661847946303e-19,0.7871423366431295,19.895604316587246,15.233222956644358
2,C2 (Dune),full_record,,248,2005-04,2026-02,3.9818592465897478,3.5504055343629496e-69,1.7510807029721382,1.8573923084733249e-16,0.06407125843597931,0.005445642745794232,1.2487396684252922e-25,0.7456220844804672,25.113896249759385,
2,C2 (Dune),comparison_window,100,100,2017-10,2026-02,4.258216886123545,1.096536247106037e-32,1.679646759595045,1.1304825261761044e-07,0.06882126781592082,0.008364044514424431,8.764245014718249e-13,0.8010167476539172,23.484008136333962,7.413635217868817
3,C3 (Western Residual),full_record,,249,2005-04,2026-02,3.5830452658764007,1.7115129871156654e-83,1.8195614559280948,4.5937989882682043e-26,0.056627199019421384,0.004486149678884027,1.6998794890521133e-28,0.8111129786748899,27.90922039203999,
3,C3 (Western Residual),comparison_window,100,100,2017-10,2026-02,3.5338038456638774,1.3905651943685933e-34,1.734758344998304,5.864806184301656e-11,0.054725111186154266,0.007247364589925511,2.383603686013796e-11,0.8281680396534505,28.298118505559984,-3.3589650666188895
4,C4 (Main Forest),full_record,,237,2006-05,2026-02,2.4910744114395142,2.126919204491396e-51,2.571965006225673,1.7193950258030387e-35,0.018180489306987374,0.005824969589227666,0.0020281967360357193,0.719330142197276,40.14332110706124,
4,C4 (Main Forest),comparison_window,100,100,2017-10,2026-02,2.4334462886373105,7.542645185462822e-22,2.6869293612134824,2.737921298718478e-16,0.010105302042247116,0.009689598854324327,0.2995859339823919,0.7412915367763598,41.09398282877176,-44.416776294556016
5,C5 (Coastal Forest),full_record,,239,2006-03,2026-02,2.4373010931697006,1.3695319389897754e-54,1.2873610333896697,1.7163598909819216e-15,0.04457804119024533,0.005021791702798337,1.7621464766942943e-16,0.6829922345194555,41.02898910612246,
5,C5 (Coastal Forest),comparison_window,100,100,2017-10,2026-02,2.2618161433614037,4.8195125225713696e-24,1.0732141713823387,2.1409294201000372e-06,0.04312001264664577,0.008130191792353605,7.146089930511203e-07,0.7127326487926507,44.212258495681596,-3.2707326402637236
