Name_Original,Cluster,basis,window_months,n,fit_start,fit_end,beta_1_recharge,pvalue_beta_1,beta_2_atmospheric_draw,pvalue_beta_2,beta_3_drainage,se_beta_3,pvalue_beta_3,R2,LCSC_percent,beta_3_significant_positive
nw1,3,full_record,,249,2005-04,2026-02,4.439047389750103,4.55464037069935e-70,2.0626296357012173,4.524128328748877e-18,0.10127917316769398,0.00828329938847886,3.554714294780905e-27,0.7375713572991645,22.52735580856899,True
nw1,3,comparison_window,100,100,2017-10,2026-02,4.42106273311872,6.592677755452686e-26,1.9850900188328704,1.2997531473242152e-06,0.09996077990850369,0.015193103064032584,2.40644613304619e-09,0.7088588688897943,22.618995937535068,True
nw2,3,full_record,,249,2005-04,2026-02,4.547941817432308,7.56408720629832e-72,1.9280402691624297,5.59199871923435e-16,0.07885035771974616,0.006358426332456735,9.3620535333514e-28,0.7513024480201463,21.98796818743348,True
nw2,3,comparison_window,100,100,2017-10,2026-02,4.5933613754676905,3.313667521231117e-28,1.8592772739160273,2.573044070181962e-06,0.07939923910229238,0.011167408009320446,1.9804089434942082e-10,0.7475440509814091,21.77054923962261,True
nw3,2,full_record,,226,2005-04,2026-02,3.85773682395215,3.3133025863432673e-50,1.8278872302295934,5.046664552630443e-12,0.0590895572847973,0.0066416389981208915,2.011351534662325e-16,0.669090727082561,25.92193417112177,True
nw3,2,comparison_window,100,100,2016-11,2026-02,4.015091507341532,9.38808905855151e-22,1.7036528068551613,4.073439659272717e-05,0.06264750085104331,0.010925680674148485,1.1105195856463836e-07,0.6574706705620806,24.906032606517574,True
nw4,2,full_record,,247,2005-04,2026-02,3.398650638432293,3.2364527304363766e-44,1.3034985657971665,1.7015799519681424e-07,0.0543163758662947,0.006408255910459042,2.237063389956153e-15,0.5862885035268444,29.42344201819088,True
nw4,2,comparison_window,100,100,2017-10,2026-02,3.3788250736276866,9.821134846327254e-21,1.2007643752841353,0.0009073235985489463,0.05438808171053429,0.009695740956901613,1.916196376526333e-07,0.6429303951675629,29.59608675232029,True
nw4b,2,full_record,,239,2006-03,2026-02,3.582749711512651,8.380386280363943e-44,1.2875808436659228,9.73707489873928e-07,0.0597362924544494,0.006838646547432819,4.564109172452397e-16,0.589629695386129,27.91152272754761,True
nw4b,2,comparison_window,100,100,2017-10,2026-02,3.5865096049316616,1.4125021040118026e-20,1.1912162012427827,0.001911427719585636,0.059556786734105555,0.010388472283537583,1.1154156942765564e-07,0.6355737812317026,27.882261868891728,True
nw5,3,full_record,,245,2005-04,2026-02,3.5497899218665347,1.5654551321540233e-60,2.0825054729958987,3.302512757414066e-20,0.049144838134349084,0.005686710899896675,7.645759466699207e-16,0.7176291918954433,28.170681139186524,True
