Name_Original,Cluster,Cluster_Label,Easting,Northing,basis,n,fit_start,fit_end,beta_3_drainage,se_beta_3,pvalue_beta_3,beta_3_significant_positive,t_half_months,t_efold_months,pastas_identified,reason
ceh11,1,C1 (Lake Edge),242618.62,362688.287,full_record,234,2006-06,2026-02,0.07934474581906621,0.006093115510055825,1.9553894320507593e-29,True,8.735892634158327,12.603228981038644,1.0,
ceh23,1,C1 (Lake Edge),242325.311,364428.124,full_record,170,2010-04,2026-02,0.08669730191703924,0.008064428180580004,8.083200495253442e-21,True,7.99502597235631,11.534384322096912,1.0,
ceh25,1,C1 (Lake Edge),242512.557,364638.544,full_record,191,2010-04,2026-02,0.11750682825802622,0.008685897995919576,1.4554216274107003e-29,True,5.898782145986486,8.51014374929906,1.0,
ceh26,1,C1 (Lake Edge),242172.261,364362.239,full_record,190,2010-05,2026-02,0.07815055960498221,0.00755083881196769,3.8983004990725075e-20,True,8.869382177984509,12.795813683927204,1.0,
ceh27,1,C1 (Lake Edge),242005.373,364330.297,full_record,191,2010-04,2026-02,0.08756049963852344,0.0066810198334021804,2.6766237459752125e-28,True,7.9162086034395545,11.420674894824792,1.0,
ceh5,1,C1 (Lake Edge),242521.077,364465.817,full_record,237,2006-06,2026-02,0.08636397089634675,0.00604339914996892,1.0014059640281709e-33,True,8.025883633718674,11.578902517117825,1.0,
ceh6,1,C1 (Lake Edge),242621.679,364724.912,full_record,238,2006-05,2026-02,0.10316052472904426,0.007185332901345643,5.538946949636073e-34,True,6.719112590601176,9.693630413634914,1.0,
D10,2,C2 (Dune),242613.907,364118.797,full_record,187,2010-04,2026-02,0.057779950401024016,0.005754860978596973,3.4283513259601596e-19,True,11.996327026055406,17.307041509372382,1.0,
D17,2,C2 (Dune),242446.951,363534.961,full_record,191,2010-04,2026-02,0.06666925781507983,0.006649537011332482,3.1830493063088636e-19,True,10.396803613481403,14.999417014266076,1.0,
D41,2,C2 (Dune),242771.66,363342.853,full_record,187,2010-04,2026-02,0.06357542456637626,0.006086692403473378,2.38657940848906e-20,True,10.902753466258984,15.729348357806792,1.0,
D43,2,C2 (Dune),242664.714,363428.693,full_record,191,2010-04,2026-02,0.0752246853148153,0.005618190456686466,3.792532210111982e-29,True,9.214357995106585,13.293508584515843,1.0,
D44,2,C2 (Dune),242819.407,363279.547,full_record,191,2010-04,2026-02,0.08065691092738166,0.007867155052342199,7.125433507834261e-20,True,8.593772964898331,12.398193638984466,1.0,
D5,2,C2 (Dune),242083.407,363901.712,full_record,191,2010-04,2026-02,0.06497257239062469,0.006619680840405386,1.2754977238495948e-18,True,10.66830440993843,15.391109866912032,1.0,
D6,2,C2 (Dune),242114.898,364021.851,full_record,191,2010-04,2026-02,0.06352979166182585,0.005856428254827001,1.331114476802587e-21,True,10.91058482057714,15.740646613845042,1.0,
D7,2,C2 (Dune),242610.75,364204.554,full_record,168,2010-04,2026-02,0.07538612673324571,0.0064793538115211595,3.150380057196399e-23,True,9.19462519957619,13.265040178261264,1.0,
D8,2,C2 (Dune),242676.867,364024.231,full_record,185,2010-05,2026-02,0.05397260493542627,0.00610938562456457,8.398805373182029e-16,True,12.84257414273849,18.527918027977652,1.0,
L7,2,C2 (Dune),242812.0,364395.0,full_record,196,2009-05,2026-02,0.08639082663646722,0.006839188409334385,4.745693140607103e-27,True,8.023388680799526,11.57530306091412,1.0,
