Well_Normalised,Assigned_Cluster,Best_Match_Cluster,Secondary_Cluster,Assigned_r,Best_Match_r,Delta_Assigned_vs_NextBest,Class,MCA_Count_r_gt_0_90,MCA_Flag,r_Cluster_1,r_Cluster_2,r_Cluster_3,r_Cluster_4,r_Cluster_5,r_Cluster_6,MCA_Cluster_Label
ceh1,3,3,4,0.9823149303975854,0.9823149303975854,0.03764208833294713,Fuzzy,3,True,0.7895703592147005,0.9240106873029774,0.9823149303975854,0.9446728420646383,0.6399128325269728,0.39083801669042645,C2/C3/C4
ceh10,2,2,3,0.9287377781803619,0.9287377781803619,0.02324189834202639,Fuzzy,2,False,0.8722288044294533,0.9287377781803619,0.9054958798383355,0.7808902775407219,0.5761382008608231,0.4870128543490329,
ceh11,1,1,2,0.9756116815253272,0.9756116815253272,0.023547524586300828,Fuzzy,2,False,0.9756116815253272,0.9520641569390264,0.8463433602466628,0.6647462186774714,0.5280530109902555,0.5758146068184964,
ceh13,4,4,3,0.9714212631576445,0.9714212631576445,0.13713944073559914,Core,1,False,0.485614810534082,0.6687174985948211,0.8342818224220454,0.9714212631576445,0.5436772138935194,0.3019504899260848,
ceh14,4,4,3,0.9589438847265639,0.9589438847265639,0.13926469695649968,Core,1,False,0.47901474862231636,0.690897551040869,0.8196791877700642,0.9589438847265639,0.42245936109971943,0.20141151424245046,
ceh16,3,3,4,0.9610207374816188,0.9610207374816188,0.05869777822213096,Core,2,False,0.6867205108709957,0.8273966224128539,0.9610207374816188,0.9023229592594878,0.7738155907166124,0.36892601145435594,
ceh17,3,3,5,0.9237925142836475,0.9237925142836475,0.07205630110381045,Core,1,False,0.6536271911961148,0.773737331994914,0.9237925142836475,0.8264961757242331,0.851736213179837,0.4137262033688544,
ceh18,3,3,2,0.9810133076384249,0.9810133076384249,0.06010639911588189,Core,2,False,0.8210240993986267,0.920906908522543,0.9810133076384249,0.8541998961356245,0.7404545169409101,0.41554349920202094,
ceh19,3,3,2,0.9580106662105188,0.9580106662105188,0.08284377205193405,Core,1,False,0.77975389149079,0.8751668941585847,0.9580106662105188,0.8498573439489883,0.8397535526209775,0.479318892084593,
ceh2,4,4,3,0.9858322987151797,0.9858322987151797,0.04548447079105822,Fuzzy,2,False,0.6560608175425403,0.8173246975161537,0.9403478279241215,0.9858322987151797,0.6003572868212195,0.3378475203577324,
ceh20,4,4,3,0.9875994352686615,0.9875994352686615,0.05340417219843274,Core,2,False,0.6259037913207774,0.8172265878092314,0.9341952630702287,0.9875994352686615,0.590418310287636,0.24506031098039743,
ceh21,3,3,2,0.9574154118364453,0.9574154118364453,0.04803597343236521,Fuzzy,2,False,0.8373072303372889,0.9093794384040801,0.9574154118364453,0.8292042593201553,0.7737229827793948,0.42530548005829366,
ceh22,1,1,3,0.8614404855436059,0.8614404855436059,0.0124053396145003,Fuzzy,0,False,0.8614404855436059,0.8435156184616172,0.8490351459291056,0.6319745303333234,0.8232359277404153,0.528792985219942,
ceh23,1,1,2,0.9777413648786657,0.9777413648786657,0.07911890130797061,Core,1,False,0.9777413648786657,0.8986224635706951,0.7752011967507482,0.5356557389863873,0.6452735532543031,0.623567162180493,
ceh24,2,2,3,0.9896465355221298,0.9896465355221298,0.044131246700179316,Fuzzy,3,True,0.9437233258929614,0.9896465355221298,0.9455152888219505,0.7809756269974953,0.6745878868195034,0.51332917691675,C1/C2/C3
ceh25,1,1,2,0.9745345539170286,0.9745345539170286,0.08652229845051485,Core,1,False,0.9745345539170286,0.8880122554665137,0.7679306782222179,0.5021968001367597,0.6917849151251065,0.6584030088709051,
ceh26,1,1,2,0.9812261515272912,0.9812261515272912,0.06874993182228062,Core,2,False,0.9812261515272912,0.9124762197050106,0.7920956349532324,0.5593266258615679,0.6598978128747174,0.6422614995241596,
