Date,Observed_h,Model_A_OneStep_h,Model_B_OneStep_h,Model_A_Iterative_h,Model_B_Iterative_h
2015-05-01,-1.32,-1.32,-1.32,-1.32,-1.32
2015-06-01,-1.32,-1.4757002346945411,-1.483858320992055,-1.4757002346945411,-1.483858320992055
2015-07-01,-1.42,-1.4849780433587703,-1.5386403480754756,-1.624932728592975,-1.69593452234181
2015-08-01,-1.635,-1.5424912643001278,-1.5915935773113272,-1.7266996926347717,-1.8564741923484784
2015-10-01,-1.83,-1.5870828161051682,-1.578914392507546,-1.669509163399703,-1.7915163525169273
2015-11-01,-1.77,-1.644565960066313,-1.6809531732873881,-1.5003051337198752,-1.6440111765858587
2015-12-01,-1.588032786885246,-1.469476408729514,-1.5832419604656882,-1.2270550649623344,-1.4623002357749095
2016-01-01,-1.4,-1.4044186127027325,-1.3905372219311516,-1.0799456050197662,-1.269841503303234
2016-02-01,-0.88,-1.2554477039274463,-1.2064380585716155,-0.967759556281687,-1.0814936972617135
2016-03-01,-0.39,-0.8409882479539317,-0.7551044457609908,-0.919872914375874,-0.9485263271690685
2016-04-01,-0.25,-0.42406431728988336,-0.34454507849715776,-0.9003525970801662,-0.880696901036136
2016-05-01,-0.45,-0.46010776237949325,-0.4011470356556044,-1.0446919358983635,-1.0065782866301902
2016-06-01,-0.56,-0.6901840249735905,-0.6915874239979325,-1.2247363515211982,-1.225869244292624
2016-08-01,-0.75,-0.7936655900202929,-0.7925429089487541,-1.39117892725706,-1.4317375028896675
2016-09-01,-1.005,-0.8593537639575718,-0.8625037739202227,-1.4356919764150848,-1.51693094572447
2016-10-01,-1.28,-1.0440166560401032,-0.9684848210284781,-1.4311539015961257,-1.4599078680949653
2016-11-01,-1.35,-1.154919646064152,-1.1020295117327856,-1.2907877567404773,-1.2747302899702626
2016-12-01,-1.45,-1.2275320597294177,-1.176563105398445,-1.1743077927033885,-1.1043086918617162
2017-02-01,-1.4637777777777778,-1.2871497324078895,-1.2606460214401556,-1.0393375427254725,-0.9288030699473423
2017-03-01,-1.47,-1.3769821335139891,-1.3534149772247668,-0.995464407390998,-0.8398712986852923
2017-04-01,-1.3,-1.4732158269155324,-1.4219541973359955,-1.0466687531342216,-0.8170683840630737
2017-05-01,-1.41,-1.4347766642915358,-1.4357891459790175,-1.2070641307513936,-0.9722037186659389
2017-06-01,-1.5,-1.5024100849318718,-1.604069893636441,-1.319996578882004,-1.183811684273659
2017-07-01,-1.61,-1.6463262177379265,-1.724331443183483,-1.4845260625032701,-1.4208095973978832
2017-09-01,-1.76,-1.60638826697613,-1.642218554406226,-1.4936031741218874,-1.4606070989961693
2017-10-01,-1.86,-1.7082146680777694,-1.7173926347714854,-1.468757842683082,-1.4299933811999603
2017-11-01,-1.85,-1.670532385845547,-1.6751587052022279,-1.3188555044004842,-1.2623781053296692
2018-01-01,-1.63,-1.6446138295064807,-1.6248718021856803,-1.1671825601102175,-1.0607899774520417
2018-02-01,-1.41,-1.456927728234473,-1.3988471490650922,-1.040913781641841,-0.8524396188357062
2018-03-01,-1.02,-1.2616406270676632,-1.2269391029744847,-0.9298791135674511,-0.6917145307471599
2018-04-01,-0.735,-1.0288157049362379,-0.9860891908732781,-0.9478085033835922,-0.6709548022311208
2018-05-01,-0.86,-0.9102580621069797,-0.8673122688405519,-1.1015458091334596,-0.8058327148100404
2018-06-01,-1.07,-1.1390438416341755,-1.131647473516258,-1.356162767326456,-1.079650123948537
2018-07-01,-1.32,-1.3289061825089323,-1.376481618211146,-1.586130072411825,-1.3857451592316017
2018-09-01,-1.635,-1.344110483820557,-1.3624458620683617,-1.5833275318155335,-1.4255572772881289
2018-10-01,-1.85,-1.5413410173331608,-1.5552233559396411,-1.494894048038483,-1.3541708861864938
2018-12-01,-1.715,-1.6464556624532116,-1.6538846371769182,-1.3272606282962767,-1.1779183843658365
2019-02-01,-1.64,-1.5879678757976858,-1.54483902568988,-1.239439552599175,-1.0292728418468224
2019-03-01,-1.555,-1.5130950212717726,-1.5120994915096626,-1.1530421835658045,-0.9258379976647026
2019-04-01,-1.42,-1.521830759969218,-1.5191500404407818,-1.160521865433245,-0.9151922002900663
2019-05-01,-1.55,-1.483981160098288,-1.476761344218537,-1.250743357215759,-0.9921760907029148
2019-06-01,-1.65,-1.6668824593557083,-1.718284789540704,-1.3978888426968774,-1.1828072460892607
2019-07-01,-1.81,-1.8446136517044265,-1.9069563100368505,-1.6179978233236185,-1.458479247628969
2019-09-01,-1.92,-1.7995048240171816,-1.853024210293441,-1.6269193153713986,-1.5155853414772342
2019-10-01,-1.9134065934065931,-1.7489236123745306,-1.8150611400003118,-1.4854813956952047,-1.4268472892272135
2019-12-01,-1.9,-1.740281012784446,-1.7092829325274261,-1.3556307489812014,-1.2422151417729448
2020-01-01,-1.69,-1.71587137783796,-1.6927358132475714,-1.2265527372656921,-1.0613017457354352
2020-03-01,-1.195,-1.600520083792506,-1.5490627761679012,-1.1839400066597898,-0.9455501063900532
2020-05-01,-1.225,-1.3449092367022002,-1.314947173136586,-1.334967710989935,-1.0754902154511472
2020-06-01,-1.46,-1.375592598508045,-1.4245222114904577,-1.4744395681848477,-1.2810017728397427
2020-08-01,-1.58,-1.5539941708504257,-1.6505172815889049,-1.5669735040170896,-1.4786897041680693
2020-09-01,-1.65,-1.6056104463501344,-1.6224132457722893,-1.5939012851624872,-1.5251614295014861
2020-10-01,-1.66,-1.539777459022651,-1.5684848289327225,-1.48935185759353,-1.4486472781494124
2020-11-01,-1.34,-1.5221604600499732,-1.5065035849297268,-1.3687695091425842,-1.3036176303980531
2021-01-01,-0.5800000000000001,-1.1534408006944166,-1.112691624708487,-1.1793009261097196,-1.0777667289220332
2021-02-01,0.21,-0.509223676260222,-0.41489813975354506,-1.0479188981319334,-0.8927243870201815
2021-03-01,0.23,0.11500096155239745,0.2731878368767968,-1.0157079534572544,-0.7853615297318082
2021-04-01,0.0,0.0877033499189113,0.2575653248968254,-1.032029480682713,-0.7171209310956969
2021-05-01,-0.14,-0.1330901751774126,-0.08346210258338838,-1.0607532670457847,-0.7718552462631156
2021-07-01,-0.3,-0.5171920394760522,-0.4941264528256127,-1.3448319844033587,-1.1006696458418965
2021-08-01,-0.675,-0.5661351062998363,-0.5339868691088712,-1.5053060188336547,-1.3025817750027628
2021-10-01,-0.8,-0.6123146939893207,-0.6535239739327942,-1.358654079680717,-1.255964890488057
2021-11-01,-0.65,-0.7825185874149583,-0.6865682462463334,-1.2846774700262025,-1.124267232233356
2021-12-01,-0.45,-0.5664804738885559,-0.48633018897720953,-1.1369747041446714,-0.9415983268665433
2022-01-01,-0.41,-0.4483825544071772,-0.29946606533776576,-1.0658853389794054,-0.7713710160722104
2022-03-01,-0.315,-0.46320619914362743,-0.34098235216414713,-1.052763603130064,-0.6878768841764744
2022-04-01,-0.58,-0.40517511312983445,-0.3014776404909187,-1.0683306507941663,-0.6594171167680253
2022-05-01,-0.64,-0.7483846578881838,-0.7065854869717085,-1.1873317324137445,-0.7828211625785964
2022-07-01,-1.06,-0.9528675164478051,-0.9433362016429503,-1.4448490505729006,-1.0804359638005736
2022-09-01,-1.5299999999999998,-1.1173884520295176,-1.131663479877989,-1.4633187445642748,-1.1512807811653847
2022-10-01,-1.84,-1.4598702938770605,-1.4927234442782,-1.399932335955307,-1.129175676641362
2022-11-01,-1.77,-1.6527491959842697,-1.6800293204998038,-1.25718440108235,-0.9976805431280147
2023-02-01,-1.28,-1.6486396563558945,-1.5837901898367726,-1.1876837312057935,-0.8424097673900349
2023-03-01,-1.345,-1.1650788584654344,-1.1327310992584358,-1.0820982877139733,-0.7126706843300108
2023-04-01,-1.18,-1.3336427526134504,-1.2843181149278278,-1.0973275892952388,-0.6773198436741518
2023-05-01,-1.34,-1.3141928416042519,-1.2982911350100497,-1.2398808712951703,-0.8157482917132479
2023-06-01,-1.48,-1.5762362302381903,-1.6153501382654851,-1.4862418819875478,-1.1120998970605953
2023-08-01,-1.63,-1.5628839049552612,-1.6514410674832165,-1.5684945620653812,-1.2982790031217797
2023-09-01,-1.64,-1.6280367299439562,-1.7187702560701381,-1.5727511729040522,-1.4003379666699867
2023-10-01,-1.535,-1.5253243280646576,-1.573227388101657,-1.4648761954908867,-1.3431661900654401
2023-11-01,-1.2,-1.405303965073685,-1.3699074935369748,-1.3422715938845746,-1.1857585254080716
2024-01-01,-0.78,-1.0424628691837048,-1.000356119133352,-1.1703469162369904,-0.9866851564827525
2024-02-01,-0.49,-0.7248057590679625,-0.6438542338928287,-1.0756779327757775,-0.8422596052235835
2024-03-01,0.06,-0.4699937438544695,-0.40626575333369613,-0.99644362937367,-0.744413876636602
2024-04-01,0.26,-0.04363740407781701,0.05152074393148497,-0.9932457068959819,-0.7206683992739455
2024-06-01,-0.1,-0.052158811773578895,0.03513189395280092,-1.178667122912916,-0.906251034658817
2024-07-01,-0.53,-0.3775118134898665,-0.3583350091233912,-1.3470962072188217,-1.132287713998144
2024-08-01,-0.55,-0.7690024330086206,-0.7534578831535348,-1.5034678801013752,-1.3316180160691513
2024-09-01,-0.8500000000000001,-0.6501685175790287,-0.6285981719054798,-1.5072147339980668,-1.3789046542674521
2024-11-01,-1.17,-0.8175946951765674,-0.7230494341948644,-1.4083470560091105,-1.230766224864615
2025-01-01,-0.97,-1.0156430591961187,-0.9565920427590641,-1.2298867131359932,-1.0149239791873976
2025-02-01,-0.86,-0.9065171152088014,-0.7997374038086594,-1.1401221781995978,-0.8428617332187132
2025-03-01,-0.92,-0.8793791532404586,-0.7774224022504309,-1.1311733226837954,-0.7609706925942007
2025-04-01,-0.84,-0.962964069970804,-0.9274880217241506,-1.1527819977604015,-0.7748294112788796
2025-05-01,-1.01,-1.0018634289952106,-0.9663733961002818,-1.283014617555478,-0.9038135341581071
2025-06-01,-1.4,-1.1834747958485274,-1.2273834290144485,-1.428880173298825,-1.12545078158014
2025-08-01,-1.595,-1.5994789846178545,-1.6318448897932751,-1.6254385830184346,-1.368294083551868
2025-10-01,-1.82,-1.5334088165607351,-1.5305888814094508,-1.5607692268624778,-1.312964779605487
2025-12-01,-1.52,-1.5847100549622064,-1.6074695752154655,-1.3516945985073192,-1.1207461312484615
2026-01-01,-1.03,-1.5316950994998337,-1.6060542910697362,-1.3804099743660403,-1.2227944893843659
