Well,Easting,Northing,Cluster_ID,Model_B_Intercept,NSE_Intercept_Effect
NW1,241725.0,364139.0,3,-0.13216393856775543,0.046079735254553444
NW2,241703.008,364112.082,3,0.023068265921242417,-0.002004627539669346
NW3,242091.94,363939.361,2,0.03862136617091566,0.00033044260516201795
NW4,242431.164,363744.512,2,0.043586968369079666,0.0032862997859606224
NW4B,242414.677,363751.66,2,0.04488953246671378,0.0031900189517273247
NW5,241711.757,363023.697,3,0.06030466108349296,-0.01892139870694165
NW6,241444.307,363316.599,3,-0.008226168204560735,0.0034134768415933214
NW7,241423.695,363584.862,3,-0.024950448456805205,0.011918037099210688
NW9,240937.259,363567.162,3,-0.04594930303445689,0.0397015906366871
NW10,241435.0,364325.025,4,0.07153650843492626,-0.005225422139691793
NW11,241689.0,364237.0,3,0.017154785244618834,-0.0017993031231708922
NW13,241761.0,364180.0,2,-0.011578153610551867,0.0016324290526477103
CEH1,241595.864,363948.335,3,0.062116002283851196,-0.006430088699890479
CEH2,241421.0,363979.0,4,0.11174371799498897,-0.006860953268549075
CEH3,240743.0,363388.0,5,-0.3767941242127073,8.930508072977284
CEH4,241131.693,363211.05,3,-0.06168811688234349,0.05046559452858601
CEH5,242521.077,364465.817,1,0.04663397097461924,-0.001024414648351124
CEH6,242621.679,364724.912,1,-0.04039142100391344,0.0027665486651229365
CEH9,241711.211,363459.012,3,0.08946267308107429,-0.012679251298752137
CEH10,242538.185,363173.915,2,-0.1456813558436334,0.07301929691487363
CEH11,242618.62,362688.287,1,-0.04370431129610236,0.010469416942048282
CEH13,240964.108,364066.298,4,0.1119906702295231,0.023002699824039796
CEH14,241292.0,364488.0,4,0.2219160201343141,0.07404379851412679
CEH16,240988.214,363614.897,3,-0.0179553234502855,0.013183474108326543
CEH17,240804.597413,363576.069469,3,-0.2459711630079344,0.2658597697015169
CEH18,241267.167,363202.889,3,-0.01879876132656929,0.007309399400101224
CEH19,240845.741,363532.891,3,-0.08866650756193276,0.1414143281250515
CEH20,241153.0,363829.0,4,0.06686235082177489,-0.017035858075859056
CEH21,241470.51,362937.659,3,-0.07238421513574861,0.08826915029515892
CEH22,241375.022,362906.94,1,-0.10193731769444231,0.13301199511427786
CEH23,242325.311,364428.124,1,0.022515634655460665,-0.00017594233964679518
CEH24,242938.911,363392.114,2,0.08358532695694182,0.0011560996991355488
CEH25,242512.557,364638.544,1,-0.017022011111310343,0.0009002855579847147
CEH26,242172.261,364362.239,1,-0.031247378351607378,0.0031289830448083533
CEH27,242005.373,364330.297,1,0.02040543995014248,-0.0003704090114051706
CEH28,242331.051,364122.039,2,0.06905542107109178,-0.0019624253112786594
CEH30,241072.0,363760.0,4,0.012189524550503962,-0.00400565086022775
CEH31,241075.0,363538.0,3,-0.11376562789752329,0.0697861630204214
CEH32,241167.0,364003.0,4,0.0918650647489358,-0.026424721517389282
CEH33,240936.0,363808.0,4,0.04111945588635428,-0.015298198060172852
CEH34,241251.0,363920.0,4,0.14171496393717029,0.01814964512947348
CEH36,241161.0,363306.0,3,-0.04083697182351615,0.04418948371702769
CEH39,241719.0,363435.0,3,0.09213140488977548,-0.019658584475062524
CEH40,242060.283,363398.508,2,0.049296252094142755,6.751905683022308e-05
CEH41,242284.022,363324.592,2,0.11557218166245967,0.012137661474432182
CEH42,242120.528,362743.198,3,0.033792528163995486,-0.013430298762928894
WMC1,242765.629,363643.556,2,0.0521619055608971,-0.002627642546838782
WMC2,241885.149,362855.856,3,0.05772553110142538,-0.021297693423396047
WMC3,241217.327,363562.323,3,-0.0030571436903573806,0.0012805414754507582
WMC4,241761.0,364180.0,2,-0.014959281924192644,0.0021161104118285756
L7,242812.0,364395.0,2,-0.09264604757247749,0.0376707969927208
D5,242083.407,363901.712,2,0.057240855498982224,0.0030400217750174985
D6,242114.898,364021.851,2,0.08453874235825587,0.0030738007466439843
D7,242610.75,364204.554,2,0.056086108627121864,-0.002270564598431668
D8,242676.867,364024.231,2,0.07738765169619972,0.010192197990093521
D9,242710.726,363910.68,2,0.07209940928551695,-0.004454517987143136
D10,242613.907,364118.797,2,0.10706745281750477,0.0164492580301121
D15,241980.565,363895.719,2,0.1140808012006331,0.01669537550564093
D17,242446.951,363534.961,2,0.0704757633218674,0.004774706840655618
D25,242215.187,363143.807,3,0.03710706800498875,-0.018601314643394984
D38,242711.571,363069.196,2,-0.0563366138511884,0.016843435646983873
D41,242771.66,363342.853,2,0.0602914822284054,0.003513923661718321
T41A,242709.928,363275.666,2,0.08103725172591983,-0.005578186784618633
T41B,242715.085,363309.565,2,0.058415064140065726,0.0028814913031701694
T41C,242721.13,363323.682,2,0.05455228071773875,-0.0002439947486436722
T41D,242731.987,363353.284,2,0.028996706843260073,-0.0013558722205126994
D43,242664.714,363428.693,2,0.03554953887209338,-0.003924136774569265
D44,242819.407,363279.547,2,-0.015716470590563397,0.002986369676005518
