Well,Well_Normalized,Status,Model_B_Intercept,OneStep_R2_Model_A,OneStep_R2_Model_B,Iterative_NSE_Model_A,Iterative_NSE_Model_B,NSE_Intercept_Effect
NW1,nw1,ok,-0.022391909247234998,0.8945417232284325,0.8945637873324814,0.8252451556012254,0.8277500981949466,0.002504942593721249
NW2,nw2,ok,-0.03353087503976321,0.9072403355604247,0.9072650576901232,0.8374087130145068,0.836903716307494,-0.0005049967070127614
NW3,nw3,ok,0.46136110963638655,0.8758150948782787,0.8810352339836875,0.3829309273752084,0.8094573502685933,0.42652642289338494
NW4,nw4,ok,0.3753272110176491,0.878917151934412,0.8819143959930836,0.6704605191785116,0.8149912251576672,0.14453070597915563
NW4B,nw4b,ok,0.4034988723686423,0.8682934779986257,0.8718651011503186,0.6626468082377104,0.8068578911125048,0.14421108287479445
NW5,nw5,ok,-0.06098364192825853,0.9113248664530985,0.911396062580803,0.7901278921786781,0.7488112908074998,-0.04131660137117832
NW6,nw6,ok,0.24327013218538135,0.8907597676967588,0.8913091057918252,0.6129614307352693,0.7834554088839539,0.1704939781486846
NW7,nw7,ok,-0.021309599210860074,0.9212724586996542,0.9213129575676453,0.7329933887207309,0.6951174722286046,-0.037875916492126294
NW9,nw9,ok,-3.029040299714486e-05,0.9228046346080048,0.9228046322310339,0.8597053496197994,0.8596946405540458,-1.0709065753622404e-05
NW10,nw10,ok,-0.1502900918561748,0.9416452113734255,0.9425287101926906,0.7209237490613201,-0.7225532305485414,-1.4434769796098614
NW11,nw11,ok,-0.1064545003135819,0.9342572835439648,0.9345344028876599,0.8556601750550663,0.8242199072180559,-0.03144026783701037
NW13,nw13,ok,-0.004711013097998672,0.9306236025959812,0.9306237778260461,0.8458060314706329,0.8450652324452986,-0.0007407990253343044
CEH1,ceh1,ok,-0.1735635389827896,0.9453102250187324,0.9459517321041062,0.831067772332835,0.7116790935767261,-0.11938867875610892
CEH2,ceh2,ok,-0.08926272793672067,0.9316339563891991,0.9319218088456886,0.7098055665395122,-1.8999099932118542,-2.6097155597513666
CEH4,ceh4,ok,0.04317837763344059,0.9399368769372997,0.9399855271994305,0.8425544180024185,0.8640077989156935,0.021453380913274978
CEH5,ceh5,ok,0.3861707836890432,0.9277433588156588,0.9314818232454812,0.739780214398071,0.8903560713089194,0.1505758569108484
CEH6,ceh6,ok,0.8973943855616917,0.8970230804463531,0.9172108906761227,0.6309008734421393,0.8961295150503028,0.2652286416081635
CEH9,ceh9,ok,-0.11604778089219157,0.9366628576947011,0.9369314734306005,0.7952705374600011,0.3533074039143088,-0.4419631335456923
CEH10,ceh10,ok,0.13015803559782027,0.8895948618712062,0.8903126124339453,0.8208585139171174,0.8189773575546472,-0.0018811563624702154
CEH11,ceh11,ok,0.4351156835597073,0.9156555195016581,0.9208621265344562,0.7347623096520066,0.8753306446290122,0.1405683349770056
CEH13,ceh13,ok,-0.07666877141503661,0.9141683446743035,0.9143025544086074,0.5103063112216777,0.08710776585838231,-0.4231985453632954
CEH14,ceh14,ok,-0.01763903099802376,0.9171424571489133,0.9171509327737859,-1.447147030641335,-4.326372493224802,-2.8792254625834675
