Name_Original,Cluster_ID,E,N,dem,beta_1_recharge,beta_2_atmospheric_draw,beta_3_drainage,pvalue_beta_1,pvalue_beta_2,pvalue_beta_3,Model_R2,n
nw1,3,241725.0,364139.0,12.633,4.356477949555277,2.0873836601716245,0.1112035919819169,9.636551533013614e-27,1.5529255955286804e-07,8.003331285977837e-10,0.7167800564079243,100
nw2,3,241703.008,364112.082,12.064,4.488269775666866,1.9921813796935688,0.093667486379306,1.0338781039874146e-28,2.373038918055999e-07,1.564803124260776e-10,0.7484163890327205,100
nw3,2,242091.94,363939.361,10.706,3.969044902193111,1.7440168480836098,0.0624639659579301,1.2551091877726216e-21,2.8043172443550778e-05,1.5918762175555e-07,0.6552156848084029,100
nw4,2,242431.164,363744.512,9.23,3.3621126232391134,1.2125720935064026,0.0551370180664122,1.1262905602553523e-20,0.0008147389377702,2.3485553629818586e-07,0.6397420244412354,100
nw 4b,2,242414.677,363751.66,9.336,3.5698550562628637,1.204497471843098,0.0606689049201585,1.602411037932332e-20,0.0017116845050791,1.321042589478379e-07,0.632465862803413,100
nw5,3,241711.757,363023.697,5.725,3.550090944544493,1.9143632258884904,0.0512152620906992,5.6765220169933836e-24,1.24954483609153e-07,1.6195699434675711e-06,0.7101285528826167,100
nw6,3,241444.307,363316.599,6.441,3.1820702537163945,1.2918145267108985,0.0530034266153621,3.4213187272902875e-21,0.0001926182173939,1.9147434431768578e-07,0.6489608204748123,100
nw7,3,241423.695,363584.862,8.504,2.754746457077293,1.956835615316802,0.0412988447106792,2.755440058867159e-21,2.7396383836666382e-09,0.0002672061436536,0.6798486270947902,100
nw9,5,240937.259,363567.162,5.18,2.732028587488551,1.1306275926347702,0.0493937710267678,1.5015623541153382e-26,5.908307602623992e-06,5.922707921163871e-09,0.7383148492371772,100
nw10,4,241435.0,364325.025,11.8,3.481377463956191,2.6276453583657444,0.0429727918544931,1.9805297425868567e-28,1.487674159341679e-14,4.352429923556178e-05,0.7781605822218273,100
nw11,3,241689.0,364237.0,12.1,4.490870192748458,2.1249794811354845,0.0778330811807098,1.781102686897541e-33,7.674181993180293e-10,5.653749543577217e-12,0.8071741801363355,100
nw13,3,241761.0,364180.0,12.09,4.799232406628865,1.7573400981872125,0.0891436591800747,1.6200048374994262e-34,2.227043100384837e-07,7.837065952318105e-15,0.8098327515845133,100
ceh 1,3,241595.864,363948.335,10.692,4.420035380474687,2.282280663323992,0.0659935767629675,6.732642746383251e-33,1.1596151888714192e-10,1.4983300955885458e-10,0.8072670452656556,100
ceh2,4,241421.0,363979.0,12.03,2.7321406524967022,2.891150911970217,0.0232981803492976,1.755196174858714e-21,5.773242068840868e-15,0.1039244843098341,0.6976817904623958,100
ceh4,3,241131.693,363211.05,4.549,3.4502891846960018,1.086518053037662,0.0680811997324725,6.483332635816999e-34,7.88174798337157e-06,6.3282521492224015e-15,0.8078379507477125,100
ceh5,1,242521.077,364465.817,9.638,5.317568969959272,1.3369353862416835,0.0984496225247558,6.66139141450434e-33,0.0002490492245042,1.371457352991836e-16,0.7868499560302014,100
ceh6,1,242621.679,364724.912,8.611,5.283073964652784,-0.1993972056707111,0.1222723065718425,3.37042727033732e-30,0.5855093234833474,4.213751171869374e-20,0.7427615075934246,100
ceh9,3,241711.211,363459.012,7.983,3.0550112147888404,2.2548689914323896,0.0329674312711341,7.370737252759076e-27,4.108146802961138e-13,9.942699359927522e-05,0.7757849659571107,100
ceh10,2,242538.185,363173.915,5.818,4.587037444949933,1.6365115926562788,0.1052694063832384,4.8837010817781737e-23,0.0002011017861413,1.2677058755245195e-09,0.6581620923774166,100
ceh11,1,242618.62,362688.287,3.584,4.463477084897849,0.7707385306228506,0.0919549632431785,3.0241347537526776e-29,0.0216331456122674,2.7152715051469334e-15,0.7423435291644,100
ceh13,4,240964.108,364066.298,11.325,2.059327630038925,2.645464666626958,0.000972146825862,8.700692630765342e-12,1.8115870061133052e-10,0.9395305774417751,0.553489267148944,100
ceh14,4,241292.0,364488.0,14.42,2.307679700630408,3.723129009579993,-0.0164277619128858,3.480943168651103e-11,1.9248052195439606e-13,0.2388472723918025,0.5829825751425213,100
ceh16,5,240988.214,363614.897,6.167,2.476802859202844,1.4709834361169234,0.0371968463433191,8.078891190871264e-26,2.429048327100996e-09,3.752989807095157e-06,0.7501360416615226,100
ceh17,5,240804.597413,363576.069469,6.091,2.0342465626631343,1.2139648756740664,0.0574022940283861,7.798273084151274e-21,1.9236732581417242e-07,2.7812082949609127e-05,0.657593256649956,100
ceh18,3,241267.167,363202.889,5.204,3.2391087642598744,1.6099116510851912,0.0553915203621351,1.4315129923171248e-21,5.264768787838545e-06,1.76150431935797e-06,0.6650755503075598,100
ceh19,5,240845.741,363532.891,4.8,2.2043197188363823,0.8782052306590638,0.0443199411056904,7.528244844138267e-26,1.5807366262199826e-05,9.262467612422488e-09,0.7313437787179916,100
ceh20,4,241153.0,363829.0,8.728,2.57621254112056,2.1667943119383386,0.0299305296454228,4.429952684549e-22,5.269715899007932e-12,0.0045392929135758,0.7063824863550545,100
ceh21,3,241470.51,362937.659,4.222,2.320837240791674,1.1373933671262015,0.0421642988933321,3.060848946395465e-27,7.724565506104804e-08,3.864521850960441e-08,0.7582580993593208,100
ceh23,1,242325.311,364428.124,10.018,4.407500250039134,0.6611861421563492,0.089885553265995,8.970395267167044e-26,0.0720053445473553,1.0995862652786037e-13,0.6956119116993889,100
ceh24,2,242938.911,363392.114,5.958,4.545113776074678,1.6091637599438755,0.0766700651046743,1.6684827115868371e-25,8.83766551112135e-05,4.916197744117983e-10,0.7075883442057698,100
ceh25,1,242512.557,364638.544,9.076,6.267902315750871,0.4138761755319629,0.1351526074018555,4.2343082498589865e-28,0.3730557276406713,2.038536791202402e-17,0.7176060497567489,100
ceh26,1,242172.261,364362.239,10.45,4.310733648770537,0.5523507651622868,0.087681868170956,1.5802738499357435e-26,0.1153428733342673,4.070534164316276e-14,0.7050137917907966,100
ceh27,1,242005.373,364330.297,10.94,5.072917151018993,0.8417008862490788,0.0992274658229883,2.310479832540092e-31,0.0182096256946682,5.636846721831389e-17,0.7665119911006114,100
ceh28,2,242331.051,364122.039,10.396,4.183800536649075,1.468386711367792,0.0683883452621088,4.758310081193893e-23,0.0006480318265403,1.087203070345458e-08,0.6699494739208858,100
ceh30,4,241072.0,363760.0,8.67,2.2741651480201157,2.1809562898035155,0.0236274099585674,4.386557079008993e-21,2.781504894285832e-13,0.0404264152769973,0.7056716332026067,100
ceh31,5,241075.0,363538.0,6.49,2.1221112579693857,1.3457016263702704,0.0417638877974809,2.8060625830400786e-15,6.678076542712212e-06,0.0019509762100388,0.5580732719543764,100
Ceh32,4,241167.0,364003.0,11.07,2.338087854676474,2.634215536575084,0.0122140287441483,6.079677809028181e-19,7.025064422816774e-14,0.3375454768098433,0.6775565911362609,100
ceh33,4,240936.0,363808.0,8.83,2.216285568459768,2.2405098178840293,0.0194946194491993,8.470717522734182e-20,4.595314090288614e-13,0.1021415583533318,0.687044395345241,100
ceh34,4,241334.0,363887.0,9.8,2.350530102361045,2.6788032882846395,0.0078659782041421,8.337245891387183e-23,4.8615358567491474e-18,0.3216512696456965,0.7689579402571354,100
ceh36,3,241161.0,363306.0,5.31,2.678958103489313,1.0776325199137138,0.0458542655601882,4.494424957100614e-24,3.1802640208071084e-05,3.3936225072200634e-08,0.7060755444545226,100
ceh39,3,241719.0,363435.0,7.85,3.002192081213403,2.1819735402056977,0.0310450602782384,3.899615065332383e-26,1.6600748088546849e-12,0.000119000725783,0.7692631221987947,100
ceh40,3,242060.283,363398.508,7.77,2.801542374716081,1.769977220119078,0.0350653192108236,1.8312844428354093e-18,5.917555117988269e-07,0.0005736664096119,0.6385822195972533,100
ceh41,3,242284.022,363324.592,7.15,3.188724935233282,2.2068707671092267,0.0349944215898291,1.8322515957769321e-22,6.765303241139672e-10,0.0002414906905572,0.7126841142915605,100
ceh42,3,242120.528,362743.198,3.62,3.202611286696386,1.280300171834961,0.0525490224099715,8.955177729006956e-24,3.804265641132066e-05,3.59263794644577e-08,0.6959982957137473,100
WMC1,2,242765.629,363643.556,7.335,3.659688521979264,1.684669962550828,0.0563547936398573,3.700004456656959e-24,3.2767653088777007e-06,1.4510191871156034e-07,0.706531613220934,100
WMC2,3,241885.149,362855.856,4.552,3.364340424889532,1.8129149004880367,0.0476009284350383,1.8876219212317664e-27,4.819373397318098e-09,1.5090334787883538e-07,0.7600311077511088,100
wmc3,3,241217.327,363562.323,8.69,2.405564812155711,1.8419708513309276,0.0325732967890212,2.314481699584399e-18,6.4852596269715985e-09,0.0029642596336636,0.6389093754762651,100
wmc4,3,241761.0,364180.0,12.09,4.82598393853691,1.822430949389377,0.0890119658529919,7.20453976186391e-36,3.896890680959853e-08,2.150291147746066e-15,0.822418038481729,100
L7,2,242812.0,364395.0,10.31,4.399109040431057,2.6135050880893864,0.0858757287055092,5.521714627960024e-39,4.0930958228944245e-17,2.812628112284485e-13,0.8530763472980165,100
D5,2,242083.407,363901.712,10.6,4.279920438800542,1.8006295284699814,0.0698194021115176,1.2141495228119133e-26,3.0166475480329705e-06,2.2263241539985252e-09,0.7316743779783068,100
D6,2,242114.898,364021.851,10.875,4.378178252050146,2.072835339215209,0.0659584213071962,2.962532571865082e-29,1.970634099459101e-08,6.757953952643042e-10,0.7683974280722564,100
D7,2,242610.75,364204.554,9.875,4.444958641156042,1.3402283300543156,0.0787152094928572,1.6994891919401408e-25,0.0004498693835538,1.0447426420221823e-10,0.7065592269369769,100
D8,2,242676.867,364024.231,9.326,3.77347617342092,1.6830408557027254,0.0560601978743024,7.679721386687815e-26,1.829855386416937e-06,2.1114237363211638e-08,0.7295555211627619,100
D9,2,242710.726,363910.68,9.156,4.320300229897113,2.154430419130763,0.0623998760669295,1.2328923308443968e-30,2.1983329690439587e-09,9.555551556839191e-10,0.7875773385182142,100
D10,2,242613.907,364118.797,9.643,4.128166677564515,2.038357969884161,0.0583486860351783,1.8325699489298562e-29,7.375726293200342e-09,2.2819355467557702e-09,0.7760550500161343,100
D15,2,241980.565,363895.719,10.521,4.360655056234901,2.1016367403544995,0.0635228429470697,1.2098399658189634e-31,1.6578560931346219e-09,1.2537699907044815e-10,0.7962549087055022,100
