Parameter,Well,Era,Value,Unit,Note
C1_beta1_mean,,,5.0393,mm/mm,"mean β₁ recharge, C1, 3.7 m datum, n=7"
C1_beta2_mean,,,0.597,mm/mm,"mean β₂ atmospheric draw, C1, 3.7 m datum, n=7"
C1_beta3_mean,,,0.1021,/month,"mean β₃ drainage, C1, 3.7 m datum, n=7"
C1_beta3_pct_mean,,,10.2132,%/month,"mean β₃ as % head drained/month, C1"
C2_beta1_mean,,,4.2937,mm/mm,"mean β₁ recharge, C2, 3.7 m datum, n=24"
C2_beta2_mean,,,1.6359,mm/mm,"mean β₂ atmospheric draw, C2, 3.7 m datum, n=24"
C2_beta3_mean,,,0.0711,/month,"mean β₃ drainage, C2, 3.7 m datum, n=24"
C2_beta3_pct_mean,,,7.1123,%/month,"mean β₃ as % head drained/month, C2"
C3_beta1_mean,,,3.5252,mm/mm,"mean β₁ recharge, C3, 3.7 m datum, n=21"
C3_beta2_mean,,,1.7168,mm/mm,"mean β₂ atmospheric draw, C3, 3.7 m datum, n=21"
C3_beta3_mean,,,0.0558,/month,"mean β₃ drainage, C3, 3.7 m datum, n=21"
C3_beta3_pct_mean,,,5.5808,%/month,"mean β₃ as % head drained/month, C3"
C4_beta1_mean,,,2.4998,mm/mm,"mean β₁ recharge, C4, 3.7 m datum, n=9"
C4_beta2_mean,,,2.6008,mm/mm,"mean β₂ atmospheric draw, C4, 3.7 m datum, n=9"
C4_beta3_mean,,,0.0149,/month,"mean β₃ drainage, C4, 3.7 m datum, n=9"
C4_beta3_pct_mean,,,1.4902,%/month,"mean β₃ as % head drained/month, C4"
C5_beta1_mean,,,2.3515,mm/mm,"mean β₁ recharge, C5, 3.7 m datum, n=5"
C5_beta2_mean,,,1.1539,mm/mm,"mean β₂ atmospheric draw, C5, 3.7 m datum, n=5"
C5_beta3_mean,,,0.045,/month,"mean β₃ drainage, C5, 3.7 m datum, n=5"
C5_beta3_pct_mean,,,4.5003,%/month,"mean β₃ as % head drained/month, C5"
CEH14_beta3,CEH14,,-0.0191,/month,negative β₃ — lateral recharge from rock ridge (C4)
CEH14_beta3_pct,CEH14,,-1.9129,%/month,negative β₃ as %
