Well,Well_Normalized,Months_Used,OneStep_R2_Traditional,OneStep_R2_StateSpace,OneStep_R2_Improvement,Iterative_R2_Traditional,Iterative_R2_StateSpace,Iterative_R2_Improvement,Iterative_NSE_Traditional,Iterative_NSE_StateSpace,Iterative_NSE_Improvement,Beta_P_StateSpace,Beta_PET_StateSpace,Beta_hdisp_StateSpace,pvalue_beta_1_StateSpace,pvalue_beta_2_StateSpace,pvalue_beta_3_StateSpace,R2_StateSpace_fit
CEH1,ceh1,100,0.9450748910997624,0.9457275018579284,0.0006526107581660279,0.6803763271263306,0.8224314552599107,0.14205512813358012,0.4748952909976242,0.8212067690572529,0.3463114780596287,4.432556300808071,2.184750673497012,0.06657143688697303,1.6881410512896152e-32,4.614703905258667e-10,7.866521216656816e-11,0.8055128174420503
CEH10,ceh10,100,0.8794420873934798,0.8852617492885879,0.005819661895108075,0.4541107070666034,0.7661582026735791,0.31204749560697576,-0.6687221867234074,0.7613752668918397,1.430097453615247,4.640103975825765,1.7230682451090007,0.10121163366186021,5.230711644655335e-22,0.0001424985286805155,5.983289470103084e-09,0.6460036595321891
CEH11,ceh11,100,0.9027151828209986,0.9105752104868884,0.00786002766588978,0.5272198944689286,0.7701770452954303,0.2429571508265017,0.3079319095626111,0.7527964466493714,0.4448645370867603,4.4637654530940445,0.671597865432548,0.0925044649612415,1.3446922916485932e-29,0.039084559027522614,3.3909930190321756e-16,0.7475460945889059
CEH13,ceh13,100,0.9327490082363425,0.9327555088683135,6.500631970940418e-06,0.5693340050911775,0.563419262955043,-0.005914742136134521,0.252715007173677,0.21558843797518934,-0.03712656919848767,2.07180849702929,2.7141535091663918,0.0006527739859413691,2.3714446360041966e-12,2.5416838170166162e-11,0.9564841058246563,0.5813607715528946
CEH14,ceh14,100,0.9396445799290412,0.9386720433194738,-0.0009725366095673094,0.37018608750538495,0.00453557515399174,-0.36565051235139323,0.2478262785583154,-7.53720364883865,-7.785029927396966,2.2087981817144025,3.7917916197154287,-0.02029147414312917,9.94550550350528e-11,2.768677137681569e-14,0.13883901971617923,0.5982465766752845
CEH16,ceh16,100,0.9404225060340491,0.9408212860320843,0.0003987799980351703,0.7057005008061098,0.8149934125674313,0.1092929117613215,0.6339768065554905,0.8141997323480702,0.1802229257925797,2.5029465246624962,1.3585091212811706,0.03899576046125788,2.5201470214871604e-26,1.1427809080079147e-08,5.083977533991517e-07,0.7565397529615636
CEH17,ceh17,100,0.9055094619245372,0.9073491820288885,0.0018397201043512945,0.6974821459540633,0.8340540190072149,0.13657187305315155,0.3662772900997284,0.8227891403019996,0.45651185020227114,2.1247396867378754,1.1890928887683725,0.05914428714985098,3.6100379900689767e-22,1.4341050075273933e-07,3.043796525077009e-06,0.6816679468891071
CEH18,ceh18,100,0.8998937710521491,0.9021827056101843,0.0022889345580352494,0.6203964409798266,0.7861565174456044,0.16576007646577784,-0.5984992959185194,0.7512017460700989,1.3497010419886184,3.4265179369037,1.5083639097965165,0.06073534830053992,1.270917447650689e-24,4.150415780552109e-06,1.6273119125762715e-08,0.7112385079145391
CEH19,ceh19,100,0.9259932283309068,0.9271036792634277,0.0011104509325209344,0.7070950623909499,0.8444428756875416,0.13734781329659174,0.674901319948777,0.8416033887992223,0.16670206885044525,2.237831441942042,0.7762912929764877,0.0444637711288769,6.080970760752367e-26,0.00010342080944168829,1.5556073212419215e-09,0.7322158131069044
CEH2,ceh2,100,0.942771349666795,0.942752092794598,-1.9256872196948827e-05,0.6777859314234619,0.7229431421568909,0.04515721073342904,0.5599315956607217,0.6825420189006743,0.12261042323995264,2.727912102105714,2.779483157917483,0.019076047215110168,5.95124437370575e-20,9.651539888375326e-14,0.09118045979334742,0.702525846634676
