Well,Shift,Delta_m,Control
CEH36,Pure_Scraping,0.1294662107982894,CEH4
CEH36,Felling_Pulse,0.023606505102040792,CEH4
CEH4,Pure_Scraping,-0.01495099762050038,Regional Mean
CEH4,Felling_Pulse,-0.08906109143522754,Regional Mean
CEH18,Felling_Pulse,0.0297059584300923,CEH4
CEH18,After_Scraping,0.008470878729253575,CEH4
CEH21,Coastal_Drawdown,0.04309647417981399,CEH22
CEH21,After_Scraping,0.0735465180060278,CEH22
CEH22,Coastal_Drawdown,-0.1651757392654788,Regional Mean
CEH22,After_Scraping,-0.132033850086773,Regional Mean
