pair,impact_well,control_well,extra_years,n_post,n_eff,mde_mm,observed_step_mm,observed_below_floor,note
"CEH21 vs CEH22, 2023 re-scrape",CEH21,CEH22,0,26,28.426317889995897,110.41539684755169,25.052027806559195,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH21 vs CEH22, 2023 re-scrape",CEH21,CEH22,2,50,35.76214186160774,89.30643765061292,25.052027806559195,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH21 vs CEH22, 2023 re-scrape",CEH21,CEH22,5,86,46.765877819025505,77.87020664640742,25.052027806559195,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH21 vs CEH22, 2023 re-scrape",CEH21,CEH22,10,146,65.10543774805512,70.51608802720618,25.052027806559195,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH21 vs CEH22, 2023 re-scrape",CEH21,CEH22,20,266,101.78455760611433,65.32149801699047,25.052027806559195,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH18 vs CEH4, 2023 re-scrape",CEH18,CEH4,0,27,42.39584902108832,80.24151435395353,21.732856149029963,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH18 vs CEH4, 2023 re-scrape",CEH18,CEH4,2,51,52.885543624244185,65.2082775047187,21.732856149029963,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH18 vs CEH4, 2023 re-scrape",CEH18,CEH4,5,87,68.620085528978,56.87027536863134,21.732856149029963,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH18 vs CEH4, 2023 re-scrape",CEH18,CEH4,10,147,94.84432203686767,51.43589851711563,21.732856149029963,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
"CEH18 vs CEH4, 2023 re-scrape",CEH18,CEH4,20,267,147.29279505264702,47.561380410296856,21.732856149029963,True,"smallest step distinguishable from zero at alpha=0.05, power=0.8; observed_step_mm is the step+trend estimate, the same model this floor is derived from. The step/trend collinearity inflation is held at its measured value as the record is extrapolated, which is CONSERVATIVE — that collinearity eases as the post-window grows, so the forward floors are if anything pessimistic"
