Year,CEH36_summer_min_m,CEH18_summer_min_m,Gap_m,Control,Era,CEH4_summer_min_m
2011,-1.23,-1.37,0.14000000000000012,CEH18,Pre-scraping,
2012,-1.22,-1.37,0.15000000000000013,CEH18,Pre-scraping,
2013,-1.03,-1.18,0.1499999999999999,CEH18,Pre-scraping,
2014,-0.98,-1.17,0.18999999999999995,CEH18,Pre-scraping,
2015,-1.11,-1.36,0.25,CEH18,Post-scraping,
2016,-0.69,-1.01,0.32000000000000006,CEH18,Post-scraping,
2017,-0.95,-1.28,0.33000000000000007,CEH18,Post-scraping,
2018,-1.05,-1.38,0.32999999999999985,CEH18,Post-felling,
2019,-1.1,-1.44,0.33999999999999986,CEH18,Post-felling,
2020,-0.99,-1.26,0.27,CEH18,Post-felling,
2021,-0.82,-1.14,0.31999999999999995,CEH18,Post-felling,
2022,-1.08,-1.47,0.3899999999999999,CEH18,Post-felling,
2023,-0.98,-1.27,0.29000000000000004,CEH18,Post-felling,
2024,-0.77,-1.04,0.27,CEH18,Post-Oct2023,
2025,-1.1,-1.25,0.1499999999999999,CEH18,Post-Oct2023,
2011,-1.23,,-0.07000000000000006,CEH4,Pre-scraping,-1.16
2012,-1.22,,-0.11999999999999988,CEH4,Pre-scraping,-1.1
2013,-1.03,,-0.010000000000000009,CEH4,Pre-scraping,-1.02
2014,-0.98,,0.040000000000000036,CEH4,Pre-scraping,-1.02
2015,-1.11,,0.06999999999999984,CEH4,Post-scraping,-1.18
2016,-0.69,,0.18000000000000005,CEH4,Post-scraping,-0.87
2017,-0.95,,0.16000000000000014,CEH4,Post-scraping,-1.11
2018,-1.05,,0.1499999999999999,CEH4,Post-felling,-1.2
2019,-1.1,,0.1499999999999999,CEH4,Post-felling,-1.25
2020,-0.99,,0.08000000000000007,CEH4,Post-felling,-1.07
2021,-0.82,,0.12,CEH4,Post-felling,-0.94
2022,-1.08,,0.21999999999999997,CEH4,Post-felling,-1.3
2023,-0.98,,0.10000000000000009,CEH4,Post-felling,-1.08
2024,-0.77,,0.16999999999999993,CEH4,Post-Oct2023,-0.94
2025,-1.1,,0.2999999999999998,CEH4,Post-Oct2023,-1.4
