Parameter,Well,Era,Value,Unit,Note
Tier1_CUSUM_terminal,CEH4,,-10.5527,m,Final cumulative CUSUM vs Regional Mean
Tier1_CUSUM_terminal,CEH22,,-19.022,m,Final cumulative CUSUM vs Regional Mean
Tier2_BACI_shift,CEH36,Pure_Scraping,0.1294,m,vs CEH4
Tier2_BACI_shift,CEH36,Felling_Pulse,0.0236,m,vs CEH4
Tier2_BACI_shift,CEH4,Pure_Scraping,-0.0149,m,vs Regional Mean
Tier2_BACI_shift,CEH4,Felling_Pulse,-0.0879,m,vs Regional Mean
Tier2_BACI_shift,CEH18,Felling_Pulse,0.0297,m,vs CEH4
Tier2_BACI_shift,CEH18,After_Scraping,0.0085,m,vs CEH4
Tier2_BACI_shift,CEH21,Coastal_Drawdown,0.0431,m,vs CEH22
Tier2_BACI_shift,CEH21,After_Scraping,0.0735,m,vs CEH22
Tier2_BACI_shift,CEH22,Coastal_Drawdown,-0.1652,m,vs Regional Mean
Tier2_BACI_shift,CEH22,After_Scraping,-0.1295,m,vs Regional Mean
Net_benefit,CEH36,Pure_Scraping,0.1435,m,vs CEH21 coastal benchmark
Net_benefit,CEH36,Felling_Pulse,-0.0489,m,vs CEH21 coastal benchmark
Net_benefit,CEH18,Felling_Pulse,-0.0098,m,vs CEH21 coastal benchmark
Net_benefit,CEH18,After_Scraping,-0.0725,m,vs CEH21 coastal benchmark
beta3_era,CEH36,1_Baseline,0.0883,m,"CI=[0.0116,0.1649] p=0.0249"
beta3_era,CEH36,2_Pure_Scraping,0.141,m,"CI=[0.0603,0.2218] p=0.0012"
beta3_era,CEH36,3_Felling_Pulse,0.1089,m,"CI=[0.0503,0.1675] p=<0.001"
beta3_era,CEH4,1_Baseline,0.0702,m,"CI=[0.0264,0.1140] p=0.0020"
beta3_era,CEH4,2_Pure_Scraping,0.1628,m,"CI=[0.0804,0.2452] p=<0.001"
beta3_era,CEH4,3_Felling_Pulse,0.1105,m,"CI=[0.0599,0.1610] p=<0.001"
beta3_era,CEH18,1_Baseline,0.0752,m,"CI=[0.0364,0.1140] p=<0.001"
beta3_era,CEH18,2_Felling_Pulse,0.1052,m,"CI=[0.0230,0.1874] p=0.0129"
beta3_era,CEH18,3_After_Scraping,0.1559,m,"CI=[0.0211,0.2906] p=0.0251"
beta3_era,CEH21,1_Baseline,0.1051,m,"CI=[0.0545,0.1556] p=<0.001"
beta3_era,CEH21,2_Coastal_Drawdown,0.0581,m,"CI=[-0.0032,0.1194] p=0.0629"
beta3_era,CEH21,3_After_Scraping,0.0812,m,"CI=[-0.0327,0.1950] p=0.1550"
beta3_era,CEH22,1_Baseline,0.1364,m,"CI=[0.0833,0.1896] p=<0.001"
beta3_era,CEH22,2_Coastal_Drawdown,0.152,m,"CI=[0.0737,0.2302] p=<0.001"
beta3_era,CEH22,3_After_Scraping,0.2297,m,"CI=[0.0681,0.3912] p=0.0073"
Summer_minimum_depth,CEH4,1_Baseline,-1.16,m,Mean of annual Jun-Sep minima
Summer_minimum_depth,CEH4,2_Pure_Scraping,-1.18,m,Mean of annual Jun-Sep minima
Summer_minimum_depth,CEH4,3_Felling_Pulse,-1.4,m,Mean of annual Jun-Sep minima
Summer_minimum_depth,CEH36,1_Baseline,-1.23,m,Mean of annual Jun-Sep minima
Summer_minimum_depth,CEH36,2_Pure_Scraping,-1.11,m,Mean of annual Jun-Sep minima
Summer_minimum_depth,CEH36,3_Felling_Pulse,-1.1,m,Mean of annual Jun-Sep minima
