well,role,cluster,dist_m,pre_b1,pre_b2,pre_b3,pre_r2,pre_n,post_b1,post_b2,post_b3,post_r2,post_n,raw_db1,raw_db2,raw_db3,baci_db1,baci_db2,baci_db3
ceh36,scraped,3,0.0000,2.9233,1.1928,0.0535,0.7097,50,3.1480,1.2477,0.0561,0.8214,31,0.2246,0.0549,0.0026,0.0580,-0.4406,0.0016
ceh31,uphill,5,247.4268,2.5909,1.3056,0.0589,0.6687,57,2.9001,1.6619,0.0639,0.8219,31,0.3092,0.3563,0.0051,0.1426,-0.1392,0.0040
wmc3,uphill,3,262.4390,2.1693,1.6806,0.0317,0.5760,67,2.8046,2.1519,0.0420,0.7873,31,0.6352,0.4714,0.0103,0.4686,-0.0241,0.0093
nw6,uphill,3,283.5052,3.6109,1.4958,0.0579,0.6533,111,3.2786,1.2509,0.0589,0.7147,30,-0.3322,-0.2450,0.0010,-0.4988,-0.7404,-0.0001
nw7,uphill,3,383.1092,3.1238,1.9010,0.0516,0.6922,107,3.0750,2.1182,0.0539,0.7259,31,-0.0488,0.2172,0.0023,-0.2154,-0.2782,0.0013
ceh30,uphill,4,462.6413,2.3702,1.8435,0.0418,0.5891,57,2.8275,2.3049,0.0485,0.8198,31,0.4573,0.4614,0.0067,0.2907,-0.0340,0.0057
ceh20,uphill,4,523.0612,2.3740,1.8909,0.0335,0.6554,76,2.8750,2.3660,0.0393,0.8215,31,0.5011,0.4751,0.0057,0.3345,-0.0203,0.0047
ceh33,uphill,4,550.1173,2.2278,1.8077,0.0373,0.5955,56,2.6992,2.3414,0.0423,0.8005,31,0.4714,0.5337,0.0050,0.3048,0.0383,0.0039
ceh9,uphill,3,571.0909,2.9012,2.0172,0.0341,0.6298,102,3.4349,2.4376,0.0458,0.8085,31,0.5336,0.4204,0.0117,0.3670,-0.0751,0.0107
ceh39,uphill,3,572.7172,4.4612,2.3390,0.0597,0.6397,24,3.4425,2.3954,0.0433,0.8729,31,-1.0187,0.0564,-0.0164,-1.1853,-0.4390,-0.0174
ceh34,uphill,4,606.2095,2.4834,2.1646,0.0260,0.5707,55,2.6362,2.6856,0.0210,0.8219,31,0.1528,0.5210,-0.0050,-0.0138,0.0256,-0.0061
ceh 1,uphill,3,775.6939,4.4545,2.5058,0.0641,0.7350,107,4.4329,2.6758,0.0664,0.8583,31,-0.0216,0.1700,0.0024,-0.1882,-0.3255,0.0013
nw1,control,3,1005.9747,4.5166,2.0522,0.1031,0.7352,119,4.3817,2.3715,0.1024,0.8785,31,-0.1350,0.3193,-0.0007,-0.3016,-0.1762,-0.0018
nw2,control,3,971.3603,4.5304,1.8974,0.0782,0.7318,119,4.6120,2.2294,0.0823,0.8465,31,0.0817,0.3320,0.0041,-0.0849,-0.1634,0.0031
nw11,control,3,1070.3014,4.2457,2.2456,0.0680,0.7544,94,4.3312,2.4301,0.0726,0.8366,31,0.0854,0.1845,0.0046,-0.0812,-0.3109,0.0035
nw13,control,3,1060.1302,4.4383,1.4770,0.0837,0.7662,36,4.5133,2.1992,0.0807,0.8318,31,0.0749,0.7222,-0.0029,-0.0916,0.2267,-0.0040
wmc4,control,3,1060.1302,4.0895,1.5780,0.0770,0.7977,37,4.5403,2.2277,0.0812,0.8375,31,0.4508,0.6497,0.0043,0.2842,0.1542,0.0032
D25,control,3,1066.5912,3.6870,1.5825,0.0605,0.7548,60,4.1149,2.1399,0.0649,0.8327,31,0.4279,0.5574,0.0044,0.2613,0.0620,0.0034
WMC2,control,3,852.6555,3.3701,1.7966,0.0507,0.7906,72,3.5505,2.4996,0.0443,0.8417,31,0.1804,0.7031,-0.0064,0.0138,0.2076,-0.0074
