Well,Year,Summer_min_m,n_interpolated,Climate_ctrl_centroid_m,Gap_climate_m,Paired_ctrl_m,Gap_paired_m
CEH18,2011,-1.37,1,-1.2975,-0.0725,-1.16,-0.21
CEH18,2012,-1.37,0,-1.2025,-0.1675,-1.1,-0.27
CEH18,2013,-1.18,0,-1.066,-0.114,-1.02,-0.16
CEH18,2014,-1.17,0,-1.12,-0.05,-1.02,-0.15
CEH18,2015,-1.36,0,-1.256,-0.104,-1.18,-0.18
CEH18,2016,-1.01,0,-0.942,-0.068,-0.87,-0.14
CEH18,2017,-1.28,0,-1.3725,0.0925,-1.11,-0.17
CEH18,2018,-1.38,1,-1.2925,-0.0875,-1.2,-0.18
CEH18,2019,-1.44,0,-1.34,-0.1,-1.25,-0.19
CEH18,2020,-1.26,0,-1.146,-0.114,-1.07,-0.19
CEH18,2021,-1.14,0,-0.9,-0.24,-0.94,-0.2
CEH18,2022,-1.47,0,-1.342,-0.128,-1.3,-0.17
CEH18,2023,-1.27,0,-1.192,-0.078,-1.08,-0.19
CEH18,2024,-1.04,0,-0.936,-0.104,-0.94,-0.1
CEH18,2025,-1.25,1,-1.292,0.042,-1.4,0.15
CEH21,2011,-1.35,1,-1.2975,-0.0525,-0.8,-0.55
CEH21,2012,-1.4,0,-1.2025,-0.1975,-0.81,-0.59
CEH21,2013,-1.29,0,-1.066,-0.224,-0.8,-0.49
CEH21,2014,-1.13,0,-1.12,-0.01,-0.77,-0.36
CEH21,2015,-1.41,0,-1.256,-0.154,-0.86,-0.55
CEH21,2016,-1.15,0,-0.942,-0.208,-0.64,-0.51
CEH21,2017,-1.35,0,-1.3725,0.0225,-0.77,-0.58
CEH21,2018,-1.41,0,-1.2925,-0.1175,-0.88,-0.53
CEH21,2019,-1.45,0,-1.34,-0.11,-0.94,-0.51
CEH21,2020,-1.39,0,-1.146,-0.244,-0.88,-0.51
CEH21,2021,-1.3,0,-0.9,-0.4,-0.84,-0.46
CEH21,2022,-1.52,0,-1.342,-0.178,-1.01,-0.51
CEH21,2023,-1.32,0,-1.192,-0.128,-0.86,-0.46
CEH21,2024,-1.25,0,-0.936,-0.314,-0.81,-0.44
CEH21,2025,-1.47,0,-1.292,-0.178,-0.97,-0.5
CEH4,2011,-1.16,1,-1.2975,0.1375,,
CEH4,2012,-1.1,0,-1.2025,0.1025,,
CEH4,2013,-1.02,0,-1.066,0.046,,
CEH4,2014,-1.02,0,-1.12,0.1,,
CEH4,2015,-1.18,0,-1.256,0.076,,
CEH4,2016,-0.87,0,-0.942,0.072,,
CEH4,2017,-1.11,0,-1.3725,0.2625,,
CEH4,2018,-1.2,0,-1.2925,0.0925,,
CEH4,2019,-1.25,0,-1.34,0.09,,
CEH4,2020,-1.07,0,-1.146,0.076,,
CEH4,2021,-0.94,0,-0.9,-0.04,,
CEH4,2022,-1.3,0,-1.342,0.042,,
CEH4,2023,-1.08,0,-1.192,0.112,,
CEH4,2024,-0.94,0,-0.936,-0.004,,
CEH4,2025,-1.4,0,-1.292,-0.108,,
CEH22,2011,-0.8,1,-1.2975,0.4975,,
CEH22,2012,-0.81,0,-1.2025,0.3925,,
CEH22,2013,-0.8,0,-1.066,0.266,,
CEH22,2014,-0.77,0,-1.12,0.35,,
CEH22,2015,-0.86,0,-1.256,0.396,,
CEH22,2016,-0.64,0,-0.942,0.302,,
CEH22,2017,-0.77,0,-1.3725,0.6025,,
CEH22,2018,-0.88,1,-1.2925,0.4125,,
CEH22,2019,-0.94,0,-1.34,0.4,,
CEH22,2020,-0.88,0,-1.146,0.266,,
CEH22,2021,-0.84,0,-0.9,0.06,,
CEH22,2022,-1.01,1,-1.342,0.332,,
CEH22,2023,-0.86,0,-1.192,0.332,,
CEH22,2024,-0.81,0,-0.936,0.126,,
CEH22,2025,-0.97,1,-1.292,0.322,,
CEH36,2011,-1.23,1,-1.2975,0.0675,-1.16,-0.07
CEH36,2012,-1.22,0,-1.2025,-0.0175,-1.1,-0.12
CEH36,2013,-1.03,0,-1.066,0.036,-1.02,-0.01
CEH36,2014,-0.98,0,-1.12,0.14,-1.02,0.04
CEH36,2015,-1.11,0,-1.256,0.146,-1.18,0.07
CEH36,2016,-0.69,0,-0.942,0.252,-0.87,0.18
CEH36,2017,-0.95,0,-1.3725,0.4225,-1.11,0.16
CEH36,2018,-1.05,0,-1.2925,0.2425,-1.2,0.15
CEH36,2019,-1.1,0,-1.34,0.24,-1.25,0.15
CEH36,2020,-0.99,0,-1.146,0.156,-1.07,0.08
CEH36,2021,-0.82,0,-0.9,0.08,-0.94,0.12
CEH36,2022,-1.08,0,-1.342,0.262,-1.3,0.22
CEH36,2023,-0.98,0,-1.192,0.212,-1.08,0.1
CEH36,2024,-0.77,0,-0.936,0.166,-0.94,0.17
CEH36,2025,-1.1,0,-1.292,0.192,-1.4,0.3
