Well,Year,Spring_mean_m,n_interpolated,Climate_ctrl_centroid_m,Gap_climate_m,Paired_ctrl_m,Gap_paired_m
CEH18,2011,-0.9967,0,-1.0207,0.024,-0.84,-0.1567
CEH18,2012,-1.2967,0,-1.23,-0.0667,-1.0933,-0.2033
CEH18,2013,-0.5467,0,-0.4407,-0.106,-0.51,-0.0367
CEH18,2014,-0.4133,0,-0.28,-0.1333,-0.3667,-0.0467
CEH18,2015,-0.94,0,-0.854,-0.086,-0.8133,-0.1267
CEH18,2016,-0.35,0,-0.2313,-0.1187,-0.3267,-0.0233
CEH18,2017,-0.95,0,-0.9167,-0.0333,-0.82,-0.13
CEH18,2018,-0.7567,0,-0.6987,-0.058,-0.6733,-0.0833
CEH18,2019,-0.9933,0,-0.9467,-0.0467,-0.8733,-0.12
CEH18,2020,-0.87,0,-0.7813,-0.0887,-0.7767,-0.0933
CEH18,2021,-0.32,0,-0.0893,-0.2307,-0.2967,-0.0233
CEH18,2022,-0.89,0,-0.6847,-0.2053,-0.8,-0.09
CEH18,2023,-0.9167,0,-0.782,-0.1347,-0.79,-0.1267
CEH18,2024,-0.36,0,-0.148,-0.212,-0.25,-0.11
CEH18,2025,-0.99,0,-0.832,-0.158,-0.89,-0.1
CEH21,2011,-1.1267,0,-1.0207,-0.106,-0.5967,-0.53
CEH21,2012,-1.3867,0,-1.23,-0.1567,-0.8333,-0.5533
CEH21,2013,-0.7767,0,-0.4407,-0.336,-0.36,-0.4167
CEH21,2014,-0.63,0,-0.28,-0.35,-0.1867,-0.4433
CEH21,2015,-1.1233,0,-0.854,-0.2693,-0.6167,-0.5067
CEH21,2016,-0.6367,0,-0.2313,-0.4053,-0.2267,-0.41
CEH21,2017,-1.06,0,-0.9167,-0.1433,-0.5267,-0.5333
CEH21,2018,-0.9733,0,-0.6987,-0.2747,-0.51,-0.4633
CEH21,2019,-1.2367,0,-0.9467,-0.29,-0.73,-0.5067
CEH21,2020,-1.1033,0,-0.7813,-0.322,-0.6533,-0.45
CEH21,2021,-0.6333,0,-0.0893,-0.544,-0.3133,-0.32
CEH21,2022,-1.1133,0,-0.6847,-0.4287,-0.71,-0.4033
CEH21,2023,-1.11,0,-0.782,-0.328,-0.6533,-0.4567
CEH21,2024,-0.6,0,-0.148,-0.452,-0.36,-0.24
CEH21,2025,-1.1567,0,-0.832,-0.3247,,
CEH22,2011,-0.5967,0,-1.0207,0.424,,
CEH22,2012,-0.8333,0,-1.23,0.3967,,
CEH22,2013,-0.36,0,-0.4407,0.0807,,
CEH22,2014,-0.1867,0,-0.28,0.0933,,
CEH22,2015,-0.6167,0,-0.854,0.2373,,
CEH22,2016,-0.2267,0,-0.2313,0.0047,,
CEH22,2017,-0.5267,0,-0.9167,0.39,,
CEH22,2018,-0.51,0,-0.6987,0.1887,,
CEH22,2019,-0.73,0,-0.9467,0.2167,,
CEH22,2020,-0.6533,0,-0.7813,0.128,,
CEH22,2021,-0.3133,0,-0.0893,-0.224,,
CEH22,2022,-0.71,0,-0.6847,-0.0253,,
CEH22,2023,-0.6533,0,-0.782,0.1287,,
CEH22,2024,-0.36,0,-0.148,-0.212,,
CEH36,2011,-0.8433,0,-1.0207,0.1773,-0.84,-0.0033
CEH36,2012,-1.1767,0,-1.23,0.0533,-1.0933,-0.0833
CEH36,2013,-0.5167,0,-0.4407,-0.076,-0.51,-0.0067
CEH36,2014,-0.3633,0,-0.28,-0.0833,-0.3667,0.0033
CEH36,2015,-0.8367,0,-0.854,0.0173,-0.8133,-0.0233
CEH36,2016,-0.2533,0,-0.2313,-0.022,-0.3267,0.0733
CEH36,2017,-0.68,0,-0.9167,0.2367,-0.82,0.14
CEH36,2018,-0.5867,0,-0.6987,0.112,-0.6733,0.0867
CEH36,2019,-0.7667,0,-0.9467,0.18,-0.8733,0.1067
CEH36,2020,-0.7167,0,-0.7813,0.0647,-0.7767,0.06
CEH36,2021,-0.17,0,-0.0893,-0.0807,-0.2967,0.1267
CEH36,2022,-0.68,0,-0.6847,0.0047,-0.8,0.12
CEH36,2023,-0.6867,0,-0.782,0.0953,-0.79,0.1033
CEH36,2024,-0.1733,0,-0.148,-0.0253,-0.25,0.0767
CEH36,2025,-0.7167,0,-0.832,0.1153,-0.89,0.1733
CEH4,2011,-0.84,0,-1.0207,0.1807,,
CEH4,2012,-1.0933,0,-1.23,0.1367,,
CEH4,2013,-0.51,0,-0.4407,-0.0693,,
CEH4,2014,-0.3667,0,-0.28,-0.0867,,
CEH4,2015,-0.8133,0,-0.854,0.0407,,
CEH4,2016,-0.3267,0,-0.2313,-0.0953,,
CEH4,2017,-0.82,0,-0.9167,0.0967,,
CEH4,2018,-0.6733,0,-0.6987,0.0253,,
CEH4,2019,-0.8733,0,-0.9467,0.0733,,
CEH4,2020,-0.7767,0,-0.7813,0.0047,,
CEH4,2021,-0.2967,0,-0.0893,-0.2073,,
CEH4,2022,-0.8,0,-0.6847,-0.1153,,
CEH4,2023,-0.79,0,-0.782,-0.008,,
CEH4,2024,-0.25,0,-0.148,-0.102,,
CEH4,2025,-0.89,0,-0.832,-0.058,,
