distance_m,scrape_head_mm,standing_pine_head_mm,thinned_forest_head_mm,coastal_6m_storm_head_mm,coastal_5yr_head_mm
0.00,128.09,-150.00,-75.00,-80.87,-156.40
1.25,128.09,-149.16,-74.58,-80.76,-156.18
2.50,128.09,-148.32,-74.16,-80.65,-155.97
3.76,128.09,-147.49,-73.75,-80.54,-155.75
5.01,128.09,-146.67,-73.33,-80.42,-155.53
6.26,128.09,-145.85,-72.92,-80.31,-155.31
7.51,128.09,-145.03,-72.52,-80.20,-155.10
8.76,128.09,-144.22,-72.11,-80.09,-154.88
10.01,-128.08,-143.41,-71.71,-79.97,-154.66
11.27,-127.36,-142.61,-71.30,-79.86,-154.45
12.52,-126.65,-141.81,-70.90,-79.75,-154.23
13.77,-125.94,-141.02,-70.51,-79.64,-154.01
15.02,-125.23,-140.23,-70.11,-79.52,-153.80
16.27,-124.53,-139.44,-69.72,-79.41,-153.58
17.52,-123.84,-138.66,-69.33,-79.30,-153.36
18.78,-123.14,-137.88,-68.94,-79.19,-153.14
20.03,-122.45,-137.11,-68.56,-79.08,-152.93
21.28,-121.77,-136.34,-68.17,-78.96,-152.71
22.53,-121.09,-135.58,-67.79,-78.85,-152.49
23.78,-120.41,-134.82,-67.41,-78.74,-152.28
25.03,-119.73,-134.07,-67.03,-78.63,-152.06
26.29,-119.06,-133.32,-66.66,-78.51,-151.84
27.54,-118.40,-132.57,-66.28,-78.40,-151.63
28.79,-117.73,-131.83,-65.91,-78.29,-151.41
30.04,-117.07,-131.09,-65.54,-78.18,-151.19
31.29,-116.42,-130.35,-65.18,-78.07,-150.97
32.55,-115.77,-129.63,-64.81,-77.95,-150.76
33.80,-115.12,-128.90,-64.45,-77.84,-150.54
35.05,-114.47,-128.18,-64.09,-77.73,-150.32
36.30,-113.83,-127.46,-63.73,-77.62,-150.11
37.55,-113.20,-126.75,-63.37,-77.50,-149.89
38.80,-112.56,-126.04,-63.02,-77.39,-149.67
40.06,-111.93,-125.33,-62.67,-77.28,-149.45
41.31,-111.31,-124.63,-62.31,-77.17,-149.24
