h,P_m,PET,P_m_lag,h_prev,Delta_h,h_disp_prev,Drainage_Component,Well_Name,Tier,Period,neg_h_disp_prev
-2.06,0.0688,0.09198461159378,0.0688,-1.97,-0.09000000000000008,1.7300000000000002,-0.09817279902352904,FE2,impact,Before,-1.7300000000000002
-2.16,0.0452,0.0647883702674166,0.0452,-2.06,-0.10000000000000009,1.6400000000000001,-0.09700624318361273,FE2,impact,Before,-1.6400000000000001
-2.24,0.0602,0.0480001375870365,0.0602,-2.16,-0.08000000000000007,1.54,-0.14951304738569493,FE2,impact,Before,-1.54
-2.11,0.1344,0.0332604770452743,0.1344,-2.24,0.13000000000000034,1.46,-0.16705757339810687,FE2,impact,Before,-1.46
-1.41,0.2542,0.0288951701427901,0.2542,-2.11,0.7,1.5900000000000003,0.07286278084607477,FE2,impact,Before,-1.5900000000000003
-1.245,0.1104,0.0209265813637323,0.1104,-1.41,0.1649999999999998,2.29,-0.09128669678015314,FE2,impact,Before,-2.29
-1.08,0.0812,0.0193207823553236,0.0812,-1.245,0.16500000000000004,2.455,-0.01595824840543713,FE2,impact,Before,-2.455
-1.17,0.0566,0.0281204607788839,0.0566,-1.08,-0.08999999999999986,2.62,-0.18800755407703182,FE2,impact,Before,-2.62
-1.2,0.081,0.0407997000451405,0.081,-1.17,-0.030000000000000027,2.5300000000000002,-0.16918962206753022,FE2,impact,Before,-2.5300000000000002
-1.36,0.0467999999999999,0.0778803399851474,0.0467999999999999,-1.2,-0.16000000000000014,2.5,-0.13617100391101133,FE2,impact,Before,-2.5
-1.49,0.072,0.0982962049606961,0.072,-1.36,-0.1299999999999999,2.34,-0.13464986292304468,FE2,impact,Before,-2.34
-1.59,0.0716,0.1038697513504052,0.0716,-1.49,-0.10000000000000009,2.21,-0.09287659554064653,FE2,impact,Before,-2.21
-1.71,0.0617999999999999,0.0970605148512966,0.0617999999999999,-1.59,-0.11999999999999988,2.1100000000000003,-0.09963179065660602,FE2,impact,Before,-2.1100000000000003
-1.8,0.0945999999999999,0.0756181482032507,0.0945999999999999,-1.71,-0.09000000000000008,1.9900000000000002,-0.19887128661275433,FE2,impact,Before,-1.9900000000000002
-1.86,0.025,0.0457991580867349,0.025,-1.8,-0.06000000000000005,1.9000000000000001,-0.03921527829918475,FE2,impact,Before,-1.9000000000000001
-1.81,0.0815999999999999,0.0214853539670968,0.0815999999999999,-1.86,0.050000000000000044,1.84,-0.1278771959261748,FE2,impact,Before,-1.84
-1.84,0.0757999999999999,0.0227736084745642,0.0757999999999999,-1.81,-0.030000000000000027,1.8900000000000001,-0.18982943932094348,FE2,impact,Before,-1.8900000000000001
-1.83,0.0386,0.017945191473887,0.0386,-1.84,0.010000000000000009,1.86,-0.05920476127417816,FE2,impact,Before,-1.86
-1.82,0.104,0.0212533893132983,0.104,-1.83,0.010000000000000009,1.87,-0.22847337670760592,FE2,impact,Before,-1.87
-1.68,0.0768,0.0363025673098141,0.0768,-1.82,0.14000000000000012,1.8800000000000001,0.0034558418444345096,FE2,impact,Before,-1.8800000000000001
-1.79,0.017,0.0469725339299765,0.017,-1.68,-0.1100000000000001,2.0200000000000005,-0.06548036902441437,FE2,impact,Before,-2.0200000000000005
-1.92,0.0314,0.0827422871667585,0.0314,-1.79,-0.1299999999999999,1.9100000000000001,-0.05548412647877074,FE2,impact,Before,-1.9100000000000001
-1.95,0.1291999999999999,0.0982264362407887,0.1291999999999999,-1.92,-0.030000000000000027,1.7800000000000002,-0.18838339882320812,FE2,impact,Before,-1.7800000000000002
-2.03,0.0788,0.1034540511032635,0.0788,-1.95,-0.07999999999999985,1.7500000000000002,-0.09300880212809387,FE2,impact,Before,-1.7500000000000002
-2.13,0.06,0.0916238627374468,0.06,-2.03,-0.10000000000000009,1.6700000000000004,-0.0852345945975419,FE2,impact,Before,-1.6700000000000004
-2.18,0.0862,0.0662149663422362,0.0862,-2.13,-0.050000000000000266,1.5700000000000003,-0.15436532676914647,FE2,impact,Before,-1.5700000000000003
-2.2,0.0658,0.051859877934108,0.0658,-2.18,-0.020000000000000018,1.52,-0.0971414994629018,FE2,impact,Before,-1.52
-1.96,0.104,0.0254322190955134,0.104,-2.2,0.2400000000000002,1.5,0.009548428364449912,FE2,impact,Before,-1.5
-1.81,0.0792,0.0173753308217581,0.0792,-1.96,0.1499999999999999,1.7400000000000002,-0.029322179040776032,FE2,impact,After,-1.7400000000000002
-1.69,0.0886,0.016843406399149,0.0886,-1.81,0.1200000000000001,1.8900000000000001,-0.08558517013448078,FE2,impact,After,-1.8900000000000001
-1.55,0.062,0.0130734806917993,0.062,-1.69,0.1399999999999999,2.0100000000000002,-0.001392843552584802,FE2,impact,After,-2.0100000000000002
-1.52,0.0948,0.0219099754243658,0.0948,-1.55,0.030000000000000027,2.1500000000000004,-0.18250814291360004,FE2,impact,After,-2.1500000000000004
-1.56,0.065,0.0476546327440168,0.065,-1.52,-0.040000000000000036,2.18,-0.12306576609706567,FE2,impact,After,-2.18
-1.71,0.029,0.0774579471188726,0.029,-1.56,-0.1499999999999999,2.14,-0.07918336300305706,FE2,impact,After,-2.14
-1.85,0.0108,0.1057139093761601,0.0108,-1.71,-0.14000000000000012,1.9900000000000002,0.03393021853541542,FE2,impact,After,-1.9900000000000002
-2.0,0.049,0.115506484690514,0.049,-1.85,-0.1499999999999999,1.85,-0.059850422389341684,FE2,impact,After,-1.85
-2.12,0.0373999999999999,0.0939167922714824,0.0373999999999999,-2.0,-0.1200000000000001,1.7000000000000002,-0.0401450632024655,FE2,impact,After,-1.7000000000000002
-2.17,0.087,0.0659618410912312,0.087,-2.12,-0.04999999999999982,1.58,-0.15699947971208458,FE2,impact,After,-1.58
-2.06,0.0975999999999999,0.0444083991785766,0.0975999999999999,-2.17,0.10999999999999988,1.5300000000000002,-0.06683836600464946,FE2,impact,After,-1.5300000000000002
-1.89,0.1392,0.0271936127970865,0.1392,-2.06,0.17000000000000015,1.6400000000000001,-0.15159318260450594,FE2,impact,After,-1.6400000000000001
-1.73,0.1128,0.02336955409366,0.1128,-1.89,0.15999999999999992,1.8100000000000003,-0.09804183287946003,FE2,impact,After,-1.8100000000000003
-1.88,0.0382,0.0179122893806151,0.0382,-1.73,-0.1499999999999999,1.9700000000000002,-0.218193797986673,FE2,impact,After,-1.9700000000000002
-1.91,0.0504,0.0255738024998631,0.0504,-1.88,-0.030000000000000027,1.8200000000000003,-0.1162472862037232,FE2,impact,After,-1.8200000000000003
-1.71,0.096,0.034794782798454,0.096,-1.91,0.19999999999999996,1.7900000000000003,0.009003544523102286,FE2,impact,After,-1.7900000000000003
-1.86,0.0672,0.0516120532400373,0.0672,-1.71,-0.15000000000000013,1.9900000000000002,-0.2313766619764712,FE2,impact,After,-1.9900000000000002
-1.98,0.0392,0.0681657841856536,0.0392,-1.86,-0.11999999999999988,1.84,-0.09441101291119763,FE2,impact,After,-1.84
-2.09,0.0608,0.092120481510294,0.0608,-1.98,-0.10999999999999988,1.7200000000000002,-0.09642951676853606,FE2,impact,After,-1.7200000000000002
-2.21,0.0322,0.1097485813223114,0.0322,-2.09,-0.1200000000000001,1.6100000000000003,0.004209707180536371,FE2,impact,After,-1.6100000000000003
-2.3,0.0608,0.0989358321187804,0.0608,-2.21,-0.08999999999999986,1.4900000000000002,-0.06334656844848899,FE2,impact,After,-1.4900000000000002
-2.35,0.0862,0.0699707475329168,0.0862,-2.3,-0.050000000000000266,1.4000000000000004,-0.14715561826817888,FE2,impact,After,-1.4000000000000004
-2.01,0.1478,0.0431907817709369,0.1478,-2.35,0.3400000000000003,1.35,0.02602180840893345,FE2,impact,After,-1.35
-1.91,0.093,0.0217215999048298,0.093,-2.01,0.09999999999999987,1.6900000000000004,-0.10803620009576703,FE2,impact,After,-1.6900000000000004
-1.86,0.0602,0.0206794590017241,0.0602,-1.91,0.04999999999999982,1.7900000000000003,-0.07195862891677349,FE2,impact,After,-1.7900000000000003
-1.74,0.0728,0.0203284124671498,0.0728,-1.86,0.1200000000000001,1.84,-0.036467386414490696,FE2,impact,After,-1.84
-1.49,0.1134,0.023081649956265,0.1134,-1.74,0.25,1.9600000000000002,-0.010205686841152257,FE2,impact,After,-1.9600000000000002
-1.57,0.031,0.0306170022564282,0.031,-1.49,-0.08000000000000007,2.21,-0.1044712398001286,FE2,impact,After,-2.21
-1.78,0.0128,0.0554076360862932,0.0128,-1.57,-0.20999999999999996,2.13,-0.13800980505972452,FE2,impact,After,-2.13
-1.91,0.0072,0.0780053641747065,0.0072,-1.78,-0.1299999999999999,1.9200000000000002,0.0004071848499620223,FE2,impact,After,-1.9200000000000002
-2.04,0.0764,0.0962307127782272,0.0764,-1.91,-0.13000000000000012,1.7900000000000003,-0.15043019701368782,FE2,impact,After,-1.7900000000000003
-2.08,0.0994,0.0969163493097241,0.0994,-2.04,-0.040000000000000036,1.6600000000000001,-0.12087610813466573,FE2,impact,After,-1.6600000000000001
-1.81,0.1192,0.0976132155179787,0.1192,-2.08,0.27,1.62,0.13729252250365884,FE2,impact,After,-1.62
-1.92,0.0606,0.0672317697887623,0.0606,-1.81,-0.10999999999999988,1.8900000000000001,-0.14366956132078176,FE2,impact,After,-1.8900000000000001
-1.89,0.116,0.0447405822887121,0.116,-1.92,0.030000000000000027,1.7800000000000002,-0.1956103609011164,FE2,impact,After,-1.7800000000000002
-1.63,0.0848,0.0295056397138296,0.0848,-1.89,0.26,1.8100000000000003,0.0889257965329891,FE2,impact,After,-1.8100000000000003
-1.35,0.1505999999999999,0.0168909492945821,0.1505999999999999,-1.63,0.2799999999999998,2.0700000000000003,-0.0919829886032209,FE2,impact,After,-2.0700000000000003
-1.05,0.1102,0.0129870686539831,0.1102,-1.35,0.30000000000000004,2.35,0.029009441686744623,FE2,impact,After,-2.35
-0.88,0.089,0.0186818521964761,0.089,-1.05,0.17000000000000004,2.6500000000000004,-0.033130158400784954,FE2,impact,After,-2.6500000000000004
-0.92,0.0424,0.0312899332564512,0.0424,-0.88,-0.040000000000000036,2.8200000000000003,-0.09379197042661563,FE2,impact,After,-2.8200000000000003
-1.15,0.0158,0.0374313956455442,0.0158,-0.92,-0.22999999999999987,2.7800000000000002,-0.20057345052104414,FE2,impact,After,-2.7800000000000002
-0.96,0.1077999999999999,0.0642263455138479,0.1077999999999999,-1.15,0.18999999999999995,2.5500000000000003,0.023814609608713844,FE2,impact,After,-2.5500000000000003
-1.33,0.0252,0.0942497072885958,0.0252,-0.96,-0.3700000000000001,2.74,-0.25674523461869836,FE2,impact,After,-2.74
-1.52,0.0272,0.1169174567508262,0.0272,-1.33,-0.18999999999999995,2.37,-0.03860216884455098,FE2,impact,After,-2.37
-1.66,0.0456,0.094777510509353,0.0456,-1.52,-0.1399999999999999,2.18,-0.08051232696073846,FE2,impact,After,-2.18
-1.74,0.0952,0.0776241874685951,0.0952,-1.66,-0.08000000000000007,2.04,-0.1866316190667225,FE2,impact,After,-2.04
-1.32,0.2012,0.0515176231476902,0.2012,-1.74,0.41999999999999993,1.9600000000000002,-0.021389177138638985,FE2,impact,After,-1.9600000000000002
-1.35,0.0467999999999999,0.0294710066467027,0.0467999999999999,-1.32,-0.030000000000000027,2.38,-0.09909898996152769,FE2,impact,After,-2.38
-1.2,0.1002,0.019867764121142,0.1002,-1.35,0.15000000000000013,2.35,-0.08092909413463137,FE2,impact,After,-2.35
-1.31,0.0252,0.0186109214291315,0.0252,-1.2,-0.1100000000000001,2.5,-0.14194368195290674,FE2,impact,After,-2.5
-1.28,0.0866,0.0237653141318251,0.0866,-1.31,0.030000000000000027,2.39,-0.1569270560240844,FE2,impact,After,-2.39
-1.4,0.0327999999999999,0.0347917962835035,0.0327999999999999,-1.28,-0.11999999999999988,2.42,-0.14129073591165775,FE2,impact,After,-2.42
-1.52,0.0448,0.045473161701825,0.0448,-1.4,-0.1200000000000001,2.3000000000000003,-0.15301016490503802,FE2,impact,After,-2.3000000000000003
-1.62,0.0472,0.0756288090461812,0.0472,-1.52,-0.10000000000000009,2.18,-0.08156723231813709,FE2,impact,After,-2.18
-1.76,0.0238,0.0905318964807798,0.0238,-1.62,-0.1399999999999999,2.08,-0.030122623139953814,FE2,impact,After,-2.08
-1.9,0.0168,0.1104619647837164,0.0168,-1.76,-0.1399999999999999,1.9400000000000002,0.026932879167264917,FE2,impact,After,-1.9400000000000002
-2.04,0.0412,0.1016991709218285,0.0412,-1.9,-0.14000000000000012,1.8000000000000003,-0.05540994890840725,FE2,impact,After,-1.8000000000000003
-2.13,0.0952,0.0699637377456108,0.0952,-2.04,-0.08999999999999986,1.6600000000000001,-0.2113368446070383,FE2,impact,After,-1.6600000000000001
-2.13,0.116,0.0526106372307681,0.116,-2.13,0.0,1.5700000000000003,-0.21050277099156126,FE2,impact,After,-1.5700000000000003
