Well,Period,beta_1_recharge,beta_1_conf_low,beta_1_conf_high,beta_2_atmospheric_draw,beta_2_conf_low,beta_2_conf_high,beta_3_internal_brake,beta_3_conf_low,beta_3_conf_high
FE2,Before,0.347,-1.329477527948117,2.023101082610807,3.212,1.028920071802239,5.3941231641661025,0.075,-0.04008936974040739,0.19077215447275617
FE2,After,1.317,0.525409961589519,2.109101917893694,3.814,2.9313502341357633,4.696562342328456,0.076,0.024034803651238133,0.12794698033481416
FE2,After_Scrape2,2.115,0.39810751992447746,3.831460935812397,3.745,2.030959915097417,5.459915630225865,0.047,-0.06898588758369703,0.1627169299370393
FE4,After,1.135,0.2571120756192654,2.012917441838303,3.584,2.6080895612547126,4.5601800076565535,0.077,0.017293643618047673,0.1361351317828257
FE4,After_Scrape2,2.815,1.3746116266456505,4.254538095803993,3.988,2.6424837055593935,5.332996838835226,0.02,-0.07916931174765271,0.11828345177367902
WMC3,Before,0.606,-0.2230307505945437,1.4341984883367904,3.036,2.178836325611247,3.894150055443129,0.089,0.029184230110898976,0.1478657489030355
WMC3,After,0.947,0.12708541445369392,1.766995183127387,3.812,2.9045960510000843,4.718451726752829,0.127,0.055520598520807526,0.1976333613158922
WMC3,After_Scrape2,2.121,0.5838507495177223,3.658464446127824,4.0,2.4625906272076437,5.536680392529416,0.078,-0.05814073070053889,0.21361329366090087
FE1,Before,0.557,-1.2518013012554496,2.3663819817663985,3.038,1.0094278576584332,5.066730299151894,0.096,-0.08220514875722758,0.27428322098538166
FE1,After,1.313,0.4316579137235499,2.1940958777878397,3.725,2.839920941990057,4.610683231124293,0.125,0.04230649871554917,0.20725312744645014
FE1,After_Scrape2,3.137,1.2319220651955358,5.041346990444089,3.775,2.139081353042895,5.410458698393148,0.001,-0.18873518245791768,0.1911709155133753
FE3,After,1.226,0.4261543160060073,2.0264366942315704,3.616,2.6838384662264243,4.5485845029549345,0.06,0.014437530521215845,0.10573955999420184
FE3,After_Scrape2,2.705,1.235046213709154,4.174282805766207,4.052,2.523161882602495,5.581548684807012,0.023,-0.05997666866315943,0.1068105025457751
CEH31,Before,0.802,-0.02163545911014708,1.6252247640603674,2.968,2.0598889416687505,3.8762080290800403,0.063,0.009997596437780427,0.11603866292850332
CEH31,After,0.849,0.11897823079462544,1.5791769866491916,3.348,2.4927356755276846,4.204045979713431,0.085,0.032707787077069145,0.13817098675686867
CEH31,After_Scrape2,2.455,1.0778603846688395,3.831178998045454,3.535,2.1236998761109414,4.945485047276825,0.022,-0.07721841424411982,0.12105304298269548
LIS1,After,1.576,0.6568629692246185,2.495849309599145,3.754,2.8034226831109375,4.705002158137862,0.111,0.022027056305939915,0.20051447047927456
