Year,NW10_summer_min_m,Pine_composite_min_m,NW10_anomaly_m,Type,Analysis,Pine_composite_wells,Mean_anomaly_2010_2021_m,Trend_period,Slope_m_yr,Slope_mm_yr,P_value,N_years
2007.0,-0.88,-0.95,0.06999999999999995,annual_data,,,,,,,,
2008.0,-0.89,-1.06,0.17000000000000004,annual_data,,,,,,,,
2009.0,-0.88,-1.05,0.17000000000000004,annual_data,,,,,,,,
2010.0,-1.26,-1.38,0.11999999999999988,annual_data,,,,,,,,
2011.0,-1.64,-1.845,0.20500000000000007,annual_data,,,,,,,,
2013.0,-0.76,-1.1624999999999999,0.40249999999999986,annual_data,,,,,,,,
2014.0,-0.63,-0.9500000000000001,0.32000000000000006,annual_data,,,,,,,,
2015.0,-1.19,-1.4874999999999998,0.2974999999999999,annual_data,,,,,,,,
2016.0,-0.73,-1.0025,0.27249999999999996,annual_data,,,,,,,,
2017.0,-1.43,-1.675,0.2450000000000001,annual_data,,,,,,,,
2018.0,-1.11,-1.435,0.32499999999999996,annual_data,,,,,,,,
2019.0,-1.53,-1.8024999999999998,0.27249999999999974,annual_data,,,,,,,,
2020.0,-1.34,-1.725,0.385,annual_data,,,,,,,,
2021.0,-0.27,-0.615,0.345,annual_data,,,,,,,,
2022.0,-0.85,-1.185,0.3350000000000001,annual_data,,,,,,,,
2023.0,-1.43,-1.6075,0.1775,annual_data,,,,,,,,
2024.0,-0.46,-0.7475,0.28750000000000003,annual_data,,,,,,,,
2025.0,-1.25,-1.4874999999999998,0.23749999999999982,annual_data,,,,,,,,
,,,,trend_result,NW10_broadleaf_trend,"['CEH2', 'CEH32', 'CEH33', 'CEH34']",0.29,2019-2025,-0.0167,-16.7,0.2402,7.0
