Year,Well,Tier,Well_summer_min_m,Forest_ctrl_min_m,Gap_m,Era
2015,FE2,impact,-2.16,-1.9200000000000002,-0.24,Pre-felling
2016,FE2,impact,-1.8,-1.355,-0.44500000000000006,Pre-felling
2017,FE2,impact,-2.18,-1.9375,-0.24250000000000016,Pre-felling
2018,FE2,impact,-2.17,-1.9100000000000001,-0.2599999999999998,Post-felling
2019,FE2,impact,-2.35,-1.9785130718954247,-0.3714869281045754,Post-felling
2020,FE2,impact,-2.08,-1.9024999999999999,-0.1775000000000002,Post-felling
2021,FE2,impact,-1.74,-1.2425000000000002,-0.49749999999999983,Post-felling
2022,FE2,impact,-2.13,-1.775,-0.355,Post-felling
2023,FE2,impact,-2.06,-1.8325,-0.22750000000000004,Post-felling
2024,FE2,impact,-1.79,-1.2675,-0.5225,Post-felling
2025,FE2,impact,-2.11,-1.855,-0.2549999999999999,Post-felling
2009,WMC3,impact,-1.34,-1.3933333333333333,0.05333333333333323,Pre-felling
2010,WMC3,impact,-1.52,-1.75,0.22999999999999998,Pre-felling
2011,WMC3,impact,-1.793369565217391,-2.053505434782609,0.26013586956521784,Pre-felling
2013,WMC3,impact,-1.48,-1.4224999999999999,-0.05750000000000011,Pre-felling
2014,WMC3,impact,-1.45,-1.4974999999999998,0.047499999999999876,Pre-felling
2015,WMC3,impact,-1.73,-1.9200000000000002,0.19000000000000017,Pre-felling
2016,WMC3,impact,-1.38,-1.355,-0.02499999999999991,Pre-felling
2017,WMC3,impact,-1.75,-1.9375,0.1875,Pre-felling
2018,WMC3,impact,-1.78,-1.9100000000000001,0.13000000000000012,Post-felling
2019,WMC3,impact,-1.53,-1.9785130718954247,0.44851307189542466,Post-felling
2020,WMC3,impact,-1.72,-1.9024999999999999,0.18249999999999988,Post-felling
2021,WMC3,impact,-1.36,-1.2425000000000002,-0.11749999999999994,Post-felling
2022,WMC3,impact,-1.75,-1.775,0.02499999999999991,Post-felling
2023,WMC3,impact,-1.66,-1.8325,0.1725000000000001,Post-felling
2024,WMC3,impact,-1.34,-1.2675,-0.07250000000000001,Post-felling
2025,WMC3,impact,-1.59,-1.855,0.2649999999999999,Post-felling
2015,FE1,edge,-1.45,-1.9200000000000002,0.4700000000000002,Pre-felling
2016,FE1,edge,-1.0,-1.355,0.355,Pre-felling
2017,FE1,edge,-1.46,-1.9375,0.47750000000000004,Pre-felling
2018,FE1,edge,-1.49,-1.9100000000000001,0.42000000000000015,Post-felling
2019,FE1,edge,-1.62,-1.9785130718954247,0.3585130718954246,Post-felling
2020,FE1,edge,-1.34,-1.9024999999999999,0.5624999999999998,Post-felling
2021,FE1,edge,-0.95,-1.2425000000000002,0.2925000000000002,Post-felling
2022,FE1,edge,-1.4,-1.775,0.375,Post-felling
2023,FE1,edge,-1.32,-1.8325,0.5125,Post-felling
2024,FE1,edge,-0.93,-1.2675,0.3375,Post-felling
2025,FE1,edge,-1.39,-1.855,0.4650000000000001,Post-felling
2015,NW8B,edge,-2.04,-1.9200000000000002,-0.11999999999999988,Pre-felling
2016,NW8B,edge,-1.65,-1.355,-0.29499999999999993,Pre-felling
2017,NW8B,edge,-1.98,-1.9375,-0.04249999999999998,Pre-felling
2018,NW8B,edge,-2.04,-1.9100000000000001,-0.1299999999999999,Post-felling
2019,NW8B,edge,-2.19,-1.9785130718954247,-0.21148692810457526,Post-felling
2020,NW8B,edge,-1.93,-1.9024999999999999,-0.02750000000000008,Post-felling
