Parameter,Well,Era,Value,Unit,Note
Pre_felling_structural_offset,,,-0.11,m,Core impact mean displacement vs control before scraping
Post_scraping_pre_felling_mean,,Post_scraping,-0.3273,m,Core impact displacement
Post_felling_mean_impact,,Post_felling,-0.3676,m,Core impact zone
Step_change_impact,,Post_felling,-0.0403,m,From post-scraping baseline
Step_change_edge,,Post_felling,0.0003,m,From post-scraping baseline
Combined_hydrological_cost_impact,,,-0.2576,m,Pre-scraping to post-felling
Combined_hydrological_cost_edge,,,-0.0341,m,Pre-scraping to post-felling
Step_PF_pre_scrape2_impact,,Dec2017_Sep2023,-0.0372,m,Pure clearfell sub-era
Step_PF_post_scrape2_impact,,Oct2023_onwards,-0.0474,m,Post-Oct-2023 scraping sub-era
ANCOVA_intercept,,,-0.1362,m,Model 2 intercept
ANCOVA_cwb_coeff,,,-0.0006,m/mm,"Cumulative water balance, p=<0.001"
ANCOVA_scraping_step,,,-0.144,m,"Apr 2015 scraping, p=<0.001"
ANCOVA_clearfell_step,,,-0.0862,m,"Dec 2017 clearfell, p=<0.001, CI=[-0.1199,-0.0524]"
ANCOVA_interaction,,,0.0005,m/mm,"cwb×post interaction, p=<0.001"
Per_well_BACI_displacement,FE2,Pre_felling,-0.5743,m,Zone=Core_Impact
Per_well_BACI_displacement,FE2,Post_felling,-0.5424,m,Zone=Core_Impact
Per_well_BACI_displacement,FE4,Pre_felling,-0.3677,m,Zone=Core_Impact
Per_well_BACI_displacement,FE4,Post_felling,-0.4729,m,Zone=Core_Impact
Per_well_BACI_displacement,WMC3,Pre_felling,-0.118,m,Zone=Core_Impact
Per_well_BACI_displacement,WMC3,Post_felling,-0.0875,m,Zone=Core_Impact
Per_well_BACI_displacement,FE1,Pre_felling,0.1993,m,Zone=Edge
Per_well_BACI_displacement,FE1,Post_felling,0.219,m,Zone=Edge
Per_well_BACI_displacement,FE3,Pre_felling,-0.8091,m,Zone=Edge
Per_well_BACI_displacement,FE3,Post_felling,-0.8837,m,Zone=Edge
Per_well_BACI_displacement,CEH31,Pre_felling,-0.3847,m,Zone=Edge
Per_well_BACI_displacement,CEH31,Post_felling,-0.4447,m,Zone=Edge
Per_well_BACI_displacement,LIS1,Pre_felling,0.3823,m,Zone=Edge
Per_well_BACI_displacement,LIS1,Post_felling,0.2917,m,Zone=Edge
Per_well_BACI_displacement,CEH20,Pre_felling,-0.182,m,Zone=Edge
Per_well_BACI_displacement,CEH20,Post_felling,-0.147,m,Zone=Edge
Per_well_BACI_displacement,CEH30,Pre_felling,-0.5984,m,Zone=Edge
Per_well_BACI_displacement,CEH30,Post_felling,-0.6054,m,Zone=Edge
Per_well_BACI_displacement,CEH16,Pre_felling,0.247,m,Zone=Edge
Per_well_BACI_displacement,CEH16,Post_felling,0.184,m,Zone=Edge
Per_well_BACI_displacement,NW8B,Pre_felling,-0.3769,m,Zone=Edge
Per_well_BACI_displacement,NW8B,Post_felling,-0.3453,m,Zone=Edge
Per_well_BACI_displacement,CEH32,Pre_felling,-0.6641,m,Zone=Control
