Control,Zone,Coefficient,Value,SE,p,Sig
Forest,Impact,intercept,0.10593,0.026205,8.291905894702338e-05,***
Forest,Impact,cwb,-0.000424,0.000123,0.0007493970395680503,***
Forest,Impact,scraping,0.34356,0.108507,0.0018574792056684512,**
Forest,Impact,clearfell,0.119552,0.035637,0.0009973615835969002,***
Forest,Impact,cwb_x_fell,-0.000138,0.000162,0.39732901499834183,ns
Forest,Impact,easting_x_time,3.4e-05,1e-05,0.00045238421373798864,***
Forest,Edge,intercept,-0.029063,0.018646,0.12116269871662723,ns
Forest,Edge,cwb,-0.000529,8.7e-05,1.004230798876149e-08,***
Forest,Edge,scraping,0.589935,0.133168,1.792879033244627e-05,***
Forest,Edge,clearfell,0.034529,0.025047,0.1700492197983516,ns
Forest,Edge,cwb_x_fell,-0.000164,0.000116,0.15964803281925546,ns
Forest,Edge,easting_x_time,5e-06,2e-06,0.0016500459364311617,**
Climate,Impact,intercept,-0.528457,0.020254,1.2666249406843312e-55,***
Climate,Impact,cwb,-0.000337,9.9e-05,0.0008327326272590007,***
Climate,Impact,scraping,0.006766,0.12154,0.9556823722456783,ns
Climate,Impact,clearfell,-0.015476,0.025021,0.5372418043669995,ns
Climate,Impact,cwb_x_fell,7.5e-05,0.000125,0.5502946077328648,ns
Climate,Impact,easting_x_time,-2e-06,1e-06,0.00870005472861488,**
Climate,Edge,intercept,-0.675294,0.025392,5.899507456146324e-56,***
Climate,Edge,cwb,-0.000476,0.000123,0.00017288150771537316,***
Climate,Edge,scraping,0.205622,0.395572,0.6040345391514734,ns
Climate,Edge,clearfell,-0.109746,0.031353,0.0006273810702731955,***
Climate,Edge,cwb_x_fell,0.000168,0.000156,0.2812448068060679,ns
Climate,Edge,easting_x_time,-2e-06,1e-06,0.0008759599970569675,***
Combined,Impact,intercept,-0.108369,0.014477,7.610993463430092e-12,***
Combined,Impact,cwb,-0.000176,7e-05,0.013599231514895166,*
Combined,Impact,scraping,0.079775,0.075207,0.29066035922592276,ns
Combined,Impact,clearfell,0.072158,0.018038,0.00010268173095996357,***
Combined,Impact,cwb_x_fell,-9.6e-05,8.9e-05,0.28192578098829313,ns
Combined,Impact,easting_x_time,3e-06,2e-06,0.0410239801377449,*
Combined,Edge,intercept,-0.256453,0.010825,6.218173019729799e-50,***
Combined,Edge,cwb,-0.000316,5.2e-05,1.398342471856517e-08,***
Combined,Edge,scraping,0.297927,0.120612,0.014753715556739704,*
Combined,Edge,clearfell,-0.019813,0.01348,0.14393611525339026,ns
Combined,Edge,cwb_x_fell,-2e-05,6.6e-05,0.7682127752679507,ns
Combined,Edge,easting_x_time,-0.0,1e-06,0.5661063604678125,ns
