Control,Zone,drift_design,drift_coefficient,drift_value,drift_se,drift_p,drift_units,clearfell_step_m,clearfell_p,aic
Forest,Impact,coastal_free,coastal_x_time,1.5922376538915286,0.4420771720765399,0.00042365119722661957,dimensionless (s_coast),0.11309466679610283,0.002086216300710672,-695.7927821526923
Forest,Impact,easting,easting_x_time,3.440573676554619e-05,9.55258831830085e-06,0.0004236511972267863,m head / m easting / month,0.11309466679610324,0.0020862163007106817,-695.7927821526926
Forest,Edge,coastal_free,coastal_x_time,1.2283234866759538,0.3599899495013381,0.0008248908612773835,dimensionless (s_coast),0.02967010606480858,0.24858861904899804,-786.291822358372
Forest,Edge,easting,easting_x_time,5.210494661408798e-06,1.5270616660710157e-06,0.0008248908612773666,m head / m easting / month,0.029670106064809517,0.24858861904898327,-786.291822358372
Climate,Impact,coastal_free,coastal_x_time,-7.714431275939838,3.307271606557076,0.021085897554617795,dimensionless (s_coast),-0.014607072639570673,0.5551450733791019,-760.6125221358669
Climate,Impact,easting,easting_x_time,-1.453370167188515e-06,6.230776729780207e-07,0.02108589755466433,m head / m easting / month,-0.014607072639570664,0.5551450733791037,-760.6125221358669
Climate,Edge,coastal_free,coastal_x_time,45.67079000283152,15.208081293218454,0.0031742405882136614,dimensionless (s_coast),-0.10679257256780836,0.0007395122643623046,-680.8221181756187
Climate,Edge,easting,easting_x_time,-1.7672344892336522e-06,5.884777945545144e-07,0.0031742405881960444,m head / m easting / month,-0.10679257256781773,0.0007395122643615401,-680.8221181756187
Combined,Impact,coastal_free,coastal_x_time,1.3380839801037199,0.6084437471747305,0.02951741195060052,dimensionless (s_coast),0.06969273748144668,0.0001674404166408563,-845.1726967155553
Combined,Impact,easting,easting_x_time,3.309802965676458e-06,1.5050093632312347e-06,0.029517411950568437,m head / m easting / month,0.06969273748144755,0.00016744041664083396,-845.1726967155553
Combined,Edge,coastal_free,coastal_x_time,-0.01024158445443175,0.6702318203253574,0.9878306658614139,dimensionless (s_coast),-0.020217343908788817,0.12894058694966054,-915.8086961666899
Combined,Edge,easting,easting_x_time,-7.968975659314748e-09,5.215073005689007e-07,0.9878306658616602,m head / m easting / month,-0.020217343908784484,0.1289405869497441,-915.8086961666899
FarField,Impact,coastal_free,coastal_x_time,-1.508328823934125,0.6128174456503153,0.014872581924989895,dimensionless (s_coast),-0.0814223434619024,0.18949218070778073,-545.7601293536472
FarField,Impact,easting,easting_x_time,-1.1679554905756552e-06,4.7452749626644165e-07,0.014872581925008148,m head / m easting / month,-0.08142234346189575,0.18949218070781884,-545.760129353647
FarField,Edge,coastal_free,coastal_x_time,-1.9836165411563684,0.7557551517285495,0.009477582990705695,dimensionless (s_coast),-0.1582217402296782,0.021029251055839752,-515.8936522103454
FarField,Edge,easting,easting_x_time,-1.2642542014110127e-06,4.816790977423623e-07,0.009477582990719562,m head / m easting / month,-0.15822174022967958,0.021029251055838926,-515.8936522103454
