Control,Zone,Control_well,Control_dist_coast_m,Clearfell_step_m,Clearfell_p,Easting_coef,Easting_se,Easting_p,R2,N,N_control_wells,Tier_mean_dist_coast_m,Tier_dist_span_m,Tier_clearfell_step_m,Tier_easting_coef,Spread_step_min_m,Spread_step_max_m,Spread_step_sd_m,Spread_easting_min,Spread_easting_max,Spread_easting_sd
Forest,Impact,CEH32,911.9,0.014412956596897857,0.687091628573834,,,,0.1421770399007377,171,5,955.46,684.3999999999999,0.10823026378395303,1.5126866608554057,0.014412956596897857,0.14125685751610334,0.05156000982624847,-5.4459999560658935e-06,6.163817980529558e-06,6.661516322412825e-06
Forest,Impact,CEH34,890.6,0.02832490016262574,0.30070306224893734,,,,0.20222842839172783,171,5,955.46,684.3999999999999,0.10823026378395303,1.5126866608554057,0.014412956596897857,0.14125685751610334,0.05156000982624847,-5.4459999560658935e-06,6.163817980529558e-06,6.661516322412825e-06
Forest,Impact,CEH33,638.2,0.14125685751610334,3.152483172984285e-05,-5.4459999560658935e-06,1.2675098178896837e-06,2.9546650017626027e-05,0.17921975518932187,171,5,955.46,684.3999999999999,0.10823026378395303,1.5126866608554057,0.014412956596897857,0.14125685751610334,0.05156000982624847,-5.4459999560658935e-06,6.163817980529558e-06,6.661516322412825e-06
Forest,Impact,NW10,1322.6,0.07537560282420355,0.06354887048205884,6.163817980529558e-06,2.0242714368053475e-06,0.0027324978448679425,0.36499846591843665,162,5,955.46,684.3999999999999,0.10823026378395303,1.5126866608554057,0.014412956596897857,0.14125685751610334,0.05156000982624847,-5.4459999560658935e-06,6.163817980529558e-06,6.661516322412825e-06
Forest,Impact,CEH2,1014.0,0.09660270005803298,0.010010600417720712,6.018988053256558e-06,1.987130702740205e-06,0.00286433831740331,0.3415914892158336,165,5,955.46,684.3999999999999,0.10823026378395303,1.5126866608554057,0.014412956596897857,0.14125685751610334,0.05156000982624847,-5.4459999560658935e-06,6.163817980529558e-06,6.661516322412825e-06
Forest,Edge,CEH32,911.9,-0.03055248697520695,0.2719463509029244,,,,0.36705408087734315,173,5,955.46,684.3999999999999,0.030897714600420557,1.182650407073436,-0.03055248697520695,0.050424480207460064,0.03163161407093816,-7.026462851822499e-06,3.1708818291619227e-06,4.868716472235896e-06
Forest,Edge,CEH34,890.6,0.03546426892537873,0.1881249890227909,3.1708818291619227e-06,1.133429698287889e-06,0.005753533093889922,0.48664704810710857,173,5,955.46,684.3999999999999,0.030897714600420557,1.182650407073436,-0.03055248697520695,0.050424480207460064,0.03163161407093816,-7.026462851822499e-06,3.1708818291619227e-06,4.868716472235896e-06
Forest,Edge,CEH33,638.2,0.050424480207460064,0.011793956965291291,-7.026462851822499e-06,1.6104114489475106e-06,2.2387391097542722e-05,0.3932566126048579,173,5,955.46,684.3999999999999,0.030897714600420557,1.182650407073436,-0.03055248697520695,0.050424480207460064,0.03163161407093816,-7.026462851822499e-06,3.1708818291619227e-06,4.868716472235896e-06
Forest,Edge,NW10,1322.6,0.0013123628592779865,0.9691280844990933,2.7715388899834633e-06,1.0428317572692545e-06,0.008720205274007953,0.5235332825394261,156,5,955.46,684.3999999999999,0.030897714600420557,1.182650407073436,-0.03055248697520695,0.050424480207460064,0.03163161407093816,-7.026462851822499e-06,3.1708818291619227e-06,4.868716472235896e-06
Forest,Edge,CEH2,1014.0,0.004876186813789954,0.8688564130955241,2.060171826474724e-06,9.509252766714926e-07,0.031791609927337726,0.5074754787486159,162,5,955.46,684.3999999999999,0.030897714600420557,1.182650407073436,-0.03055248697520695,0.050424480207460064,0.03163161407093816,-7.026462851822499e-06,3.1708818291619227e-06,4.868716472235896e-06
Climate,Impact,CEH9,784.8,-0.010020855054969049,0.6736363108133934,-9.387594747993716e-07,5.219731965769887e-07,0.07402175802354598,0.2688390543892266,163,5,579.86,327.29999999999995,-0.019301975172133144,-8.712570169628217,-0.05404683892579614,0.04319164960055321,0.0366556157265214,-2.873512134588167e-06,1.5179343513114152e-06,1.7765232635738763e-06
Climate,Impact,NW7,694.8,0.04319164960055321,0.03742460920494336,1.5179343513114152e-06,1.1025184589297642e-06,0.1706568537962042,0.31256433235661396,154,5,579.86,327.29999999999995,-0.019301975172133144,-8.712570169628217,-0.05404683892579614,0.04319164960055321,0.0366556157265214,-2.873512134588167e-06,1.5179343513114152e-06,1.7765232635738763e-06
Climate,Impact,NW6,502.5,-0.0008597061218983574,0.980894758922283,-2.873512134588167e-06,1.6383704778045496e-06,0.0815778236893656,0.04905611060962001,150,5,579.86,327.29999999999995,-0.019301975172133144,-8.712570169628217,-0.05404683892579614,0.04319164960055321,0.0366556157265214,-2.873512134588167e-06,1.5179343513114152e-06,1.7765232635738763e-06
