well,tier,E,N,in_1998_replant,dist_1998_replant_m,dist_broadleaf_restock_m,exposure
wmc3,Impact,241217.327,363562.323,,78.80163411341586,614.1880690322278,1.336765964486211
ceh31,Edge,241075.0,363538.0,2.0,0.0,702.4580101754029,1.8579997336790228
ceh20,Edge,241153.0,363829.0,,57.15599210440121,414.72045464946007,1.701064138990168
ceh30,Edge,241072.0,363760.0,1.0,0.0,519.2829099205962,1.9274340944268182
ceh16,Edge,240988.214,363614.897,1.0,0.0,684.895418012192,1.958417772757528
ceh32,Forest,241167.0,364003.0,3.0,0.0,284.6913635379304,1.5818820550311385
ceh34,Forest,241334.0,363887.0,,125.69343751373098,272.7292215820248,1.1017328800577562
ceh33,Forest,240936.0,363808.0,1.0,0.0,585.8046176422653,1.71568122394756
nw10,Forest,241435.0,364325.025,,240.39877855376133,0.0,0.43992617948533375
ceh2,Forest,241421.0,363979.0,,143.3208710539712,150.66179555944544,0.8386248134071608
ceh19,Coastal,240845.741,363532.891,,90.50485723658286,839.1537441591857,1.3032345085900408
ceh17,Coastal,240804.597413,363576.069469,,126.7013683757966,836.6029656219796,1.0920704995399617
ceh9,Climate,241711.211,363459.012,,580.5393391295283,601.1944493009825,0.18193981923632588
nw7,Climate,241423.695,363584.862,,286.37770826491214,500.7326505791432,0.666357882001052
nw6,Climate,241444.307,363316.599,,388.010450442044,752.1257162330634,0.337960614951845
nw5,Climate,241711.757,363023.697,,781.9293672084316,1032.7005536316487,0.06081642993481439
wmc2,Climate,241885.149,362855.856,,1023.2099740458629,1227.2132136218452,0.021220707656882897
nw4b,FarField,242414.677,363751.66,,1138.3461407762602,833.6651990241899,0.01340642066160257
wmc1,FarField,242765.629,363643.556,,1505.5694718944246,1190.940692963653,0.002780492112430726
ceh5,FarField,242521.077,364465.817,,1251.1878266574663,844.8664053343031,0.005653205302754252
l7,FarField,242812.0,364395.0,,1515.3280725575985,1111.2621882801036,0.0018503941426581479
ceh6,FarField,242621.679,364724.912,,1441.41083543535,1042.4777609657742,0.0023489071030059435
