contrast,drift_mode,era,step_mm,se_mm,p,n_months
WMC3-Forest5,fixed_s25,2017-12..2020-12,151.52836983015004,27.890206204460977,2.089208878397338e-07,31
WMC3-Forest5,fixed_s25,2021-01..2026-02,39.20825337336915,24.266419185992188,0.10817087746599316,62
WMC3-Forest5,none,2017-12..2020-12,120.34387223287565,27.061059521820436,1.6454350450973463e-05,31
WMC3-Forest5,none,2021-01..2026-02,-36.4794220343584,23.545003904221627,0.12332424111227147,62
WMC3-Forest5,free_global,2017-12..2020-12,72.5320917928459,33.25381902828712,0.030678215479317542,31
WMC3-Forest5,free_global,2021-01..2026-02,-152.52305901527785,53.539697697914825,0.004984971528142978,62
WMC3-Forest5,free_per_era,2017-12..2020-12,120.32462067191065,25.109838078111476,3.855769931436289e-06,31
WMC3-Forest5,free_per_era,2021-01..2026-02,-36.50965585042156,21.85086925904642,0.09678114632425555,62
Edge-Forest5,fixed_s25,2017-12..2020-12,66.11225790136055,19.83127845466909,0.0010795623583140666,32
Edge-Forest5,fixed_s25,2021-01..2026-02,-6.226224380011405,17.888188810229938,0.7282805264927613,55
Edge-Forest5,none,2017-12..2020-12,38.43629040131817,19.01985672770024,0.04507434641199796,32
Edge-Forest5,none,2021-01..2026-02,-73.31172623959594,17.15627104255197,3.409853864364427e-05,55
Edge-Forest5,free_global,2017-12..2020-12,2.196573334853888,23.53319023084611,0.9257593400706617,32
Edge-Forest5,free_global,2021-01..2026-02,-161.15543420208712,38.5565237855015,4.9565189111106085e-05,55
Edge-Forest5,free_per_era,2017-12..2020-12,38.56191188336942,17.211043764732974,0.026545579832199913,32
Edge-Forest5,free_per_era,2021-01..2026-02,-72.96247586809059,15.53216931308789,5.962713604386274e-06,55
WMC3-Edge,fixed_s25,2017-12..2020-12,87.43543265016567,13.663785294388589,1.6933420758607727e-09,33
WMC3-Edge,fixed_s25,2021-01..2026-02,57.44726011232534,12.519364503726687,9.038887072784046e-06,55
WMC3-Edge,none,2017-12..2020-12,83.83837818723902,13.631172589771788,6.0810385090001244e-09,33
WMC3-Edge,none,2021-01..2026-02,48.92728578127092,12.48948330113506,0.0001328858485169814,55
WMC3-Edge,free_global,2017-12..2020-12,73.59552667557311,17.332402179345845,3.71139048580852e-05,33
WMC3-Edge,free_global,2021-01..2026-02,24.66609294817567,28.257225086402045,0.38404372348473165,55
WMC3-Edge,free_per_era,2017-12..2020-12,83.11905604221803,13.12697353276565,2.4597203137334704e-09,33
WMC3-Edge,free_per_era,2021-01..2026-02,47.36054481012406,12.036900889496236,0.00012514896146870668,55
(CEH32+CEH33)-(CEH34+CEH2),fixed_s25,2017-12..2020-12,-20.736039878132896,13.942324384582959,0.13887465368920515,37
(CEH32+CEH33)-(CEH34+CEH2),fixed_s25,2021-01..2026-02,-9.358186448559968,12.70419533079463,0.46241127559027834,62
(CEH32+CEH33)-(CEH34+CEH2),none,2017-12..2020-12,-20.736039878132896,13.942324384582959,0.13887465368920515,37
(CEH32+CEH33)-(CEH34+CEH2),none,2021-01..2026-02,-9.358186448559968,12.70419533079463,0.46241127559027834,62
(CEH32+CEH33)-(CEH34+CEH2),free_global,2017-12..2020-12,-57.3514165985045,17.21823381560424,0.0010723444633289406,37
(CEH32+CEH33)-(CEH34+CEH2),free_global,2021-01..2026-02,-96.74811149435122,28.308923880594545,0.0007990323466969397,62
(CEH32+CEH33)-(CEH34+CEH2),free_per_era,2017-12..2020-12,-20.53610517943545,13.567458502596562,0.13208044866116375,37
(CEH32+CEH33)-(CEH34+CEH2),free_per_era,2021-01..2026-02,-8.513164055285278,12.366599049789007,0.49219177948482407,62
NW10-(CEH34+CEH2),fixed_s25,2017-12..2020-12,26.93162495815362,18.192696698149987,0.14078283772675754,32
NW10-(CEH34+CEH2),fixed_s25,2021-01..2026-02,37.41606996391945,15.954512857390018,0.020269288357221325,62
NW10-(CEH34+CEH2),none,2017-12..2020-12,26.93162495815362,18.192696698149987,0.14078283772675754,32
NW10-(CEH34+CEH2),none,2021-01..2026-02,37.41606996391945,15.954512857390018,0.020269288357221325,62
NW10-(CEH34+CEH2),free_global,2017-12..2020-12,15.831385375717284,22.788688405842198,0.48827440541740563,32
NW10-(CEH34+CEH2),free_global,2021-01..2026-02,10.484122321334205,36.872653698746916,0.7765320565248954,62
NW10-(CEH34+CEH2),free_per_era,2017-12..2020-12,26.627538080111478,18.179018213973528,0.1450171882641666,32
NW10-(CEH34+CEH2),free_per_era,2021-01..2026-02,36.92851421714702,15.945140867393134,0.021870246199383728,62
