well,E,N,cluster,scrape_step,fell_step,scrape_step_cc,fell_step_cc,n_pre,n_scrape,n_post
nw1,241725.0000,364139.0000,3,0.0296,0.0971,0.0270,0.0228,51,32,98
nw2,241703.0080,364112.0820,3,0.0382,0.0961,0.0357,0.0218,51,32,98
nw3,242091.9400,363939.3610,2,-0.0987,0.1584,-0.1012,0.0840,43,32,92
nw4,242431.1640,363744.5120,2,-0.0183,0.0911,-0.0209,0.0168,51,32,98
nw4b,242414.6770,363751.6600,2,-0.0177,0.1015,-0.0203,0.0271,51,32,98
nw5,241711.7570,363023.6970,3,0.0154,0.0444,0.0129,-0.0300,51,31,97
nw6,241444.3070,363316.5990,3,-0.0104,0.0438,-0.0129,-0.0305,42,29,94
nw7,241423.6950,363584.8620,3,-0.1473,0.1202,-0.1499,0.0459,38,32,95
nw8,241276.1100,363480.1290,0,-0.1713,,-0.1738,,49,9,0
nw8b,241272.0000,363487.0000,0,,0.1039,,0.0296,0,30,98
nw9,240937.2590,363567.1620,5,-0.0424,0.0287,-0.0450,-0.0456,51,32,98
nw10,241435.0000,364325.0250,4,-0.1536,0.1468,-0.1561,0.0725,39,32,95
nw11,241689.0000,364237.0000,3,0.0394,0.1059,0.0368,0.0316,51,32,98
nw13,241761.0000,364180.0000,3,-0.0906,0.0985,-0.0932,0.0242,36,32,98
ceh1,241595.8640,363948.3350,3,0.0452,0.1043,0.0427,0.0300,51,32,98
ceh2,241421.0000,363979.0000,4,-0.1111,0.1073,-0.1136,0.0330,40,32,98
ceh3,240743.0000,363388.0000,0,-0.1097,0.0078,-0.1122,-0.0665,51,32,98
ceh4,241131.6930,363211.0500,3,-0.0329,0.0090,-0.0354,-0.0654,51,32,98
ceh5,242521.0770,364465.8170,1,-0.0524,0.1009,-0.0550,0.0266,51,32,98
ceh6,242621.6790,364724.9120,1,-0.0452,0.0782,-0.0478,0.0039,51,32,98
ceh7,243385.8030,363612.9000,0,-0.0535,,-0.0561,,37,28,0
ceh8,243149.9320,363382.3050,0,-0.0393,-0.0349,-0.0418,-0.1092,51,32,24
ceh9,241711.2110,363459.0120,3,0.0414,0.0907,0.0388,0.0164,45,32,98
ceh10,242538.1850,363173.9150,2,-0.0488,0.0959,-0.0514,0.0216,51,32,98
ceh11,242618.6200,362688.2870,1,-0.0893,0.0865,-0.0918,0.0121,51,32,98
ceh13,240964.1080,364066.2980,4,-0.1663,0.1107,-0.1688,0.0364,37,32,96
ceh14,241292.0000,364488.0000,4,-0.1829,0.1748,-0.1854,0.1005,41,32,97
ceh15,240679.8920,363754.3680,0,0.0806,,0.0781,,51,29,0
ceh16,240988.2140,363614.8970,5,0.0108,0.0099,0.0082,-0.0644,51,32,98
ceh17,240804.5974,363576.0695,5,-0.0402,0.0327,-0.0428,-0.0416,51,32,97
ceh18,241267.1670,363202.8890,3,-0.0237,0.0366,-0.0262,-0.0377,51,32,98
ceh19,240845.7410,363532.8910,5,-0.0634,0.0189,-0.0659,-0.0554,51,32,98
ceh20,241153.0000,363829.0000,4,0.0542,0.0881,0.0517,0.0138,51,32,96
ceh21,241470.5100,362937.6590,3,-0.0330,-0.0313,-0.0355,-0.1056,51,32,98
ceh22,241375.0220,362906.9400,0,-0.0216,-0.0881,-0.0241,-0.1624,51,32,96
ceh23,242325.3110,364428.1240,1,0.0059,0.0146,0.0034,-0.0597,51,16,96
ceh24,242938.9110,363392.1140,2,-0.0643,0.1294,-0.0669,0.0550,51,32,98
ceh25,242512.5570,364638.5440,1,-0.0639,0.1163,-0.0664,0.0420,51,32,98
ceh26,242172.2610,364362.2390,1,-0.0221,0.0547,-0.0247,-0.0196,51,32,98
ceh27,242005.3730,364330.2970,1,-0.0168,0.0993,-0.0194,0.0250,51,32,98
ceh28,242331.0510,364122.0390,2,-0.0082,0.1719,-0.0107,0.0975,51,31,76
ceh30,241072.0000,363760.0000,4,0.0257,0.0841,0.0232,0.0098,51,32,98
ceh31,241075.0000,363538.0000,5,-0.0303,0.0680,-0.0329,-0.0063,51,32,97
ceh32,241167.0000,364003.0000,4,0.1000,0.0815,0.0974,0.0072,51,32,98
ceh33,240936.0000,363808.0000,4,0.0543,0.0680,0.0518,-0.0063,51,32,98
ceh34,241334.0000,363887.0000,4,0.0691,0.0746,0.0665,0.0003,51,32,98
ceh36,241161.0000,363306.0000,3,0.0985,0.0326,0.0959,-0.0417,51,32,98
ceh37,242886.0000,363346.0000,0,0.1393,-0.0121,0.1368,-0.0864,51,15,72
ceh39,241719.0000,363435.0000,3,-0.0769,0.0881,-0.0794,0.0138,24,32,98
ceh40,242060.2830,363398.5080,3,-0.1018,0.1071,-0.1043,0.0328,9,32,98
ceh41,242284.0220,363324.5920,3,-0.1067,0.1210,-0.1093,0.0467,9,32,98
ceh42,242120.5280,362743.1980,3,0.0197,0.0887,0.0172,0.0144,9,32,98
wmc1,242765.6290,363643.5560,2,-0.0534,0.1073,-0.0560,0.0330,49,32,98
wmc2,241885.1490,362855.8560,3,-0.0499,0.0979,-0.0524,0.0235,49,32,98
wmc3,241217.3270,363562.3230,3,-0.0431,0.1323,-0.0456,0.0580,48,32,96
wmc4,241760.2930,364180.7070,3,-0.0888,0.1027,-0.0913,0.0284,38,32,98
l7,242812.0000,364395.0000,2,-0.0663,0.1358,-0.0689,0.0615,51,32,98
d5,242083.4070,363901.7120,2,-0.0131,0.1071,-0.0156,0.0327,51,32,98
d6,242114.8980,364021.8510,2,0.0004,0.1056,-0.0021,0.0313,51,32,98
d7,242610.7500,364204.5540,2,-0.0602,0.1734,-0.0628,0.0991,49,32,95
d8,242676.8670,364024.2310,2,-0.0415,0.1184,-0.0441,0.0441,49,32,98
d9,242710.7260,363910.6800,2,-0.0658,0.1094,-0.0684,0.0351,46,32,98
d10,242613.9070,364118.7970,2,-0.0534,0.1135,-0.0560,0.0392,50,32,98
d15,241980.5650,363895.7190,2,0.0020,0.1112,-0.0005,0.0369,51,32,98
d17,242446.9510,363534.9610,2,-0.0250,0.0946,-0.0275,0.0203,51,32,98
d25,242215.1870,363143.8070,3,-0.0468,0.1748,-0.0493,0.1004,51,32,79
d38,242711.5710,363069.1960,2,-0.0894,0.0817,-0.0919,0.0074,49,32,98
d41,242771.6600,363342.8530,2,-0.0719,0.1155,-0.0744,0.0412,50,32,98
t41a,242709.9280,363275.6660,2,-0.0732,0.1370,-0.0757,0.0626,50,32,98
t41b,242715.0850,363309.5650,2,-0.0574,0.1264,-0.0600,0.0521,51,32,98
t41c,242721.1300,363323.6820,2,-0.0629,0.1172,-0.0654,0.0429,50,32,98
t41d,242731.9870,363353.2840,2,-0.0648,0.1195,-0.0673,0.0452,50,32,98
d43,242664.7140,363428.6930,2,-0.0467,0.1169,-0.0492,0.0426,51,32,98
d44,242819.4070,363279.5470,2,-0.0567,0.1056,-0.0592,0.0313,51,32,98
fe1,241338.0000,363744.0000,0,,0.0973,,0.0229,0,29,98
fe2,241135.0000,363595.0000,0,,0.1060,,0.0317,0,29,98
fe3,241104.1000,363546.1000,0,,0.1846,,0.1103,0,9,98
