Well,Tier,Year,Summer_min_m,Forest_ctrl_centroid_m,Gap_forest_m,Climate_ctrl_centroid_m,Gap_climate_m
WMC3,Impact,2009,-1.34,-1.455,0.115,-1.036,-0.304
WMC3,Impact,2010,-1.52,-1.71,0.19,-1.068,-0.452
WMC3,Impact,2011,-1.7934,-2.1005,0.3071,-1.404,-0.3894
WMC3,Impact,2012,-1.75,-2.46,0.71,-1.2025,-0.5475
WMC3,Impact,2013,-1.48,-1.486,0.006,-1.066,-0.414
WMC3,Impact,2014,-1.45,-1.532,0.082,-1.12,-0.33
WMC3,Impact,2015,-1.73,-1.916,0.186,-1.256,-0.474
WMC3,Impact,2016,-1.38,-1.412,0.032,-0.942,-0.438
WMC3,Impact,2017,-1.75,-1.932,0.182,-1.264,-0.486
WMC3,Impact,2018,-1.78,-1.968,0.188,-1.2557,-0.5243
WMC3,Impact,2019,-1.53,-2.064,0.534,-1.3096,-0.2204
WMC3,Impact,2020,-1.72,-1.902,0.182,-1.146,-0.574
WMC3,Impact,2021,-1.36,-1.322,-0.038,-0.9,-0.46
WMC3,Impact,2022,-1.75,-1.808,0.058,-1.342,-0.408
WMC3,Impact,2023,-1.66,-1.83,0.17,-1.192,-0.468
WMC3,Impact,2024,-1.34,-1.348,0.008,-0.936,-0.404
WMC3,Impact,2025,-1.59,-1.86,0.27,-1.292,-0.298
CEH31,Edge,2010,-1.73,-1.71,-0.02,-1.068,-0.662
CEH31,Edge,2011,-2.03,-2.1005,0.0705,-1.404,-0.626
CEH31,Edge,2012,-2.15,-2.46,0.31,-1.2025,-0.9475
CEH31,Edge,2013,-1.77,-1.486,-0.284,-1.066,-0.704
CEH31,Edge,2014,-1.75,-1.532,-0.218,-1.12,-0.63
CEH31,Edge,2015,-1.95,-1.916,-0.034,-1.256,-0.694
CEH31,Edge,2016,-1.69,-1.412,-0.278,-0.942,-0.748
CEH31,Edge,2017,-1.99,-1.932,-0.058,-1.264,-0.726
CEH31,Edge,2018,-2.03,-1.968,-0.062,-1.2557,-0.7743
CEH31,Edge,2019,-2.15,-2.064,-0.086,-1.3096,-0.8404
CEH31,Edge,2020,-1.99,-1.902,-0.088,-1.146,-0.844
CEH31,Edge,2021,-1.71,-1.322,-0.388,-0.9,-0.81
CEH31,Edge,2022,-1.74,-1.808,0.068,-1.342,-0.398
CEH31,Edge,2023,-1.95,-1.83,-0.12,-1.192,-0.758
CEH31,Edge,2024,-1.71,-1.348,-0.362,-0.936,-0.774
CEH31,Edge,2025,-1.98,-1.86,-0.12,-1.292,-0.688
CEH20,Edge,2009,-1.32,-1.455,0.135,-1.036,-0.284
CEH20,Edge,2010,-1.59,-1.71,0.12,-1.068,-0.522
CEH20,Edge,2011,-2.0061,-2.1005,0.0944,-1.404,-0.6021
CEH20,Edge,2012,-2.19,-2.46,0.27,-1.2025,-0.9875
CEH20,Edge,2013,-1.44,-1.486,0.046,-1.066,-0.374
CEH20,Edge,2014,-1.43,-1.532,0.102,-1.12,-0.31
CEH20,Edge,2015,-1.79,-1.916,0.126,-1.256,-0.534
CEH20,Edge,2016,-1.34,-1.412,0.072,-0.942,-0.398
CEH20,Edge,2017,-1.82,-1.932,0.112,-1.264,-0.556
CEH20,Edge,2018,-1.83,-1.968,0.138,-1.2557,-0.5743
