Well,Tier,Control,N_pre,N_post,Pre_mean_gap_m,Post_mean_gap_m,Shift_m,Shift_mm,t_stat,p_value,Sig
WMC3,Impact,Forest,7,8,0.215,0.1715,-0.0435,-43.5,-0.391,0.7029742448349378,ns
WMC3,Impact,Climate,7,8,-0.4398,-0.4196,0.0203,20.3,0.414,0.6861031968709024,ns
CEH31,Edge,Forest,7,8,-0.0702,-0.1447,-0.0745,-74.5,-0.762,0.4621799032240796,ns
CEH31,Edge,Climate,7,8,-0.7251,-0.7358,-0.0108,-10.8,-0.164,0.8724511939802441,ns
CEH20,Edge,Forest,7,8,0.1175,0.1092,-0.0083,-8.3,-0.251,0.806685316242904,ns
CEH20,Edge,Climate,7,8,-0.5374,-0.4819,0.0555,55.5,0.538,0.6017237853327605,ns
CEH30,Edge,Forest,7,8,-0.3139,-0.3335,-0.0196,-19.6,-0.395,0.7001471776799417,ns
CEH30,Edge,Climate,7,8,-0.9688,-0.9246,0.0442,44.2,0.516,0.6164568856793818,ns
CEH16,Edge,Forest,7,8,0.6076,0.4928,-0.1149,-114.9,-1.342,0.21499713235312395,ns
CEH16,Edge,Climate,7,8,-0.0472,-0.0983,-0.0511,-51.1,-0.816,0.4379710866258752,ns
CEH32,Forest Ctrl,Forest,7,8,-0.3694,-0.3722,-0.0029,-2.9,-0.079,0.9383304121067926,ns
CEH32,Forest Ctrl,Climate,7,8,-1.0242,-0.9633,0.0609,60.9,0.413,0.6882015927714398,ns
CEH34,Forest Ctrl,Forest,7,8,0.4916,0.4702,-0.0213,-21.3,-0.786,0.44969758564607487,ns
CEH34,Forest Ctrl,Climate,7,8,-0.1633,-0.1208,0.0424,42.4,0.396,0.7009011586890024,ns
CEH33,Forest Ctrl,Forest,7,8,-0.3261,-0.3735,-0.0474,-47.4,-1.463,0.16752458713858942,ns
CEH33,Forest Ctrl,Climate,7,8,-0.9809,-0.9646,0.0163,16.3,0.146,0.8870027532637166,ns
NW10,Forest Ctrl,Forest,6,8,0.1981,0.2402,0.0422,42.2,1.182,0.2648965085398593,ns
NW10,Forest Ctrl,Climate,6,8,-0.3563,-0.3508,0.0055,5.5,0.077,0.9397679971982645,ns
CEH2,Forest Ctrl,Forest,6,8,0.0397,0.0352,-0.0045,-4.5,-0.136,0.8954035036550898,ns
CEH2,Forest Ctrl,Climate,6,8,-0.5147,-0.5558,-0.0412,-41.2,-0.776,0.45298079158511495,ns
CEH19,Coastal Ctrl,Forest,7,8,0.6298,0.5065,-0.1233,-123.3,-1.037,0.32289613653857224,ns
CEH19,Coastal Ctrl,Climate,7,8,-0.0251,-0.0846,-0.0595,-59.5,-1.147,0.27201595767180137,ns
CEH17,Coastal Ctrl,Forest,7,8,-0.5602,-0.6672,-0.107,-107.0,-0.967,0.3546066977931861,ns
CEH17,Coastal Ctrl,Climate,7,8,-1.2151,-1.2583,-0.0433,-43.3,-0.895,0.3875823988346591,ns
CEH9,Climate Ctrl,Forest,7,8,0.6355,0.5878,-0.0477,-47.7,-0.638,0.537047492803019,ns
CEH9,Climate Ctrl,Climate,7,8,-0.0194,-0.0033,0.016,16.0,0.277,0.787734332278322,ns
NW7,Climate Ctrl,Forest,6,8,0.0131,0.084,0.0709,70.9,0.81,0.43598003108393524,ns
NW7,Climate Ctrl,Climate,6,8,-0.5413,-0.5071,0.0342,34.2,0.805,0.4367146643648592,ns
NW6,Climate Ctrl,Forest,7,8,0.9541,0.908,-0.0461,-46.1,-0.339,0.7408936918402428,ns
NW6,Climate Ctrl,Climate,7,8,0.2992,0.3169,0.0177,17.7,0.373,0.7150796412807964,ns
NW5,Climate Ctrl,Forest,7,8,0.7355,0.6617,-0.0738,-73.8,-0.657,0.5258658933366039,ns
NW5,Climate Ctrl,Climate,7,8,0.0806,0.0706,-0.01,-10.0,-0.242,0.8126108965563489,ns
WMC2,Climate Ctrl,Forest,7,8,0.7584,0.714,-0.0444,-44.4,-0.36,0.7265559079214184,ns
WMC2,Climate Ctrl,Climate,7,8,0.1035,0.1229,0.0194,19.4,0.817,0.4313496323835282,ns
