Well,Tier,Year,Spring_mean_m,n_interpolated,Forest_ctrl_centroid_m,Gap_forest_m,Climate_ctrl_centroid_m,Gap_climate_m
WMC3,Impact,2011,-1.3233,0,-1.5653,0.242,-0.8973,-0.426
WMC3,Impact,2013,-0.8367,0,-0.8507,0.014,-0.2773,-0.5593
WMC3,Impact,2014,-0.6767,0,-0.6687,-0.008,-0.1567,-0.52
WMC3,Impact,2015,-1.2633,0,-1.3347,0.0713,-0.8,-0.4633
WMC3,Impact,2016,-0.6733,0,-0.722,0.0487,-0.096,-0.5773
WMC3,Impact,2017,-1.3333,0,-1.4233,0.09,-0.8327,-0.5007
WMC3,Impact,2018,-1.0833,0,-1.2193,0.136,-0.6167,-0.4667
WMC3,Impact,2019,-1.36,0,-1.594,0.234,-0.91,-0.45
WMC3,Impact,2020,-1.1367,0,-1.4107,0.274,-0.6173,-0.5193
WMC3,Impact,2021,-0.5367,0,-0.4287,-0.108,0.006,-0.5427
WMC3,Impact,2022,-0.9733,0,-0.8853,-0.088,-0.5347,-0.4387
WMC3,Impact,2023,-1.2267,0,-1.3813,0.1547,-0.7313,-0.4953
WMC3,Impact,2024,-0.5633,0,-0.5193,-0.044,-0.0727,-0.4907
WMC3,Impact,2025,-1.0867,0,-1.1207,0.034,-0.6827,-0.404
CEH31,Edge,2011,-1.5667,0,-1.5653,-0.0013,-0.8973,-0.6693
CEH31,Edge,2012,-2.01,0,-2.2867,0.2767,-1.2083,-0.8017
CEH31,Edge,2013,-1.21,0,-0.8507,-0.3593,-0.2773,-0.9327
CEH31,Edge,2014,-1.03,0,-0.6687,-0.3613,-0.1567,-0.8733
CEH31,Edge,2015,-1.57,0,-1.3347,-0.2353,-0.8,-0.77
CEH31,Edge,2016,-1.1033,0,-0.722,-0.3813,-0.096,-1.0073
CEH31,Edge,2017,-1.6333,0,-1.4233,-0.21,-0.8327,-0.8007
CEH31,Edge,2018,-1.4467,0,-1.2193,-0.2273,-0.6167,-0.83
CEH31,Edge,2019,-1.7133,0,-1.594,-0.1193,-0.91,-0.8033
CEH31,Edge,2020,-1.5067,0,-1.4107,-0.096,-0.6173,-0.8893
CEH31,Edge,2021,-1.01,0,-0.4287,-0.5813,0.006,-1.016
CEH31,Edge,2022,-1.3733,0,-0.8853,-0.488,-0.5347,-0.8387
CEH31,Edge,2023,-1.5533,0,-1.3813,-0.172,-0.7313,-0.822
CEH31,Edge,2024,-1.1133,0,-0.5193,-0.594,-0.0727,-1.0407
CEH31,Edge,2025,-1.45,0,-1.1207,-0.3293,-0.6827,-0.7673
CEH20,Edge,2011,-1.4333,0,-1.5653,0.132,-0.8973,-0.536
CEH20,Edge,2012,-2.01,0,-2.2867,0.2767,-1.2083,-0.8017
CEH20,Edge,2013,-0.8567,0,-0.8507,-0.006,-0.2773,-0.5793
CEH20,Edge,2014,-0.6467,0,-0.6687,0.022,-0.1567,-0.49
CEH20,Edge,2015,-1.2667,0,-1.3347,0.068,-0.8,-0.4667
CEH20,Edge,2016,-0.6967,0,-0.722,0.0253,-0.096,-0.6007
CEH20,Edge,2017,-1.3533,0,-1.4233,0.07,-0.8327,-0.5207
CEH20,Edge,2018,-1.16,0,-1.2193,0.0593,-0.6167,-0.5433
CEH20,Edge,2019,-1.48,0,-1.594,0.114,-0.91,-0.57
CEH20,Edge,2020,-1.3067,0,-1.4107,0.104,-0.6173,-0.6893
CEH20,Edge,2021,-0.48,0,-0.4287,-0.0513,0.006,-0.486
CEH20,Edge,2022,-0.8833,0,-0.8853,0.002,-0.5347,-0.3487
CEH20,Edge,2023,-1.2967,0,-1.3813,0.0847,-0.7313,-0.5653
CEH20,Edge,2024,-0.5533,0,-0.5193,-0.034,-0.0727,-0.4807
CEH20,Edge,2025,-1.07,0,-1.1207,0.0507,-0.6827,-0.3873
CEH30,Edge,2011,-1.8367,0,-1.5653,-0.2713,-0.8973,-0.9393
CEH30,Edge,2012,-2.3833,0,-2.2867,-0.0967,-1.2083,-1.175
CEH30,Edge,2013,-1.31,0,-0.8507,-0.4593,-0.2773,-1.0327
CEH30,Edge,2014,-1.11,0,-0.6687,-0.4413,-0.1567,-0.9533
CEH30,Edge,2015,-1.72,0,-1.3347,-0.3853,-0.8,-0.92
CEH30,Edge,2016,-1.16,0,-0.722,-0.438,-0.096,-1.064
CEH30,Edge,2017,-1.8067,0,-1.4233,-0.3833,-0.8327,-0.974
CEH30,Edge,2018,-1.5967,0,-1.2193,-0.3773,-0.6167,-0.98
CEH30,Edge,2019,-1.9067,0,-1.594,-0.3127,-0.91,-0.9967
CEH30,Edge,2020,-1.74,0,-1.4107,-0.3293,-0.6173,-1.1227
CEH30,Edge,2021,-1.0033,0,-0.4287,-0.5747,0.006,-1.0093
CEH30,Edge,2022,-1.4133,0,-0.8853,-0.528,-0.5347,-0.8787
CEH30,Edge,2023,-1.7367,0,-1.3813,-0.3553,-0.7313,-1.0053
CEH30,Edge,2024,-1.0567,0,-0.5193,-0.5373,-0.0727,-0.984
CEH30,Edge,2025,-1.5567,0,-1.1207,-0.436,-0.6827,-0.874
CEH16,Edge,2011,-0.9467,0,-1.5653,0.6187,-0.8973,-0.0493
CEH16,Edge,2012,-1.42,0,-2.2867,0.8667,-1.2083,-0.2117
CEH16,Edge,2013,-0.56,0,-0.8507,0.2907,-0.2773,-0.2827
CEH16,Edge,2014,-0.3367,0,-0.6687,0.332,-0.1567,-0.18
CEH16,Edge,2015,-0.9133,0,-1.3347,0.4213,-0.8,-0.1133
CEH16,Edge,2016,-0.3933,0,-0.722,0.3287,-0.096,-0.2973
CEH16,Edge,2017,-0.96,0,-1.4233,0.4633,-0.8327,-0.1273
CEH16,Edge,2018,-0.8233,0,-1.2193,0.396,-0.6167,-0.2067
CEH16,Edge,2019,-1.1167,0,-1.594,0.4773,-0.91,-0.2067
CEH16,Edge,2020,-0.91,0,-1.4107,0.5007,-0.6173,-0.2927
CEH16,Edge,2021,-0.3867,0,-0.4287,0.042,0.006,-0.3927
CEH16,Edge,2022,-0.7167,0,-0.8853,0.1687,-0.5347,-0.182
CEH16,Edge,2023,-0.94,0,-1.3813,0.4413,-0.7313,-0.2087
